zona_id,nombre,pct_del_barrio_concentrado,ha,n_locales,ha_del_provisorio,n_locales_del_provisorio,delta_ha,delta_locales,ha_fuera_del_provisorio,hitos_en_el_trazado,hitos_en_el_provisorio,piezas_cerradas,piezas_del_texto,cerrado_si_no,que_falta,provisorio,fuente_del_perimetro,metodo,notas
Z41,Nunez,2.8,23.81,61,449.86,494,-426.04,-433,0.0,1,5,1,3,parcial,"corredor bajo el viaducto Mitre: el texto no nombra ninguna calle ni los dos extremos del tramo, y la propia ficha deja abierto el reparto: el extremo sur toca R19 Federico Lacroze y el tramo entre Blanco Encalada y Monroe cae en Belgrano; nucleo de bistros en Campos Salles, O'Higgins y Grecia: tres calles sin extension, y el texto las llama dispersas",Z41,"Tres piezas: el corredor de Crisologo Larralde entre Av. del Libertador y Av. Cabildo, el corredor bajo el viaducto Mitre, y un nucleo disperso de bistros en Campos Salles, O'Higgins y Grecia.",manzanas frentistas del callejero; borde sobre calles por construccion,
Z46,Retiro,3.9,30.87,195,466.6,715,-435.74,-520,0.0,3,11,2,3,parcial,nucleo institucional de Plaza San Martin y Florida: una plaza y una calle sin rango de alturas ni calles de corte: Florida entera mide mas de un kilometro y el texto no dice que tramo,Z46,"Tres piezas: el nucleo institucional de Plaza San Martin y Florida; el corredor Arroyo, de Juncal y Esmeralda a Plaza Carlos Pellegrini; y un cluster coreano y asiatico sobre Maipu, Esmeralda, Paraguay y M. T. de Alvear, alturas 800 a 990, entre Plaza San Martin y Av. Cordoba.",manzanas frentistas del callejero; borde sobre calles por construccion,"se pisa con Z46_SUBZONA_CLUSTER_COREANO: 18.96 ha y 163 locales, sin repartir"
Z27,Villa Santa Rita,4.9,,,215.46,182,,,,,2,0,1,no,"el conjunto: el texto dice 'puntos dispersos' y no da extension sobre Av. Alvarez Jonte; la propia ficha declara que la via de densidad no abre porque son seis locales dispersos en diez cuadras. Falta el tramo de Av. Alvarez Jonte, en alturas o entre calles de corte",Z27,"Puntos dispersos con anclaje en Av. Alvarez Jonte, que es el limite sur y oeste del barrio y no su columna interior.",sin trazado: se mantiene el poligono administrativo,
Z50,Barracas - Av. Montes de Oca,5.2,50.62,84,795.89,410,-745.27,-326,0.0,2,6,1,1,si,"decidir cual de los tres objetos es el polo: el corredor documentado 280-1702, el poligono medido 301-999 o el eje relevado 501-1199. La ficha declara la decision abierta y las tres cifras estan en esta salida",S_BARRACAS,"El corredor documentado va de Av. Montes de Oca 280 a 1702. El poligono medido es otra cosa y es mas chico: 18,02 hectareas y 62 locales, sobre el tramo 301 a 999.",manzanas frentistas del callejero; borde sobre calles por construccion,
Z51,"Barracas - Iriarte, California y Vieytes",5.2,5.83,12,795.89,410,-790.06,-398,0.0,1,6,1,1,si,"la 'extension a California' no tiene extension escrita: California no cruza el tramo 2100-2300. Si esa extension entra, hay que decir hasta que altura",S_BARRACAS,"Racimo documentado sobre Av. Iriarte 2100-2300, con extension a Vieytes y California.",manzanas frentistas del callejero; borde sobre calles por construccion,CALIFORNIA no cruza el tramo trazado: queda a 104 m
Z39,Parque Avellaneda,5.2,,,473.47,173,,,,,1,0,1,no,"el anillo del parque: un anillo necesita cerrar y el texto nombra dos avenidas que se CRUZAN -distancia 0 m-, o sea dos lados de una esquina, no cuatro de un anillo. Faltan las otras dos calles del anillo, o el poligono del parque; las dos calles que faltan para cerrar el anillo. La lectura B esta medida y NO se adopta: delimita por donde estan los tres referentes -La Barra del Parque (Lacarra 836), De Flores Cafe (Lacarra 1500) y Viejo Mercado (Olivera 1557)- y no por el perimetro escrito, y los tres estan dudosos",Z39,"El anillo del Parque Avellaneda, sobre Av. Olivera y Av. Lacarra.",sin trazado: se mantiene el poligono administrativo,
Z28,Monte Castro,5.7,28.73,69,262.85,202,-234.12,-133,0.0,1,2,1,1,si,nada: el texto cerro todas las piezas que nombra,Z28,"Av. Alvarez Jonte, aproximadamente entre el 4400 y el 5299, con nodo en el cruce con Av. Lope de Vega.",manzanas frentistas del callejero; borde sobre calles por construccion,
Z52,La Boca - Almirante Brown y Necochea,7.5,6.14,3,504.0,295,-497.86,-292,0.0,0,9,1,1,si,nada: el texto cerro todas las piezas que nombra,S_LABOCA,"El tramo de la calle Necochea y sus intersecciones con la avenida Suarez y la calle Olavarria, aproximadamente 340 metros lineales, desde la avenida Suarez y la calle Olavarria, extendiendose hasta la avenida Almirante Brown.",manzanas frentistas del callejero; borde sobre calles por construccion,"largo declarado 340 m, medido 319 m; PRUEBA DE ALMAGRO: el trazado no contiene NINGUNO de los 9 hitos del barrio; el mas cercano es Banchero a 54 m"
Z53,La Boca - Caminito y Vuelta de Rocha,7.5,,,504.0,295,,,,,9,0,1,no,"el entorno de Caminito y la Vuelta de Rocha: 'entorno' no es una extension, y **la Vuelta de Rocha no esta en el callejero**: es un recodo del Riachuelo, no una calle. Falta el tramo de Av. Don Pedro de Mendoza, en alturas o entre calles de corte",S_LABOCA,"Entorno de Caminito y la Vuelta de Rocha, sobre Av. Don Pedro de Mendoza.",sin trazado: se mantiene el poligono administrativo,
Z33,Mataderos,9.7,,,740.11,375,,,,,6,0,2,no,"la Feria y el Mercado de Hacienda: el texto da una esquina -el cruce de dos avenidas- y ninguna extension; el conjunto de referentes dispersos: el texto los llama dispersos y estan a mas de un kilometro de la Feria; la extension de la pieza de la Feria. La lectura B esta medida y NO se adopta: **ese tramo es el eje del IDECBA, no el perimetro del polo**, y tomarlo seria atribuirle al polo el objeto de otra fuente",Z33,"Dos piezas separadas por mas de un kilometro: la Feria y el Mercado de Hacienda, en Av. Lisandro de la Torre y Av. de los Corrales, y un conjunto de referentes dispersos. El eje comercial que releva la Ciudad es Av. Alberdi 5501-6299.",sin trazado: se mantiene el poligono administrativo,
