id,tipo_de_riesgo,objeto,donde_aparece_repetido,estado,que_hacer
G-01,suma en vez de union · MATRIZ DE 94 FILAS,"La matriz de 94 filas NO ES UNA PARTICION DE LA CIUDAD: pone deliberadamente lado a lado objetos que se solapan — un barrio administrativo, sus fragmentos del clustering y la envolvente publicada de la misma area.","Sumar n_locales en las 94 da 16.499 sobre una base de 23.981, o sea el 69 % de la gastronomia de la Ciudad 'dentro de polos'. Sumar ha da 7.731 sobre las ~20.300 de CABA, el 38 % de la superficie. LAS DOS CIFRAS ESTAN INFLADAS POR SOLAPAMIENTO.",RIESGO ALTO Y CONFIRMADO,"NO SUMAR NUNCA la matriz de 94. Es un instrumento de comparacion, no una particion. Cualquier agregado se calcula sobre la UNION de los poligonos publicables."
G-02,solapamiento entre familias · FLORES,"PGF2_FLORES es el barrio entero: 773 locales, 859,45 ha. Adentro hay SEIS fragmentos del clustering: P014, P036, P058, P059, P060 y P061, que suman 270 locales y 85,7 ha.","Si se suman las siete filas, Flores da 1.043 locales cuando el barrio tiene 773. 270 locales contados dos veces: 35 % de inflacion solo en Flores.",RIESGO ALTO Y CONFIRMADO,"Los seis fragmentos son subconjuntos del barrio. Con la decision 14 se asignan por cruce espacial a Z23, Z24 o Z39, y el barrio administrativo deja de ser una fila publicable."
G-03,solapamiento entre familias · PALERMO,"PG001A Soho (772 loc) + PG001B Hollywood (595) + PG001C Las Canitas (361) suman 1.728 locales y 277 ha. La referencia publicada R01 Palermo mide 1.358 locales y 271,29 ha. Y ademas hay SEIS fragmentos PGR de Palermo con 494 locales.","Las subzonas tienen MAS locales que la referencia que supuestamente las contiene, asi que NO estan anidadas: son objetos distintos que se pisan parcialmente.",RIESGO ALTO Y CONFIRMADO,"Resolver antes de publicar: o R01 se amplia para contener a las tres subzonas, o las subzonas son las fichas y R01 deja de ser una fila. NO PUEDEN CONVIVIR LAS DOS COSAS EN UN AGREGADO."
G-04,solapamiento entre los 124 poligonos del borrador,Los 124 poligonos de polos_publicables.geojson.,"MEDIDO: suma de areas individuales 3.128,5 ha · area de la UNION 3.128,5 ha · SOLAPAMIENTO 0,0 ha (0,0 %).",SIN RIESGO — VERIFICADO,"Los 124 son DISJUNTOS. HDBSCAN produce clusters que no se pisan. Los agregados sobre este conjunto se pueden sumar sin correccion. CIFRA PUBLICABLE: 12.688 locales en 3.128,5 ha."
N-01,"mismo local, dos o tres nombres",Barbaro,El catalogo lo asienta como 'Bar Bar O' (grafia estilizada de Bar-Ba-Ro); toda la prensa lo llama Barbaro.,DETECTADO Y RESUELTO,"Unificar como Barbaro, con 'Bar Bar O' como grafia de catalogo. Buscar por el nombre del catalogo no devolvia nada: probablemente por eso estuvo tanto tiempo en dudoso."
N-02,"mismo local, tres nombres",La Perla de Caminito,"'La Perla' en el catalogo · 'La Perla de Caminito' en la fachada · 'La Perla, Cafe Notable 1882' en Tripadvisor.",DETECTADO Y RESUELTO,"Unificar. Av. Don Pedro de Mendoza 1899, La Boca, entrada 68 del anexo."
N-03,"cambio de denominacion, misma direccion",Cafe Palacio / Museo Fotografico Simik,Av. Federico Lacroze 3901. El consolidado 1225/26 lo renombro.,DETECTADO,"Una sola entidad. Registrar el nombre anterior como historico, no como segundo hito."
N-04,"mismo local, dos nombres",Cafe Don Juan / Bar Don Juan,Camarones 2702. El catalogo dice CAFE Don Juan; la prensa y el Instagram dicen Bar Don Juan.,DETECTADO,Unificar.
N-05,error de rubro arrastrado,Salteneria El Conejo,Jose Leon Suarez 216. Nosotros lo teniamos como 'Salchicheria'; el GCBA lo consigna como SALTENERIA. Pick Up The Fork escribio 'Salcheria'.,CORREGIDO,Ya corregido.
F-01,riesgo de FUSIONAR dos locales distintos,El Buzon vs El Viejo Buzon,"'El Buzon' es Esqui 1393, Nueva Pompeya, de 1930, el de Homero Manzi. 'El Viejo Buzon' es OTRO local, y es una de las diez sedes reales del Tango BA 2026 segun el GCBA.",DETECTADO — Diego confirmo LOS DOS abiertos,"SON DOS HITOS, NO UNO. Confirmar la direccion de El Viejo Buzon contra el anexo."
F-02,riesgo de FUSIONAR,La Perla de Caminito vs La Perla del Once,La del Once (Av. Rivadavia 2800 / Jujuy y Rivadavia) CERRO EL 14/01/2017 y en su local funciona la pizzeria La Americana. La de Caminito esta abierta.,DETECTADO,"UNA SOLA esta en el catalogo: la de Caminito. Una guia turistica las listaba como dos locales distintos vivos, lo que delato que su padron era caduco (FD-05)."
F-03,riesgo de FUSIONAR,El Fortin vs El Ferroviario,"El Fortin es Av. Alvarez Jonte 5299, Monte Castro. El Ferroviario es Av. Reservistas Argentinos 219, Liniers, frente al Amalfitani.",DETECTADO,Son dos locales en dos barrios. La confusion es facil porque el estadio Amalfitani esta en Liniers y no en Velez Sarsfield.
F-04,riesgo de FUSIONAR,Cafe Roma vs Roma del Abasto,El repo encontro que la fila 'Cafe Roma' tenia FUSIONADA una direccion inventada ('San Luis 3101') y las coordenadas de Cafe Roma reasignadas. Roma del Abasto es Anchorena 806.,DETECTADO Y SEPARADO POR EL REPO,"SON DOS. Y la direccion falsa era MIA: yo di 'Roma del Abasto, San Luis 3101' y ese dato no existia."
Z-01,mismo hito en dos filas,Confiteria Saint Moritz y Florida Garden,Aparecen en R12 Centro Y en R18 Esmeralda-Paraguay.,RESUELTO POR LA DECISION 5,"Con R18 absorbida en Z46 Retiro, quedan una sola vez. Verificar que no queden tambien en R12."
Z-02,mismo hito en dos filas,La Giralda,Aparece en R02 Av. Corrientes Y en R12 Centro.,ABIERTO,"Es un solo local (Av. Corrientes 1453). Decidir a que fila se le atribuye, o registrar la superposicion explicitamente."
Z-03,mismo hito en dos filas,La Puerto Rico y El Querandi,Aparecen en R12 Centro Y ahora en Z47 Monserrat.,ABIERTO,R12 y Z47 se pisan sobre el eje Av. de Mayo. ES LA DECISION DE DELIMITACION MAS IMPORTANTE QUE QUEDA: como se reparten los nueve Notables de Monserrat entre las dos filas.
Z-04,mismo hito en dos filas,Bar Conde,Av. Federico Lacroze 3193. Esta sobre el eje de R19 Y es el hito principal de Z43 Colegiales.,ABIERTO,"R19 se amplia por decision 6 hacia Fraga y Dorrego, lo que puede agravar el solape. Delimitar Z43 por Concepcion Arenal-Zapiola, el Polo Concepcion y el Mercado de Pulgas."
Z-05,mismo hito en dos filas,El Simbolo y El Banderin,Aparecen en R13 Abasto Y son dos de los cinco Notables de Z37 Almagro.,ABIERTO,"Depurar el solape R13/Z37, que ya estaba senalado para cuatro direcciones mas: La Reina Kunti (Humahuaca 3461), Lupo (Lavalle 3491), Los Trujillanitos (Av. Corrientes 3564) y Roma del Abasto (Anchorena 806)."
Z-06,mismo hito en dos filas,La Mezzetta,"Av. Alvarez Thomas 1321, esquina de Av. de los Incas: borde entre Villa Ortuzar y Chacarita.",RESUELTO POR USIG,Cuenta para Z44 Villa Ortuzar. Confirmado por Diego.
R-01,mismo local en dos registros oficiales,Miramar,Sarandi 1190 / Av. San Juan 1999. Es Bar Notable Y Restaurante Iconico.,DETECTADO,"ES UN HITO CON DOS REGISTROS, no dos hitos. Con la decision 18 el campo registro_oficial admite varios valores: usarlo como lista, no duplicar la fila."
R-02,idem,El Fortin,Sitio de Interes Cultural (Res. 667/2006 CPPHC) Y Pizzeria Emblematica (APyCE 2025).,DETECTADO,"Un hito, dos registros."
R-03,idem,El Tokio,Bar Notable Y Sitio de Interes Cultural (2009).,DETECTADO,"Un hito, dos registros."
R-04,idem,Bar Oviedo,Bar Notable Y catalogado por la CPPHC.,DETECTADO,"Un hito, dos registros."
D-01,doble numeracion,ocho casos,"El Federal 595/599 · Los 36 Billares 1265/1271 · El Simbolo 3787/3797 · Boca a Boca 201/207 (los dos puntos a 2,6 m: la misma puerta) · El Sol de Galicia 2867/2881 · Palitos 2241/2245 · Marte 277/2772 · La Media Costilla Bahia Blanca 2300 / Arregui 4000.",RESUELTO POR LA DECISION 20,Se publica la del anexo y se registra la variante. EXCEPCIONES: Marte y La Media Costilla NO son doble numeracion sino error o mudanza — no cargar sin verificar.
