polo,texto
Palermo,"**Para conocer.** Adentro hay **21 lugares con reconocimiento**: 1 pizzería emblemática, 10 en la guía MICHELIN, 9 en rankings internacionales y 1 mercado.

Entre ellos, **2 con estrella MICHELIN**, 2 con Bib Gourmand y 9 en rankings internacionales, 5 de ellos en la lista de los 50 mejores de América Latina.

- *Pizzerías emblemáticas* — **Angelin**, Av. Córdoba 5270
- *En la guía MICHELIN* — **A Fuego Fuerte**, Bonpland 1670 · **Crizia**, Fitz Roy 1819 · Una Estrella · **Don Julio**, Guatemala 4699 · Una Estrella · **El Preferido de Palermo**, Jorge Luis Borges 2108 · **Fogón Asado**, Uriarte 1423 · **Mengano**, José Antonio Cabrera 5172 · Bib Gourmand · **Mercado de Liniers**, Gorriti 6012 · **Niño Gordo**, Thames 1810 · **Raggio Osteria**, Gurruchaga 2121 · **Reliquia**, Ángel Justiniano Carranza 1601 · Bib Gourmand
- *En rankings internacionales* — **Don Julio**, Guatemala 4699 · Latin America's 50 Best Restaurants 2025 · **Niño Gordo**, Thames 1810 · Latin America's 50 Best Restaurants 2025 · **El Preferido de Palermo**, Jorge Luis Borges 2108 · Latin America's 50 Best Restaurants 2025 · **Crizia**, Fitz Roy 1819 *(en el ranking figura con su dirección anterior, Gorriti 5143)* · Latin America's 50 Best Restaurants 2025 · **Gran Dabbang**, Av. Raúl Scalabrini Ortiz 1543 · Latin America's 50 Best 2025 (51-100) · **Don Julio**, Guatemala 4699 · The World's 50 Best Restaurants 2025 · **Tres Monos**, Guatemala 4899 · The World's 50 Best Bars 2025 · **CoChinChina**, Armenia 1540 · The World's 50 Best Bars 2025 · **Victor Audio Bar**, Soler 5130 · The World's 50 Best Bars 2025 (51-100)
- *Mercados y patios de comidas* — **Mercado Bonpland**, Bonpland 1660"
Avenida Corrientes,"**Para conocer.** Adentro hay **10 lugares con reconocimiento**: 8 Bares Notables, 1 restaurante icónico y 1 pizzería emblemática.

- *Bares Notables* — **Celta Bar**, Sarmiento 1702 · **El Gato Negro**, Av. Corrientes 1669 · **La Giralda**, Av. Corrientes 1453 · **Los Galgos**, Av. Callao 501 · **La Academia**, Montevideo 341 *(el catálogo la asienta ahí desde 2025; dejó Av. Callao 368)* · **Petit Colón**, Libertad 505 · **Bar Lavalle**, Lavalle 1693 · **La Ópera**, Av. Corrientes 1799
- *Restaurantes icónicos* — **Zum Edelweiss**, Libertad 431
- *Pizzerías emblemáticas* — **Guerrin**, Av. Corrientes 1368"
San Telmo,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 Bar Notable.

- *Bares Notables* — **Bar El Federal**, Carlos Calvo 595"
Puerto Madero,"**Para conocer.** Adentro hay **7 lugares con reconocimiento**: 3 restaurantes icónicos, 3 en la guía MICHELIN y 1 en un ranking internacional.

Entre ellos, uno en la lista de los 50 mejores de América Latina.

- *Restaurantes icónicos* — **Estilo Campo**, Av. Alicia Moreau de Justo 1840 · **Marcelo Restaurante**, Av. Alicia Moreau de Justo 1140 · **Sorrento**, Av. Alicia Moreau de Justo 420
- *En la guía MICHELIN* — **Cabaña Las Lilas**, Avenida Alicia Moreau de Justo 516 · **La Cabaña**, Avenida Alicia Moreau de Justo 580 · **Michel Rolland Grill & Wine**, Juana Manso 1760
- *En rankings internacionales* — **El Mercado (Faena)**, Martha Salotti 445 · Latin America's 50 Best Restaurants 2025"
Belgrano,"**Para conocer.** Adentro hay **1 lugar con reconocimiento**: 1 mercado.

- *Mercados y patios de comidas* — **Mercado de Belgrano**, Av. Juramento 2527"
Recoleta,"**Para conocer.** Adentro hay **10 lugares con reconocimiento**: 2 Bares Notables, 1 restaurante icónico, 1 pizzería emblemática, 5 en la guía MICHELIN y 1 en un ranking internacional.

Entre ellos, **uno con estrella MICHELIN**, uno con Bib Gourmand y uno en la lista de los 50 mejores de América Latina.

- *Bares Notables* — **Bar del Alvear Palace Hotel**, Av. Alvear 1891 *(sin establecimiento localizable con ese nombre)* · **La Biela**, Av. Quintana 600
- *Restaurantes icónicos* — **Restaurante Oviedo**, Beruti 2602
- *Pizzerías emblemáticas* — **Los Maestros**, Paraná 1249
- *En la guía MICHELIN* — **Aramburu**, Vicente López 1661 · Dos Estrellas · **Bis Bistró**, Vicente López 1661 Local 12 · Bib Gourmand · **Casa Veltri**, Juncal 1642 · **Fervor**, Posadas 1519 · **Roux**, Peña 2300
- *En rankings internacionales* — **Aramburu**, Vicente López 1661 · Latin America's 50 Best Restaurants 2025"
Costanera Norte,"**Para conocer.** Adentro hay **2 lugares con reconocimiento**: 1 restaurante icónico y 1 mercado.

- *Restaurantes icónicos* — **Happening**, Av. Costanera Rafael Obligado 7030
- *Mercados y patios de comidas* — **Patio Costanera Norte**, Avenida Costanera Rafael Obligado 7010"
Villa Crespo,"**Para conocer.** Adentro hay **8 lugares con reconocimiento**: 1 Bar Notable, 5 en la guía MICHELIN y 2 en rankings internacionales.

Entre ellos, **2 con estrella MICHELIN** y 2 en la lista de los 50 mejores de América Latina.

- *Bares Notables* — **San Bernardo**, Av. Corrientes 5436
- *En la guía MICHELIN* — **Alcanfor**, Aguirre 949 · **Fico**, Muñecas 775 · **Han**, Vera 966 · Una Estrella · **Julia**, Loyola 807 · **Trescha**, Murillo 725 · Una Estrella
- *En rankings internacionales* — **Trescha**, Murillo 725 · Latin America's 50 Best Restaurants 2025 · **Julia**, Loyola 807 · Latin America's 50 Best Restaurants 2025"
Chacarita · Colegiales · Federico Lacroze,"**Para conocer.** Adentro hay **9 lugares con reconocimiento**: 2 Bares Notables, 1 restaurante icónico y 6 en la guía MICHELIN.

Entre ellos, 3 con Bib Gourmand.

- *Bares Notables* — **Café Palacio**, Av. Federico Lacroze 3901 *(hoy Museo Fotográfico Simik)* · **Bar Conde**, Av. Federico Lacroze 3193
- *Restaurantes icónicos* — **Albamonte Ristorante**, Av. Corrientes 6735
- *En la guía MICHELIN* — **Ácido**, Charlone 999 · Bib Gourmand · **Ajo Negro - Mar de Tapas**, Avenida Córdoba 6237 · Bib Gourmand · **Anafe**, Virrey Avilés 3216 · Bib Gourmand · **Anchoíta**, Juan Ramírez de Velasco 1520 · **Osaka Concepción**, Concepción Arenal 2913 · **Picarón**, Avenida Dorrego 866"
Caballito,"**Para conocer.** Adentro hay **2 lugares con reconocimiento**: 1 Bar Notable y 1 mercado.

- *Bares Notables* — **Confitería El Greco**, Av. Rivadavia 5353
- *Mercados y patios de comidas* — **Mercado del Progreso**, Av. Rivadavia 5430"
