tanda,orden,establecimiento,direccion,barrio,por_que,VEREDICTO,FECHA_EVIDENCIA,DONDE_LO_VISTE
3 - RESUELVE UNA ZONA ENTERA,86,ROMA DEL ABASTO,Anchorena 806,Balvanera,"Balvanera tiene solo 2 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,16,BAR QUINTINO,Carlos Calvo 4002,Boedo,"Boedo tiene solo 2 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,27,CAFE MARGOT,Av. Boedo 857,Boedo,"Boedo tiene solo 2 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,81,OCHO ESQUINAS,Av. Forest 1186,Chacarita,"Chacarita tiene solo 2 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,14,BAR PORTUARIO,Pinzon 102,La Boca,"La Boca: cuatro de sus seis notables sin verificar, y el barrio se movio mucho este ano",,,
3 - RESUELVE UNA ZONA ENTERA,20,BOCA A BOCA BAR,Av. Benito Perez Galdos 207,La Boca,"La Boca: cuatro de sus seis notables sin verificar, y el barrio se movio mucho este ano",,,
3 - RESUELVE UNA ZONA ENTERA,29,CAFE ROMA,Olavarria 409,La Boca,"La Boca: cuatro de sus seis notables sin verificar, y el barrio se movio mucho este ano",,,
3 - RESUELVE UNA ZONA ENTERA,45,EL ESTANO 1880,Aristobulo del Valle 1100,La Boca,"La Boca: cuatro de sus seis notables sin verificar, y el barrio se movio mucho este ano",,,
3 - RESUELVE UNA ZONA ENTERA,62,LA ESCUELA,Manuela Pedraza 2803,Nunez,"Nunez tiene solo 1 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,4,BAR BRITANICO,Brasil 399,San Telmo,"San Telmo: su eje Defensa cae 5,4 pp y su via E ya esta al minimo",,,
3 - RESUELVE UNA ZONA ENTERA,15,BAR PLAZA DORREGO,Defensa 1098,San Telmo,"San Telmo: su eje Defensa cae 5,4 pp y su via E ya esta al minimo",,,
3 - RESUELVE UNA ZONA ENTERA,18,BAR SUR,Estados Unidos 299,San Telmo,"San Telmo: su eje Defensa cae 5,4 pp y su via E ya esta al minimo",,,
3 - RESUELVE UNA ZONA ENTERA,28,CAFE RIVAS,Estados Unidos 302,San Telmo,"San Telmo: su eje Defensa cae 5,4 pp y su via E ya esta al minimo",,,
3 - RESUELVE UNA ZONA ENTERA,49,EL HIPOPOTAMO,Brasil 401,San Telmo,"San Telmo: su eje Defensa cae 5,4 pp y su via E ya esta al minimo",,,
3 - RESUELVE UNA ZONA ENTERA,69,LA POESIA,Chile 502,San Telmo,"San Telmo: su eje Defensa cae 5,4 pp y su via E ya esta al minimo",,,
3 - RESUELVE UNA ZONA ENTERA,30,CAFE SAN BERNARDO,Av. Corrientes 5436,Villa Crespo,"Villa Crespo tiene solo 1 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,24,CAFE DE GARCIA,Sanabria 3302,Villa Devoto,"Villa Devoto tiene solo 2 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,87,STYLO CAFE,Fernandez de Enciso 3934,Villa Devoto,"Villa Devoto tiene solo 2 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
3 - RESUELVE UNA ZONA ENTERA,25,CAFE DE LA U,Av. Triunvirato 4801,Villa Urquiza,"Villa Urquiza tiene solo 1 notable(s) en todo el catalogo: si esta abierto, cierra la via B de esa zona",,,
4 - completa el catalogo,50,EL PROGRESO,Av. Montes de Oca 1700,Barracas,cobertura,,,
4 - completa el catalogo,64,LA FLOR DE BARRACAS,Suarez 2095,Barracas,cobertura,,,
4 - completa el catalogo,38,CONFITERIA EL GRECO,Av. Rivadavia 5353,Caballito,cobertura,,,
4 - completa el catalogo,44,EL COLECCIONISTA,Av. Rivadavia 4929,Caballito,cobertura,,,
4 - completa el catalogo,85,PLAZA CAFE,Av. Rivadavia 4732,Caballito,cobertura,,,
4 - completa el catalogo,23,CAFE CORTAZAR,Jose Antonio Cabrera 3797,Palermo,cobertura,,,
4 - completa el catalogo,79,MONTECARLO BAR Y DESPENSA,Paraguay 5491,Palermo,cobertura,,,
4 - completa el catalogo,7,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,Recoleta,cobertura,,,
4 - completa el catalogo,31,CAFE TABAC,Av. del Libertador 2300,Recoleta,cobertura,,,
4 - completa el catalogo,58,JOSEPHINA'S CAFE,Guido 1532,Recoleta,cobertura,,,
4 - completa el catalogo,60,LA BIELA,Av. Quintana 600,Recoleta,cobertura,,,
4 - completa el catalogo,75,LOS GALGOS,Av. Callao 501,San Nicolas,cobertura,,,
4 - completa el catalogo,77,MAR AZUL,Tucuman 1700,San Nicolas,cobertura,,,
4 - completa el catalogo,82,PAULIN,Sarmiento 635,San Nicolas,cobertura,,,
4 - completa el catalogo,83,PETIT COLON,Libertad 505,San Nicolas,cobertura,,,
