polo,texto
Almagro,"3 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **El Mirasol de Boedo** (restaurante icónico), a 49 metros · **12 de octubre** (Bar Notable), a 237 metros · **El Trebol 1969** (pizzería emblemática), a 767 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Balvanera · Once,"2 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **Roma del Abasto** (Bar Notable), a 323 metros del enclave · **El Tropezón** (restaurante icónico), a 327 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Barracas · Av. Montes de Oca,"3 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **La Flor de Barracas** (Bar Notable), a 359 metros · **Los Laureles** (Bar Notable), a 526 metros · **El Puentecito** (restaurante icónico), a 813 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
"Barracas · Iriarte, California y Vieytes","4 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **El Progreso** (Bar Notable), a 450 metros · **El Puentecito** (restaurante icónico), a 623 metros · **La Flor de Barracas** (Bar Notable), a 692 metros · **Los Campeones** (pizzería emblemática), a 1,12 kilómetros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Chacarita,"Uno de los establecimientos con historia que sostienen a esta zona queda fuera del borde dibujado: **Bar Conde** (Bar Notable), a 160 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Colegiales,"2 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **Cafe Palacio** (Bar Notable), a 490 metros · **Albamonte Ristorante** (restaurante icónico), a 804 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
La Boca · Almirante Brown y Necochea,"**El borde dibujado se extendió en esta edición para contener a tres de los ocho establecimientos con historia sobre los que se apoya esta zona** —Banchero, La Buena Medida y el Café Roma—, y se extendió sólo sobre Av. Suárez y Olavarría, que son calles que la propia delimitación de la obra pública ya nombraba. Los otros cinco siguen afuera: **El Portuario** a 225 metros, **Il Matterello** a 449, **La Perla** a 508 —que además ya está adentro del polo de Caminito—, **Bar Boca a Boca** a 529 y **El Estaño 1880** a 926. Llegar hasta ellos exigía cinco calles que el texto no nombra y multiplicaba la superficie por nueve, así que no se hizo. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
La Boca · Caminito y Vuelta de Rocha,"7 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **Café Roma** (Bar Notable), a 281 metros · **Banchero** (pizzería emblemática), a 375 metros · **Il Matterello** (restaurante icónico), a 597 metros · **El Estano 1880** (Bar Notable), a 600 metros · **La Buena Medida** (Bar Notable), a 717 metros · **El Portuario** (Bar Notable), a 792 metros · **Bar Boca a Boca** (Bar Notable), a 885 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Liniers · Mercado Andino,"**El borde dibujado no contiene ninguno de los establecimientos con historia sobre los que se apoya esta zona.** Queda afuera: **El Ciervo** (heladería histórica), a 129 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Mataderos,"3 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **Bar del Glorias** (Bar Notable), a 667 metros · **El Cedron** (pizzería emblemática), a 691 metros · **9 de Julio** (Bar Notable), a 888 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Monserrat y Congreso,"4 de los establecimientos con historia que sostienen a esta zona quedan fuera del borde dibujado: **La Puerto Rico** (Bar Notable), a 160 metros · **El Querandi** (Bar Notable), a 273 metros · **El Colonial** (Bar Notable), a 374 metros · **Bar Seddon** (Bar Notable), a 774 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Monte Castro,"Uno de los establecimientos con historia que sostienen a esta zona queda fuera del borde dibujado: **Café Olimpo** (Bar Notable), a 638 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Nueva Pompeya y Parque Patricios,"**El borde dibujado no contiene ninguno de los establecimientos con historia sobre los que se apoya esta zona.** Queda afuera: **El Buzón** (Bar Notable), a 256 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
Nueva Pompeya · eje Av. Saenz,"**El borde dibujado no contiene ninguno de los establecimientos con historia sobre los que se apoya esta zona.** Queda afuera: **El Buzón** (Bar Notable), a 256 metros. Eso no invalida la condición —la historia se mide sobre la zona y no sobre el recorte— pero conviene que la página lo diga."
