zona_id,zona,barrios,comuna,morfologia_probable,via_A,via_B,via_C,via_D,via_E,via_F,n_vias_abiertas,veredicto,ancla_principal,direccion_ancla,reconocimiento_normativo,via_E_reconocimiento,rutas_n,alerta_vigencia,puerta_cerrada,nota_de_delimitacion,fecha_relevamiento
Z23,Flores · casco historico,Flores,7,"corredor (Av. Rivadavia, Boyaca-Carabobo) con nodo en Plaza Flores",no abre,abre,abre,no abre,no abre,abre,3,PENDIENTE,La Farmacia,Av. Directorio 2400 esq. Av. Rivera Indarte,Bar Notable (Ley 35),,12,"Capa historica extinguida casi en bloque: Londres, La Perla, El Guipuzcoano, La Perla de Flores, Las Orquideas, La Cosechera, El Coleccionista. Ninguno confirmado abierto.","Habilitaciones por parcela sobre Rivadavia 6800-7300 (interna, no se pide). Sustituto publico: dataset oferta_gastronomica.csv del Ente de Turismo, descarga fallida por red.",El unico reconocimiento vigente del barrio (La Farmacia) cae ocho cuadras al sur del poligono propuesto. Hay que redelimitar antes de decidir. El corredor Rivadavia es denso pero textil: indumentaria es el 50 % de los locales del eje.,2026-08-07
Z24,Flores · Avellaneda,Flores (tramo Nazca-Cuenca) y borde de Floresta,7,sistema de subpolos: corredor Av. Avellaneda + nucleo peatonal Pasaje Ruperto Godoy + racimo Felipe Vallese,abre,no abre,abre,abre,abre,abre,5,ENTRA,Pasaje Ruperto Godoy,Ruperto Godoy 700-800 y Felipe Vallese 3100,ninguno (polo joven: la instalacion coreana en este eje es de los anos 90),Guias y prensa nacional tratan el eje Av. Avellaneda-Ruperto Godoy como destino coreano de la Ciudad: La Nacion lo bautizo 'Corea Soho' (2020) y lo describio como patio de comidas a cielo abierto (2023); Time Out lo mapea (2024).,10,"Vacancia en Av. Avellaneda +30 % (Camara Argentina de Comercio, iProfesional 22/05/2026). Rotacion alta: Ruperto Godoy 733 fue Maum (2020, 2023) y Maniko (2024). Listado kosher del GCBA es de 2015: 12 establecimientos dudosos.","Composicion por rubro del eje (cuantos locales son gastronomicos y cuantos textiles): registro de habilitaciones, interna, no se pide.",Once locales con altura de puerta en dos cuadras: la evidencia de continuidad mas densa de la ronda. Disputa de barrio con Floresta (Z25) sobre las mismas direcciones: no se puede contar dos veces el Pasaje.,2026-08-07
Z25,Floresta,Floresta,10,sucesion de centralidades: dos puntos no contiguos (Bogota 3900 y Av. Rivadavia 7700),no abre,abre,abre,abre,abre,no abre,4,PENDIENTE,Casa Bogota,"Bogota 3900 esq. Chivilcoy, frente a Plaza Velez Sarsfield","casona de 1914 de Jose J. Barboni, declarada patrimonio historico","La recuperacion de una casona de 1914 con proteccion patrimonial como restaurante (Casa Bogota, Bogota 3900) puso a Floresta en la prensa gastronomica nacional entre diciembre de 2025 y marzo de 2026.",10,"Casa Bogota verificado abierto a agosto de 2026 por sitio propio con horarios. Sinko (Rivadavia 7728), Urijib (Cuenca 954), Han Obaek Nyeon (Campana 685): dudosos, fuente unica de 2021.","Asignacion de barrio por parcela para Ruperto Godoy 700-800, Av. Avellaneda 3069, Cuenca 954 y Campana 685. El instrumento es el callejero USIG del GCBA, que es PUBLICO: no es puerta cerrada, es tarea pendiente y barata.","La trayectoria es del EDIFICIO, no del establecimiento: Casa Bogota abrio en 2025. La via D se sostiene sobre las mismas direcciones que Z24. La via E abre por el pelo: cuatro notas de apertura en cuatro meses con el mismo angulo son UN grupo, no cuatro.",2026-08-07
Z26,Velez Sarsfield,Velez Sarsfield,10,no aplica,no abre,sin evidencia,no abre,sin evidencia,no abre,no abre,0,NO ENTRA,,,ninguno,,10,ninguna: no hay establecimiento verificado que pueda cerrar,"Conteo de habilitaciones por eje (Segurola, Alberdi, Rivadavia tramo Velez Sarsfield): interna, no se pide. Por eso el veredicto se formula sobre ausencia documental.","CORRECCION DE PREMISA: el estadio Jose Amalfitani NO esta en el barrio Velez Sarsfield, esta en Liniers (Comuna 9). Los dos establecimientos con 'Velez' en el nombre y cobertura de prensa estan fuera del barrio: El Ferroviario (Av. Reservistas Argentinos 219, Liniers) y Buffet GEVS (Joaquin V. Gonzalez 1511, Villa Santa Rita). El barrio queda vacio por sustraccion.",2026-08-07
Z27,Villa Santa Rita,Villa Santa Rita,11,sucesion de centralidades: puntos dispersos con anclaje en Alvarez Jonte,no abre,abre,no abre,sin evidencia,abre,no abre,2,ENTRA,El Tokio,Av. Alvarez Jonte 3550 esq. Pasaje Tokio,Bar Notable + Sitio de Interes Cultural (2009). Abierto el 23/04/1930.,"Time Out dedico en junio de 2025 una guia al barrio como destino, con seis paradas gastronomicas direccionadas; la reapertura de El Tokio (1930) en 2025 tuvo cobertura de Infobae, C5N y canal26 entre abril de 2025 y agosto de 2026.",10,"EL TOKIO CERRO EN 2023 Y REABRIO EN 2025: es el precedente Los Laureles invertido y prueba que el listado de Notables no acredita apertura en ninguno de los dos sentidos. Bar Don Juan (Camarones 2702, mas de 100 anos), El Sol de Galicia (Luis Viale 2881, desde 1957) y Heladeria Agust: dudosos.",ninguna: todo lo que falta es verificable con fuente publica o relevamiento propio,"CORRECCION DE PREMISA: Av. San Martin NO limita ni atraviesa Villa Santa Rita. Av. Alvarez Jonte es el limite sur/oeste del barrio, no su columna interior. Tres establecimientos con mas de 50 anos de trayectoria VIVOS: el conjunto mas denso de la ronda.",2026-08-07
Z28,Monte Castro,Monte Castro,10,corredor sobre Av. Alvarez Jonte con nodo en el cruce con Av. Lope de Vega,abre,abre,abre,sin evidencia,no abre,abre,4,PENDIENTE,Pizzeria El Fortin,Av. Alvarez Jonte 5299 esq. Av. Lope de Vega,"Sitio de Interes Cultural, Res. 667/2006 CPPHC (ficha id=124) + Pizzeria Emblematica APyCE/MDE 26/08/2025",,10,"El listado de La Nacion es de 2016: Ay Miranda, La Renaciente y La Media Costilla sin verificar. La Media Costilla figura con dos direcciones (Bahia Blanca 2300 en 2016, Arregui 4000 hoy). Casa Madrilia (Alvarez Jonte 4702): verificado abierto.","ninguna: el numero y ano de la declaracion de El Fortin estan en el digesto de la Legislatura, que es publico","CIERRA EL HUECO DE DIRECCION DE EL FORTIN: Av. Alvarez Jonte 5299 esq. Av. Lope de Vega. La CPPHC y APyCE lo adscriben a MONTE CASTRO, no a Villa Real ni Versalles. Cafe-Bar Olimpo (Irigoyen 1491) esta atribuido a Villa Luro por el listado 2017 y a Monte Castro por el directorio: Irigoyen es el limite.",2026-08-07
Z29,Villa del Parque,Villa del Parque,11,"nucleo compacto (entorno estacion / Cuenca-Nazca), no confirmado",no abre,no abre,abre,sin evidencia,no abre,no abre,1,NO ENTRA,Yapa (paseo gastronomico),"Cuenca 3000, 2o piso del ex Del Parque Sustentoutlet",ninguno. CERO establecimientos de Villa del Parque en el Catalogo oficial de Notables (Res. MCGC 3758/24).,,9,ALTA. Toda la cobertura de Yapa se concentra entre septiembre de 2022 y mayo de 2023 y no hay una sola mencion posterior a 2023 pese a busqueda dirigida. Los seis locales citados no estan verificados a 2026.,"Padron de habilitaciones por cuadra sobre Nazca, Cuenca y Marcos Sastre (AGC): interna, no se pide.","Un patio gastronomico BAJO TECHO no acredita continuidad de vereda. Los notables mas cercanos estan en Villa Santa Rita, otro barrio de la misma Comuna 11: Cafe Don Juan (Camarones 2702) y El Tokio (Alvarez Jonte 3550).",2026-08-07
Z30,Villa Real y Versalles,"Villa Real, Versalles",10,ninguna sostenible,no abre,abre,sin evidencia,sin evidencia,no abre,no abre,1,NO ENTRA,Pizzeria El Fortin (adscripcion disputada),Av. Lope de Vega y Av. Alvarez Jonte,Sitio de Interes Cultural Res. 667/2006 + Pizzeria Emblematica 2025 — pero TODAS las fuentes la adscriben a Monte Castro,,9,ninguna sobre El Fortin (verificado abierto). No hay otros locales que alertar.,"Adscripcion barrial oficial de El Fortin segun nomenclatura catastral: el local esta sobre la linea divisoria y la ficha de la CPPHC no publica la parcela. Se deja la pregunta planteada, no se resuelve por suposicion.","EVIDENCIA NEGATIVA DE FUENTE INSTITUCIONAL: la Hemeroteca de la Legislatura caracteriza a Versalles como el barrio mas silencioso de la Ciudad, con la menor densidad poblacional por restriccion de altura a tres pisos y clasificacion residencial. No es ausencia de datos: es un perfil que contraindica densidad.",2026-08-07
Z31,Villa Luro,Villa Luro,10,"nucleo compacto con derrame lineal; si se confirma continuidad en Ramon Falcon 5400-5800, reclasificar a corredor",abre,abre,no abre,no abre,abre,abre,4,ENTRA,Cafe Olimpo,Irigoyen 1491 esq. Arregui,"Bar Notable, Catalogo oficial Res. MCGC 3758/24",Prensa nacional y especializada trata al eje como polo gastronomico consolidado. La Nacion lo compara con Palermo Hollywood (2023); Canal 26 lo describe como uno de los mayores polos gastronomicos de la Ciudad (2025).,9,"MEDIA-ALTA. Seis locales nombrados con direccion en marzo de 2023 y solo uno reverificado despues (Casa Tonica, Av. Rivadavia 10101, Canal 26 marzo de 2025). Alma y Fuego (Rivadavia 10399) figuraba como 'proximo a abrir' en 2023 y nunca se confirmo que abriera.","Conteo de habilitaciones por cuadra en Ramon Falcon 5400-5800: es lo que decide entre nucleo compacto y corredor. Interna, no se pide.","Tramo delimitado con numeracion por prensa nacional: Bulevar Ramon L. Falcon 5400-5800, entre Albarinos y Escalada, mas Av. Rivadavia 10100-10400. Es la delimitacion mas nitida de la ronda. Y a la vez el caso mas expuesto: un polo cuya evidencia es de 2023 y cuyo rasgo celebrado es que los locales son NUEVOS.",2026-08-07
Z32,Liniers,Liniers,9,nucleo compacto (Mercado Andino),abre,no abre,abre,abre,abre,no abre,4,ENTRA,Mercado Andino / Feria Boliviana de Liniers,"Jose Leon Suarez al 100 y Montiel, transversales Ramon Falcon e Ibarrola",ninguno: CERO bares notables en Liniers en el Catalogo oficial,Prensa gastronomica en ingles trata al Mercado Andino como destino: Pick Up The Fork lo llama el destino para cualquier cocinero o amante de las especias en Buenos Aires. Recogido tambien por guias de viaje anglofonas.,7,"MEDIA. Los locales de Pick Up The Fork tienen diez anos sin reverificar: El Conejo (Suarez 216), Miriam (Ibarrola 7184), Pollo Copacabana (Ibarrola 7276 y 7291), Rico Pollo (Ibarrola 7193). El Mercado como conjunto: verificado abierto a junio de 2024.","Padron de habilitaciones sobre Jose Leon Suarez e Ibarrola: buena parte de la oferta del Mercado Andino es informal o de puesto, de modo que NI SIQUIERA el registro interno la capturaria completa. Afecta cualquier conteo que produzca el repositorio.","ENTRA SIN UN SOLO BAR NOTABLE, apoyado integramente en mercado, comunidad y reconocimiento extranjero: confirma que las seis vias son caminos alternativos y no una lista de requisitos. El Ferroviario (Av. Reservistas Argentinos 219) es de 2006: no alcanza los 50 anos, no computa como trayectoria.",2026-08-07
