zona,eje,tasa_ocupacion_pct,var_interanual_pp,que_es_en_el_atlas
Centro,Av. Belgrano,90.5,-3.2,
Centro,Corrientes y Callao,94.0,1.1,
Centro,Corrientes y Pueyrredón,97.0,0.6,
Centro,Córdoba Facultad,85.7,-8.0,
Centro,Córdoba Tribunales,89.7,4.3,
Centro,Entre Ríos,90.4,-0.6,
Centro,Florida,86.8,-3.2,"R12 Centro — Florida 1-999. OJO: Plaza Bar esta en Florida 1005, seis numeros afuera del eje."
Centro,Lavalle,80.3,-3.2,R12 Centro — Corrientes 501-999 · Lavalle 501-999 · Esmeralda 401-599. Es el eje del microcentro peatonal en la serie vigente.
Centro,Libertad,88.2,2.5,~5 locales vacios por cuadra
Centro,Monserrat,88.5,-1.4,Z47 · 9 Notables segun el catalogo
Centro,Once,92.2,-1.6,enclave judio · la mas alta del Centro
Centro,Puerto Madero,87.6,1.3,referencia publicada · sube
Centro,Santa Fe y Callao,88.7,-6.8,
Norte,Cabildo,91.8,-3.8,entorno de R20
Norte,Chacarita,91.8,-1.6,R09 · fusionado en Chacagiales
Norte,Colegiales,91.2,-0.4,Z43
Norte,Córdoba y Scalabrini Ortiz,82.3,-4.6,
Norte,Palermo Soho,87.3,-1.4,subzona de Palermo
Norte,Recoleta,89.5,-3.2,referencia publicada
Norte,Santa Fe y Coronel Díaz,93.5,-1.4,
Norte,Santa Fe y Scalabrini Ortiz,89.6,-3.8,
Norte,Triunvirato,92.1,-1.3,
Oeste,Almagro,94.5,-1.0,Z37 · la unica que abre las seis vias
Oeste,Av. San Martín,88.9,3.2,entorno de R21 La Paternal
Oeste,Avellaneda,94.6,-0.2,la mayor densidad comercial de los 48
Oeste,Caballito,96.7,-0.3,
Oeste,Corrientes y Medrano,90.3,-2.7,
Oeste,Corrientes y Scalabrini Ortiz,87.6,-2.2,
Oeste,Cuenca,94.2,0.7,
Oeste,Devoto,88.1,-1.8,
Oeste,Flores,90.5,-2.4,Z23 casco historico
Oeste,Liniers,92.9,0.0,"E07 Mercado Andino — SIN CAIDA en la serie vigente (0,0 pp)"
Oeste,Monte Castro,86.9,-5.1,El Fortin
Oeste,Villa Crespo,79.8,-9.1,"R08 — LA MAYOR CAIDA INTERANUAL DE LOS 48 (-9,1 pp)"
Oeste,Warnes,82.5,-6.8,entorno de R21
Sur,Alberdi,95.7,3.4,NO ESTA EN NUESTRA MATRIZ · sube
Sur,Av. Patricios,88.2,1.1,
Sur,Boedo,91.2,-1.8,
Sur,Chilavert,88.6,-2.4,NO ESTA EN NUESTRA MATRIZ
Sur,Constitución,89.9,1.5,
Sur,Defensa,84.8,2.7,"R03 San Telmo — SUBE 2,7 pp en la serie vigente; su via E ya estaba en dos grupos"
Sur,Flores Sur,92.6,3.3,Bajo Flores · enclave coreano
Sur,Mataderos,92.3,-1.4,
Sur,Montes de Oca,89.7,-1.9,P008 Barracas · corredor 280-1702 y CCCA
Sur,Parque Avellaneda,77.8,2.5,"LA PEOR OCUPACION DE LOS 48 (77,8 %), pero sube 2,5 pp"
Sur,Parque Patricios,89.2,1.4,
Sur,Riestra,85.1,-0.6,NO ESTA EN NUESTRA MATRIZ
Sur,Sáenz,87.3,-1.5,"Av. Saenz · La Blanqueada (1802-2017) · ~4,9 locales vacios por cuadra"
