prioridad,establecimiento,direccion,que_mirar,donde_mirar,que_responde,si_esta_cerrado_que_pasa
1,Cafe Olimpo,"Irigoyen 1491 esq. Arregui, Villa Luro",Si esta abierto. Nueve anos sin una sola mencion fechable.,Instagram @olimpo.barcafe (ver fecha del ultimo posteo) · Tel. [retirado - guardrail 7] · Google Maps: estado del negocio y fecha de las resenas mas nuevas,"Fecha del ultimo posteo o de la resena mas nueva. Si hay algo de los ultimos 60 dias, queda verificado_abierto.",VILLA LURO DESAPARECE ENTERA DEL ATLAS. Es su unico Bar Notable.
2,Confiteria Saint Moritz,"Esmeralda 894, Retiro",Si esta abierto. Falla por CUATRO DIAS: la mejor pieza es del 04/02/2026.,Instagram @saintmoritzconfiteria · Tel. [retirado - guardrail 7] · Google Maps,Un posteo de los ultimos 60 dias alcanza.,"Se debilita la via B de Retiro, que hoy se apoya en cuatro Notables en seis cuadras."
3,Florida Garden,"Florida 899, Retiro",Si esta abierto. Mismo problema: falla por cuatro dias.,Instagram @floridagarden_oficial · Tel. [retirado - guardrail 7] · floridagarden.shop,Un posteo de los ultimos 60 dias. Es el mas resonante de Retiro.,idem Retiro.
4,Barbaro,"Tres Sargentos 415, Retiro","Si esta abierto. Su web propia esta CONGELADA DESDE 2019, y eso es una senal.",Instagram @barbarobar · Tel. [retirado - guardrail 7],"Un posteo reciente lo confirma. Si la cuenta tambien esta muerta, es un indicio serio.",idem Retiro. OJO: en el catalogo figura como 'Bar Bar O'; todo el mundo lo llama Barbaro.
5,Bar Don Juan,"Camarones 2702, Villa Santa Rita","Si esta abierto. La cuenta esta activa y tiene reels, deberia ser rapido.",Instagram @donjuan_elbar,Fecha del ultimo posteo.,"Villa Santa Rita entra al Atlas por via B y E: la B se apoya en El Tokio, Don Juan y El Sol de Galicia."
6,Casa Watson,"Vuelta de Obligado 2072, Belgrano",Dos cosas: si esta abierto Y SI SIGUE LLAMANDOSE ASI. El sitio de turismo lo asienta como 'Casa Watson (ex Capisci)' y publica un mail que todavia es [retirado - guardrail 7],Instagram @casa.watson · Tel. [retirado - guardrail 7],Si atiende y con que nombre.,"Se pierde un Notable de Belgrano, aunque R05 tiene otros soportes."
7,El Sol de Galicia,"Luis Viale 2881 (o 2867), Villa Santa Rita","Si esta abierto Y CUAL ES LA ALTURA REAL. El sitio propio dice 2867, nuestras fuentes dicen 2881, y el telefono es el mismo en las dos.",Instagram @elsoldegalicia (es de la cadena) · Tel. [retirado - guardrail 7] · Pasar por la puerta,"La altura correcta. Abre solo de manana, hasta la 1 pm.",Riesgo bajo: la cadena tiene cuatro sucursales y sitio vivo. Pero la altura hay que corregirla igual.
8,Bar de Cao,"Av. Independencia 2400, San Cristobal",Si esta abierto. No le encontre Instagram propio.,Tel. [retirado - guardrail 7] · Google Maps,Si atiende.,San Cristobal se queda practicamente sin hitos.
9,Los Laureles,"Av. Iriarte 2290, Barracas",SI LA MILONGA DEL SABADO 8 A LAS 20.30 SE HIZO. Es la prueba de si reabrio con nuevos duenos.,Instagram @barloslaureles · Cualquier cobertura del 9 o 10 de agosto,"Si se hizo, P008 Barracas recupera la via B.","P008 pierde la via B entera. Y aun si reabrio, el inmueble sigue en venta: el hito es fragil igual."
10,La Farmacia,"Av. Directorio 2400 esq. Rivera Indarte, Flores",Si esta abierto. La unica nota 'reciente' resulto ser un refrito de 2024.,Instagram @restobarlafarmacia · lafarmacia.com.ar,Un posteo de los ultimos 60 dias.,Es el UNICO reconocimiento vigente del barrio de Flores.
