tipo_de_cambio,establecimiento,direccion,orden_1225_26,contra_lo_cargado,nota
baja_real,La Esquina de Anibal Troilo,Paraguay 1500,,No aparece en las 90 entradas del consolidado 1225/26.,Unica baja real del diff. Ver auditoria de cierres: senalado_no_cerrado -- la baja es indicio no prueba.
alta_real,Bar Iberia,Av. de Mayo 1196,10,No existia como hito en la capa cargada.,Confirma lo que Diego identifico: reingresa (3758/24 -> 1225/26). Agregado como H094.
alta_real_no_senalada,Roma del Abasto,Anchorena 806,86,"No existia como fila propia: estaba fusionada dentro de H032 ""Cafe Roma"" con una direccion inventada (San Luis 3101) y las coordenadas de Cafe Roma reasignadas.",Diego no la habia identificado en su lista de movimientos. La encontro el diff sistematico. Bug de fusion corregido en H032.
rename_mismo_domicilio,Cafe Palacio -> Museo Fotografico Simik,Av. Federico Lacroze 3901,80,Mismo domicilio; el catalogo cargado tenia 'Cafe Palacio'.,Confirma exactamente lo que Diego senalo.
variante_de_nombre_no_movimiento,Cafe Olimpo / Bar Olimpo,Irigoyen 1491,12,Mismo domicilio; catalogo oficial usa 'Bar Olimpo'.,No es alta ni baja: es la misma declaratoria con otro nombre de uso. No senalado por Diego; no se trata como movimiento.
variante_de_nombre_no_movimiento,Casa Watson / Watson's,Vuelta de Obligado 2072,90,Mismo domicilio; catalogo oficial usa apostrofe 'Watson's'.,No es alta ni baja. TAREA 3 ya fijo 'Casa Watson' como nombre vigente para nuestra capa; no lo cambia este diff.
variante_de_formato_no_movimiento,Bar El Federal / El Federal,Carlos Calvo 595,47,Mismo domicilio.,Orden de palabras distinto entre fuentes; no es cambio de declaratoria.
variante_de_formato_no_movimiento,Cafetabac / Cafe Tabac,Av. del Libertador 2300,31,Mismo domicilio.,Formato con/sin espacio; no es cambio de declaratoria.
variante_de_formato_no_movimiento,Cafe Montecarlo / Montecarlo Bar y Despensa,Paraguay 5491,79,Mismo domicilio.,Nombre comercial completo vs abreviado; no es cambio de declaratoria.
variante_de_formato_no_movimiento,El Portuario / Bar Portuario,Pinzon 102,14,Mismo domicilio.,Orden de palabras distinto; no es cambio de declaratoria.
correccion_de_domicilio_ya_resuelta,Bar Boca a Boca,Av. Benito Perez Galdos 207 (no 201),20,Diferencia de altura dentro del mismo domicilio (2.6 m).,Ya confirmado en ronda 4 (pendiente #6 del handoff): 207 es la altura correcta.
no_movimiento_ya_estaba_cargado,Confiteria El Greco,Av. Rivadavia 5353,38,Ya estaba en el catalogo cargado (cita 3758/24) antes de este diff.,Diego lo listo como alta 3758/24->1225/26. El diff no lo encuentra como cambio: ya figuraba. Puede que la transcripcion citada como '3758/24' ya incluyera esta alta antes de tiempo -- queda como discrepancia sin resolver entre la cita de fuente y el contenido real.
no_movimiento_ya_estaba_cargado,Josephina's Cafe,Guido 1532,58,Ya estaba en el catalogo cargado (cita 3758/24) antes de este diff.,Mismo caso que El Greco: Diego lo listo como alta de 1225/26 pero el diff no lo encuentra como cambio.
control_de_hash,(archivo completo),,,SHA-256 identico byte a byte entre la URL oficial descargada 2026-08-07 y el PDF que ya estaba en outputs/polos_gastro/REFERENTES_2026/_fuentes/ desde el 2026-08-03.,"hash=75481a8abb834409a774d43a8cac92e90657d0a253077f6727b4ff45b2c99704, 145453 bytes, IF-2026-10314379-GCABA-DGPMYCH, firmado 26/02/2026."
