enclave_id,establecimiento,calle,altura,rubro,origen_cocina,vigencia,vigencia_fecha,fuente,nota
E07,Salteneria El Conejo,Jose Leon Suarez,216,salteneria,boliviana,dudoso,2023-08-04,GCBA Turismo (s/f) + Vinomanos 04/08/2023,"CORRECCION DE RUBRO: no es 'Salchicheria'. El GCBA lo consigna como SALTENERIA. Pick Up The Fork escribio 'Salcheria'. La altura se sostiene en tres fuentes. Tiene sucursales en Mataderos, Flores Sur y Villa Celina."
E07,Pollo Broaster,Ibarrola,7239,pollo broaster,boliviana,dudoso,,GCBA Turismo (sin fecha visible),"HALLAZGO NUEVO de esta pasada. La pagina del GCBA no tiene fecha: un sitio sin fecha no es mas confiable que uno con fecha vieja, es menos auditable."
E07,Restaurante Miriam,Ibarrola,7184,restaurante,boliviana,dudoso,2022-06-09,Pick Up The Fork 17/08/2016; Sin Reservas 09/06/2022 lo llama 'uno de los mas clasicos' pero sin altura,Reconfirmado en 2022 sin altura.
E07,Pollo Copacabana,Ibarrola,7276 y 7291,pollo,boliviana,dudoso,2016-08-17,Pick Up The Fork 17/08/2016,Diez anos sin reverificar.
E07,Rico Pollo,Ibarrola,7193,pollo,boliviana,dudoso,2016-08-17,Pick Up The Fork 17/08/2016,Diez anos sin reverificar. La ficha de broccolino.com.ar devolvio 403.
E07,JAMUY,Jose Leon Suarez,al 100,restaurante,boliviana,dudoso,2012,"Lamas, Buenos Aires Historia (trabajo de campo ~2012)",Probablemente vencido.
E02,Hakka,Arribenos,2382,restaurante,chino-taiwanesa + parrilla argentina,verificado_abierto,2026-02-17,La Nacion 17/02/2026,"A ~89 m al norte de Olazabal: TERCERA cuadra, fuera del tramo peatonal."
E02,Ultramarinos,Pasaje Arribenos,1980,pescados y mariscos,argentina,verificado_abierto,2026-02-17,La Nacion 12/06/2024 (apertura 11/06/2024) y 17/02/2026,"TIENE FICHA EN LA GUIA MICHELIN: esta en la seleccion, nivel de distincion NO verificado (el sitio devolvio vacio o 403 en cinco variantes de pais/idioma). ES VIA B, NO VIA E. OJO CON LA DIRECCION: es PASAJE Arribenos 1980; USIG no reconoce la altura 1980 sobre la calle Arribenos. El Cronista la publica sin el 'Pasaje'."
E02,Ma La Tang,Mendoza,1583,hot pot por peso,china,verificado_abierto,2026-02-17,La Nacion 17/02/2026,
E02,Liang Liang,Montaneses,2221,brochettes y hot pot,china,verificado_abierto,2026-02-17,La Nacion 17/02/2026,
E02,Cochino,Blanco Encalada,1800,street food de cerdo,asiatica,verificado_abierto,2026-02-17,La Nacion 17/02/2026,
E02,Sura,Blanco Encalada,1800,BBQ,coreana,verificado_abierto,2026-02-17,La Nacion 17/02/2026,Apertura reciente.
E02,Dokdo,Blanco Encalada,1820,street food,coreana,verificado_abierto,2026-02-17,La Nacion 17/02/2026,
E02,Feng Wei,Av. Juramento,1698,xiaolongbao,china,verificado_abierto,2026-02-17,La Nacion 17/02/2026,
E02,Tyta Patisserie,11 de Septiembre de 1888,2451,pasteleria,francesa,verificado_abierto,2026-02-17,La Nacion 17/02/2026,
E02,Shanghai Express,Av. del Libertador,6023,chino-americano,china (Shanghai),verificado_abierto,2026-02-17,La Nacion 17/02/2026,FUERA DEL POLIGONO. Apertura reciente.
E02,Dumpling Pong,Mendoza,1730,baos,china,verificado_abierto,2025-04-14,Ohlala 26/06/2024; Perfil 29/11/2024; Buenos Aires Portal 14/04/2025,Complejo Via Viva.
E02,Cafe 2D,Mendoza,1730,cafe,impronta coreana,verificado_abierto,2025-04-14,idem,Complejo Via Viva.
E02,Archi,Mendoza,1730,vegetariano y vegano,,verificado_abierto,2025-04-14,idem,Complejo Via Viva.
E02,Pescadito,Mendoza,1730,pescados,,verificado_abierto,2025-04-14,idem,Complejo Via Viva.
E02,Brochette City,Mendoza,1730,brochettes / yakitori,japonesa,verificado_abierto,2025-04-14,idem,Complejo Via Viva.
E02,Cruz Omakase,Mendoza,1730,omakase,japonesa,verificado_abierto,2025-04-14,idem,Complejo Via Viva.
