polo_id,nombre,comuna,origen,vias_abiertas,veredicto_en_disco,fuente_de_las_vias,C1_umbral,C2_independencia,C3_unidad_espacial,categoria_por_criterio,motivo,perimetro
R01,Palermo,14,referencia publicada,A+B+C+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias de las dos familias. Sistema de seis subzonas declaradas.,cerrado
R02,Avenida Corrientes,1 y 3,referencia publicada,A+B+E+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias. El campo n_vias dice 3: ver ERR-16.,cerrado
R03,San Telmo,1,referencia publicada,B+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Abre por el minimo. B: Bar El Federal (verificado 21/07/2026). E: dos grupos independientes (La Nacion 2026, Time Out 2025). Origenes distintos.",cerrado
R04,Puerto Madero,1,referencia publicada,A+B+E+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias. El campo n_vias dice 3: ver ERR-16.,cerrado
R05,Belgrano,13,referencia publicada,A+B+C+D+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cinco vias. El campo n_vias dice 4: ver ERR-16.,cerrado
R06,Recoleta,2,referencia publicada,A+B+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Tres vias. Hitos sin verificacion individual: alerta de vigencia, no de admision.",cerrado
R07,Costanera Norte,13,referencia publicada,A+B+C+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Cuatro vias, tres de ellas geometricas.",cerrado
R08,Villa Crespo,15,referencia publicada,A+B+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Tres vias.,cerrado
R09,Chacarita,15,referencia publicada,A+B+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Tres vias. Nombre oficial de facto (P068 se llama polo gastronomico).,cerrado
R10,Caballito,6,referencia publicada,A+B+C+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias. C: Mercado del Progreso.,cerrado
R11,Boulevard Caseros,4,referencia publicada,B+E+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Tres vias. B depende de un solo hito (el Britanico): fragilidad declarada, no causal de baja.",cerrado
R12,Centro y Microcentro,1,referencia publicada,A+B,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Abre por el minimo y por las dos familias a la vez: A geometrica, B documental (22 hitos). La via E no abre y eso es el hallazgo, no el problema.",cerrado
R13,Abasto,3 y 5,referencia publicada,A+B+D+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias.,cerrado
R14,Avenida Boedo,5,referencia publicada,A+B+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Tres vias.,cerrado
R15,Devoto,11,referencia publicada,A+B+E+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias.,cerrado
R16,Donado-Holmberg,12,referencia publicada,A+E+F,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Tres vias y cero hitos de via B: la mejor prueba de que las vias son alternativas. Cuatro grupos de via E, dos de ellos de 2017-2018.",cerrado
R17,Villa Urquiza,12,referencia publicada,A+B+E,PUBLICADO,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Tres vias. Si la via E cayera por atribucion (R13: parte de sus notas describen Donado-Holmberg) quedaria en A+B y seguiria admitida.,cerrado
R19,Federico Lacroze,15 y 13,referencia publicada,A+B+E+F,PUBLICADO · se amplia,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cuatro vias. El campo n_vias dice 3: ver ERR-16.,en revision
R20,Garcia del Rio,12,referencia publicada,E+F,PUBLICADO · se amplia,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Abre por el minimo, con F geometrica y E documental: origenes independientes por construccion. Cero hitos. Es el caso que mas tensiona la medicion contra la documentacion.",en revision
R21,La Paternal,15,referencia publicada,A+B+E,PUBLICADO · se amplia,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Tres vias.,en revision
R22,Villa Pueyrredon,12,referencia publicada,A,PUBLICADO,fichas_corpus_polos.csv,NO CUMPLE,no evaluada,cumple,referencia en observacion,"Abre una sola via, la A, con 5,6 % de continuidad. No se da de baja: se publica con su evidencia y con la condicion que no cumple, fechada. La ausencia de evidencia externa fue buscada y verificada: es el resultado, no una laguna.",cerrado
Z23,Flores · casco historico,7,zona nueva,B+F,PENDIENTE,seis_vias_ronda_2.csv (via C cerrada por decision 1),cumple,no evaluada,NO CUMPLE,zona en estudio,"El unico reconocimiento vigente (La Farmacia, Av. Directorio 2400) cae ocho cuadras al sur del poligono propuesto. La unidad espacial no se sostiene con la delimitacion actual: hay que redelimitar antes de decidir.",por trazar
Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,7 (borde en 10 y 11),zona nueva,A+C+D+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cinco vias y seis grupos de via E. Once locales con altura de puerta en dos cuadras.,por trazar
Z25,Floresta,10,zona nueva,B+D+E,PENDIENTE,seis_vias_ronda_2.csv (via C cerrada por decision 1),cumple,NO CUMPLE,cumple,zona en estudio,"Las tres vias convergen en un origen. La propia ficha lo dice: la via E son cuatro notas de apertura en cuatro meses con el mismo angulo, que son UN grupo; la via D se sostiene sobre las mismas direcciones que Z24; y la trayectoria de la via B es del edificio, no del establecimiento (Casa Bogota abrio en 2025).",por trazar
Z26,Velez Sarsfield,10,zona nueva,ninguna,NO ENTRA,seis_vias_ronda_2.csv,NO CUMPLE,no evaluada,no evaluada,zona evaluada sin admision,Cero en las seis vias.,no corresponde
Z27,Villa Santa Rita,11,zona nueva,B+E,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Abre por el minimo. B: tres establecimientos de mas de 50 anos vivos y verificados. E: tres grupos, uno de ellos (Time Out 06/2025, guia de barrio con seis paradas) independiente de El Tokio, que es el ancla de la via B.",por trazar
Z28,Monte Castro,10,zona nueva,A+B+F,PENDIENTE · MEJORA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"RECONCILIACION: el disco lo deja pendiente por el conteo de continuidad sobre Alvarez Jonte, que es un dato de perimetro, no de admision. B: El Fortin (doble reconocimiento) mas Cafe Olimpo, que el callejero le devolvio.",por trazar
Z29,Villa del Parque,11,zona nueva,C,NO ENTRA,seis_vias_ronda_2.csv,NO CUMPLE,no evaluada,no evaluada,zona evaluada sin admision,Una sola via.,no corresponde
Z30,Villa Real y Versalles,10,zona nueva,B,NO ENTRA,seis_vias_ronda_2.csv,NO CUMPLE,no evaluada,no evaluada,zona evaluada sin admision,Una sola via.,no corresponde
Z31,Villa Luro,10,zona nueva,A+E+F,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Tres vias. Perdio su unica via B por dos motivos separados (el hito no esta en el barrio y ademas queda a 1.532 m): es el caso mas expuesto de los que entran, y entra igual porque el criterio no exige la via B.",por trazar
Z32,Liniers · Mercado Andino,9,zona nueva,A+C+D+E,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,"Cuatro vias. C: el Mercado Andino, objeto nombrado y en actividad.",por trazar
Z33,Mataderos,9,zona nueva,A+B+C+D+E,ENTRA,fichas_corpus_polos.csv,cumple,cumple,cumple,polo admitido,Cinco vias.,por trazar
Z34,Parque Chas y Agronomia,15,zona nueva,B,NO ENTRA,seis_vias_ronda_2.csv,NO CUMPLE,no evaluada,no evaluada,zona evaluada sin admision,Una sola via.,no corresponde
