tanda,establecimiento,direccion,barrio,por_que_este,VEREDICTO,FECHA_DE_LA_EVIDENCIA,DONDE_LO_VISTE,nota
1,London City,Av. de Mayo 599,Monserrat,LAMINA 7 + eje de Av. de Mayo. Es de los mas fotografiados de la ciudad: si esta abierto se resuelve en un minuto.,,,,
1,La Puerto Rico,Alsina 420,Monserrat,LAMINA 7. Ademas lo reclaman DOS filas a la vez (R12 Centro y Z47) y hay que repartirlo.,,,,
1,El Querandi,Peru 302,Monserrat,LAMINA 7. Mismo caso: reclamado por dos filas.,,,,
1,Bar El Colonial,Av. Belgrano 599,Monserrat,LAMINA 7.,,,,
1,Bar Seddon,Defensa 695,Monserrat,"LAMINA 7 — y esta sobre Defensa, el eje que cae 5,4 puntos.",,,,
1,Cabildo de Buenos Aires,Peru 86,Monserrat,LAMINA 7. Es un edificio publico: probablemente el mas facil de todos.,,,,
1,La Giralda,Av. Corrientes 1453,San Nicolas,"Reclamado por R02 y R12 a la vez. Y esta en el eje Microcentro, que cae 7,2 puntos.",,,,
1,Plaza Asturias,Av. de Mayo 1199,Monserrat/San Nicolas,LAMINA 5 — es uno de los cuatro de los 1.100 m2. LA LAMINA LO CITA Y NO ESTA VERIFICADO.,,,,
1,El Globo,H. Yrigoyen 1199,Monserrat,"LAMINA 5. Ojo: NO figura en ningun registro oficial, asi que no esta en el catalogo de 90 — verificar igual.",,,,
2,Confiteria La Ideal,Suipacha 384,San Nicolas,Es sede real del Tango BA 2026 segun el anuncio oficial: hay evento fechado para colgarse.,,,,
2,El Gato Negro,Av. Corrientes 1669,San Nicolas,"Microcentro, -7,2 pp.",,,,
2,La Opera,Av. Corrientes 1799,San Nicolas,"Microcentro, -7,2 pp.",,,,
2,Claridge's Bar,Tucuman 535,San Nicolas,Sede real del Tango BA 2026. Y esta adentro de un hotel: ojo con la trampa del contenedor.,,,,
2,Boston City,Florida 165 local 3,San Nicolas,"Florida 165, LOCAL 3 — esta adentro de una galeria. El relevamiento del IDECBA excluye galerias, o sea que no lo veriamos por ahi.",,,,
2,Bar Bidou,Av. Roque Saenz Pena 858,San Nicolas,Microcentro.,,,,
2,Le Caravelle,Lavalle 726,San Nicolas,Microcentro.,,,,
2,Almacen y Bar Lavalle,Lavalle 1693,San Nicolas,Microcentro.,,,,
2,Bar Via 71,Viamonte 1771,San Nicolas,Microcentro.,,,,
2,Celta Bar,Sarmiento 1702,San Nicolas,Microcentro.,,,,
2,Hotel Savoy / Bar Imperio,Callao 181,San Nicolas,Adentro de un hotel: trampa del contenedor.,,,,
