polo,texto
Palermo,"**Cuántos y cuán juntos.** 1916 locales en 385,51 hectáreas: **4,97 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **1,4 %** a veinte metros, 20,9 % a cuarenta, 42,3 % a sesenta, 48,5 % a ochenta y 80,0 % a ciento veinte."
Avenida Corrientes,"**Cuántos y cuán juntos.** 354 locales en 49,67 hectáreas: **7,13 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **3,7 %** a veinte metros, 24,3 % a cuarenta, 79,7 % a sesenta, 100,0 % a ochenta y 100,0 % a ciento veinte."
San Telmo,"**Cuántos y cuán juntos.** 71 locales en 25,37 hectáreas: **2,8 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **8,5 %** a veinte metros, 23,9 % a cuarenta, 59,2 % a sesenta, 59,2 % a ochenta y 80,3 % a ciento veinte."
Puerto Madero,"**Cuántos y cuán juntos.** 354 locales en 314,54 hectáreas: **1,13 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,0 %** a veinte metros, 5,9 % a cuarenta, 12,4 % a sesenta, 16,4 % a ochenta y 28,8 % a ciento veinte."
Belgrano,"**Cuántos y cuán juntos.** 343 locales en 39,65 hectáreas: **8,65 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **8,5 %** a veinte metros, 18,1 % a cuarenta, 48,4 % a sesenta, 48,4 % a ochenta y 49,0 % a ciento veinte."
Recoleta,"**Cuántos y cuán juntos.** 714 locales en 140,52 hectáreas: **5,08 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,2 %** a veinte metros, 7,8 % a cuarenta, 23,1 % a sesenta, 68,3 % a ochenta y 100,0 % a ciento veinte."
Costanera Norte,"**Cuántos y cuán juntos.** 67 locales en 38,5 hectáreas: **1,74 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **7,5 %** a veinte metros, 26,9 % a cuarenta, 49,3 % a sesenta, 49,3 % a ochenta y 52,2 % a ciento veinte."
Villa Crespo,"**Cuántos y cuán juntos.** 823 locales en 335,46 hectáreas: **2,45 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **1,0 %** a veinte metros, 4,5 % a cuarenta, 7,9 % a sesenta, 42,3 % a ochenta y 93,1 % a ciento veinte."
Chacarita,"**Cuántos y cuán juntos.** 202 locales en 94,81 hectáreas: **2,13 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **5,4 %** a veinte metros, 6,4 % a cuarenta, 15,3 % a sesenta, 29,2 % a ochenta y 51,5 % a ciento veinte."
Caballito,"**Cuántos y cuán juntos.** 508 locales en 225,36 hectáreas: **2,25 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **1,2 %** a veinte metros, 7,7 % a cuarenta, 15,0 % a sesenta, 27,0 % a ochenta y 92,5 % a ciento veinte."
Boulevard Caseros,"**Cuántos y cuán juntos.** 60 locales en 50,03 hectáreas: **1,2 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **6,7 %** a veinte metros, 11,7 % a cuarenta, 13,3 % a sesenta, 25,0 % a ochenta y 25,0 % a ciento veinte."
Centro y Microcentro,"**Cuántos y cuán juntos.** 1084 locales en 184,12 hectáreas: **5,89 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **1,3 %** a veinte metros, 11,4 % a cuarenta, 33,3 % a sesenta, 34,5 % a ochenta y 58,9 % a ciento veinte."
Abasto,"**Cuántos y cuán juntos.** 373 locales en 109,0 hectáreas: **3,42 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,7 %** a veinte metros, 9,1 % a cuarenta, 31,4 % a sesenta, 87,7 % a ochenta y 99,7 % a ciento veinte."
Avenida Boedo,"**Cuántos y cuán juntos.** 245 locales en 179,46 hectáreas: **1,37 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,0 %** a veinte metros, 5,7 % a cuarenta, 20,4 % a sesenta, 27,8 % a ochenta y 49,0 % a ciento veinte."
Devoto,"**Cuántos y cuán juntos.** 422 locales en 478,74 hectáreas: **0,88 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **2,8 %** a veinte metros, 10,2 % a cuarenta, 12,6 % a sesenta, 14,2 % a ochenta y 25,4 % a ciento veinte."
Donado–Holmberg,"**Cuántos y cuán juntos.** 121 locales en 119,0 hectáreas: **1,02 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **3,3 %** a veinte metros, 9,1 % a cuarenta, 14,0 % a sesenta, 30,6 % a ochenta y 37,2 % a ciento veinte."
Villa Urquiza,"**Cuántos y cuán juntos.** 528 locales en 446,62 hectáreas: **1,18 por hectárea**. Uniendo los locales que están cerca unos de otros, la cadena más larga que se forma junta al **0,9 %** a veinte metros, 2,5 % a cuarenta, 10,4 % a sesenta, 24,6 % a ochenta y 74,2 % a ciento veinte."
