nombre,direccion,barrio,comuna,declaratoria,norma,anio,organismo,url_fuente,nota
Esquina Homero Manzi,Av. San Juan 3601,Boedo,5,Sitio Historico Nacional,-,-,Nacion,https://turismo.buenosaires.gob.ar/es/gastronomico/esquina-homero-manzi,HOY SOLO FIGURA COMO BAR NOTABLE EN LA CAPA
Pena Los Amigos / Bar El Chino,Beazley 3566,Nueva Pompeya,4,Sitio de Interes Cultural,norma 421/99,1999,CPPHC-GCBA,https://buenosaires.gob.ar/areas/cultura/cpphc/sitios/detalle.php?id=41,1944. VIGENCIA DUDOSA: sin cobertura posterior a 2017
Pizzeria Banchero,Suarez 396,La Boca,4,Sitio de Interes Cultural,Norma 143/02,2002,CPPHC-GCBA,https://buenosaires.gob.ar/areas/cultura/cpphc/sitios/detalle.php?id=74,1932
Bar Oviedo,Av. Lisandro de la Torre 2407,Mataderos,9,Sitio de Interes Cultural + APH 21 proteccion Estructural,-,2004,CPPHC-GCBA,https://buenosaires.gob.ar/areas/cultura/cpphc/sitios/detalle.php?id=102,1898/1900. VIGENCIA DUDOSA: no participo de la Noche de los Bares Notables 2025
Bar Catedral Tango,Timoteo Gordillo 2498,Mataderos,9,Sitio de Interes Cultural,-,2015-10-21,GCBA,https://buenosaires.gob.ar/noticias/reconocimiento-uno-de-los-lugares-mas-emblematicos-de-mataderos,almacen de abril de 1914
Pizzeria El Cedron,Av. Juan B. Alberdi 6101,Mataderos,9,Sitio de Interes Cultural,-,2013-06,Legislatura CABA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/el-cedron,placa 03/06/2013
El Puentecito,Vieytes 1895,Barracas,4,Declarado de Interes Cultural,-,2018,Legislatura CABA,https://turismo.buenosaires.gob.ar/es/gastronomico/el-puentecito,origen 1750 como pulperia y posta
Edificios Administrativos del Antiguo Matadero,Av. Lisandro de la Torre y Av. de los Corrales,Mataderos,9,Monumento Historico Nacional + APH 21,Decreto 1021/1979,1979,Nacion,https://aquimataderosonline.com.ar/patrimonio-historico-arquitectonico-del-barrio-de-mataderos/,FALTA confirmar el decreto contra el registro nacional
Mercado de San Telmo,Bolivar 954,San Telmo,1,Monumento Historico Nacional,Decreto 12/2001,2001,Nacion,https://www.argentina.gob.ar/capital-humano/cultura/monumentos/mercado-de-san-telmo,QUEDA 64 m AFUERA de la envolvente R03
Yiyo el Zeneize,Av. Eva Peron 4402,Parque Avellaneda,9,Patrimonio historico y patrimonio cultural inmaterial de su carta gastronomica,Ley CABA 6.533,2021,Legislatura CABA,https://boletinoficialpdf.buenosaires.gob.ar/util/imagen.php?idn=602315&idf=1,"EL CASO MAS NITIDO: la ley declara patrimonio la CARTA, no solo el edificio"
