direccion_original,direccion_consulta,direccion_candidatas,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,comuna_fuente,coincide_comuna,precision,estado,calidad_geo,criterio_seleccion,fecha_consulta
"YRIGOYEN, HIPOLITO 2882",YRIGOYEN 2882,YRIGOYEN 2882 | HIPOLITO YRIGOYEN 2882,"YRIGOYEN, HIPOLITO 2882, CABA",-34.611384,-58.40699,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
HUMBOLDT 537,HUMBOLDT 537,HUMBOLDT 537,"HUMBOLDT 537, CABA",-34.594016,-58.446628,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
HOMERO 1450,HOMERO 1450,HOMERO 1450,"HOMERO 1450, CABA",-34.651252,-58.484465,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ARRIBEÑOS 3692,ARRIBENOS 3692,ARRIBENOS 3692,"ARRIBEÑOS 3692, CABA",-34.544373,-58.461064,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CHILAVERT, MARTINIANO, CORONEL 6622",CHILAVERT 6622,CHILAVERT 6622 | MARTINIANO CORONEL CHILAVERT 6622,"CHILAVERT, MARTINIANO, CORONEL 6622, CABA",-34.687631,-58.477479,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BAUNESS 2095,BAUNESS 2095,BAUNESS 2095,"BAUNESS 2095, CABA",-34.577952,-58.484633,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"GARAY, JUAN DE AV. 1253",GARAY 1253,GARAY 1253 | JUAN DE GARAY 1253 | AV JUAN DE GARAY 1253,"GARAY, JUAN DE AV. 1253, CABA",-34.626896,-58.383631,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DE LOS INCAS AV. 4225,DE LOS INCAS 4225,DE LOS INCAS 4225 | AV DE LOS INCAS 4225 | AVENIDA DE LOS INCAS 4225,"DE LOS INCAS AV. 4225, CABA",-34.579416,-58.471138,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ JONTE AV. 3293,ALVAREZ JONTE 3293,ALVAREZ JONTE 3293 | AV ALVAREZ JONTE 3293 | AVENIDA ALVAREZ JONTE 3293,"ALVAREZ JONTE AV. 3293, CABA",-34.610436,-58.489156,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MATHEU 1792,MATHEU 1792,MATHEU 1792,"MATHEU 1792, CABA",-34.630406,-58.397787,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
