orden_propuesto,comuna_numero,comuna_principal,polo_uid,legacy_id,polo_nombre,criterio,estado
1,1,Comuna 1,POLO-R02,R02,Avenida Corrientes,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
2,1,Comuna 1,POLO-R11,R11,Boulevard Caseros,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
3,1,Comuna 1,POLO-R12,R12,Centro y Microcentro,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
4,1,Comuna 1,POLO-Z47,Z47,Monserrat y Congreso,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
5,1,Comuna 1,POLO-R04,R04,Puerto Madero,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
6,1,Comuna 1,POLO-Z46,Z46,Retiro,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
7,1,Comuna 1,POLO-R03,R03,San Telmo,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
8,2,Comuna 2,POLO-R06,R06,Recoleta,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
9,3,Comuna 3,POLO-R13,R13,Abasto,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
10,3,Comuna 3,POLO-Z35,Z35,Balvanera · Once,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
11,4,Comuna 4,POLO-Z50,Z50,Barracas · Av. Montes de Oca,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
12,4,Comuna 4,POLO-Z51,Z51,"Barracas · Iriarte, California y Vieytes","comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
13,4,Comuna 4,POLO-Z52,Z52,La Boca · Almirante Brown y Necochea,"comuna principal por locales; dentro de comuna, nombre alfabético",PROPUESTA_NO_INSTITUCIONAL
