polo_uid,polo_nombre,n_referentes,n_con_coordenadas,n_vigencia_verificada,n_sin_verificar,n_fuera_geometria,n_cerca_borde_50m,n_cerrados,n_reabiertos,categorias_representadas,estado_qa
POLO-R14,Avenida Boedo,3,3,1,2,0,0,0,0,Bar Notable;pizzería histórica,CON_REFERENCIAS
POLO-R02,Avenida Corrientes,10,10,8,2,0,3,0,0,Bar Notable;Restaurante Icónico;pizzería histórica,CON_REFERENCIAS
POLO-Z50,Barracas · Av. Montes de Oca,2,2,1,1,0,1,0,0,Bar Notable;pizzería histórica,CON_REFERENCIAS
POLO-Z51,"Barracas · Iriarte, California y Vieytes",1,1,1,0,0,1,0,1,Bar Notable,CON_REFERENCIAS
POLO-R11,Boulevard Caseros,1,1,1,0,0,1,0,0,Bar Notable,CON_REFERENCIAS
SYS-CHACAGIALES,Chacagiales,9,9,2,7,0,1,0,0,Bar Notable;Bib Gourmand;MICHELIN;Restaurante Icónico,CON_REFERENCIAS
POLO-R15,Devoto,3,3,2,1,0,0,0,0,Bar Notable;pizzería histórica,CON_REFERENCIAS
POLO-Z52,La Boca · Almirante Brown y Necochea,3,3,2,1,0,2,1,0,Bar Notable;pizzería histórica,CON_REFERENCIAS
POLO-Z53,La Boca · Caminito y Vuelta de Rocha,1,1,1,0,0,1,0,0,Bar Notable,CON_REFERENCIAS
POLO-Z28,Monte Castro,1,1,1,0,0,1,0,0,pizzería histórica,CON_REFERENCIAS
POLO-Z41,Nunez,6,6,1,5,0,0,0,0,Bar Notable;Bib Gourmand;Latin America’s 50 Best;MICHELIN,CON_REFERENCIAS
POLO-Z27,Villa Santa Rita,3,3,3,0,0,2,0,0,Bar Notable;referente barrial,CON_REFERENCIAS
POLO-R17,Villa Urquiza,1,1,1,0,0,0,0,0,Bar Notable,CON_REFERENCIAS
POLO-R07,Costanera Norte,2,2,0,2,0,2,0,0,Restaurante Icónico;mercado/patio,REFERENCIAS_DEBILES_SIN_VIGENCIA
POLO-R21,La Paternal,3,3,0,3,0,1,0,0,Bib Gourmand;otro documentado;pizzería histórica,REFERENCIAS_DEBILES_SIN_VIGENCIA
POLO-R04,Puerto Madero,7,7,0,7,0,2,0,0,Latin America’s 50 Best;MICHELIN;Restaurante Icónico,REFERENCIAS_DEBILES_SIN_VIGENCIA
POLO-Z44,Villa Ortuzar,1,1,0,1,0,1,0,0,pizzería histórica,REFERENCIAS_DEBILES_SIN_VIGENCIA
POLO-R13,Abasto,4,4,3,1,1,0,0,0,Bar Notable;pizzería histórica,REVISAR_ASIGNACIONES_FUERA_GEOMETRIA
POLO-Z37,Almagro,8,8,5,3,6,1,0,0,Bar Notable;Restaurante Icónico;pizzería histórica,REVISAR_ASIGNACIONES_FUERA_GEOMETRIA
