metrica,valor,detalle
total_candidatos_revisados,26,16 en alcance + 8 pendientes V0 + 2 fuera de alcance
mercados_en_alcance_total,16,padron candidato V1 (mercados_gastronomicos_candidatos_v1.csv)
mercados_activos_para_conteo,15,en alcance menos Mercado de los Carruajes (cerrado); incluye 2 itinerantes
mercados_activos_itinerantes,2,Buenos Aires Market + Sabe la Tierra (cuentan como activos con marca itinerante)
mercados_cerrados_documentados,1,Mercado de los Carruajes (cierre abril 2025; antecedente)
mercados_pendientes,4,CAM 27 Pompeya + CAM 116 Villa Pueyrredon + Comunitario Primera Junta + M1
distritos_gastronomicos_no_mercado,2,Barrio Chino + Los Arcos del Rosedal
fuera_de_alcance,2,Mercado de las Pulgas + Distrito Arcos
publicos,3,Patio de los Lecheros + Smart Plaza Parque Patricios + Rodrigo Bueno
privados,7,Progreso + Mercat Villa Crespo + Soho + El Galpon + Mercat Caballito + BA Market + Sabe la Tierra
mixtos,6,San Telmo + Belgrano + Carruajes + Bonpland + Costanera Norte + San Nicolas
con_horario_confirmado,11,Belgrano Progreso Mercat VC Soho Lecheros Bonpland El Galpon Smart Plaza Rodrigo Bueno San Nicolas Mercat Caballito
con_gestion_confirmada,13,confirmada por sitio oficial o fuente institucional; tentativa en San Telmo Costanera Norte y modelo de Bonpland
con_oferta_confirmada,16,todos con oferta gastronomica/alimentaria descripta por fuente
pendientes_resueltos,4,CAM72=San Nicolas y CAM128=Belgrano (incluir) + Barrio Chino y Los Arcos (distrito)
fecha_corte,2026-06-23,consolidacion documental V1 con fuentes publicas
