indicador,valor,unidad
total_activos_identificados,13,mercados
sede_fija,11,mercados
itinerantes,2,mercados
tipo_mercado_historico,3,mercados
tipo_mercado_barrial_alimentario,1,mercados
tipo_food_hall,2,mercados
tipo_patio_gastronomico,4,mercados
tipo_mercado_de_productores,2,mercados
tipo_feria_gastronomica,1,mercados
gestion_publica,3,mercados
gestion_privada,5,mercados
gestion_mixta,5,mercados
perfil_productores,3,mercados
multifuente_respaldo_cruzado,13,mercados
respaldo_alto_documental,12,mercados
respaldo_medio_documental,1,mercados
respaldo_basico_documental,0,mercados
con_horario_confirmado,11,mercados
comunas_con_presencia,6,comunas
espacios_relevantes_no_contabilizados,3,espacios
cerrados_documentados,1,espacios
