metrica,valor,detalle
total_candidatos_revisados,26,acumulado (incluye equivalencias CAM y alias M1)
mercados_en_alcance_total,16,padron candidato (mercados_gastronomicos_candidatos_v1_2.csv)
mercados_gastronomicos_activos_confirmados,13,activos de sede fija para conteo
mercados_itinerantes_activos,2,Buenos Aires Market + Sabe la Tierra
mercados_activos_para_conteo_total,15,13 fijos + 2 itinerantes (sin cambios respecto de V1)
mercados_cerrados_documentados,1,Mercado de los Carruajes (cierre abril 2025)
mercados_pendientes,0,los 4 pendientes V1 quedaron resueltos en V1.2
distritos_gastronomicos_no_mercado,2,Barrio Chino + Los Arcos del Rosedal
abasto_no_gastronomico_no_contabilizado,3,Mercado Pompeya (CAM27) + Villa Pueyrredon (CAM116) + Primera Junta
fuera_de_alcance,2,Mercado de las Pulgas (= predio Mercado M1) + Distrito Arcos
publicos,3,Patio de los Lecheros + Smart Plaza Parque Patricios + Rodrigo Bueno
privados,7,Progreso + Mercat Villa Crespo + Soho + El Galpon + Mercat Caballito + BA Market + Sabe la Tierra
mixtos,6,San Telmo + Belgrano + Carruajes + Bonpland + Costanera Norte + San Nicolas
gestion_tentativa_restante,0,San Telmo y Costanera Norte confirmados mixta en V1.2
con_horario_confirmado,12,suma Patio Costanera Norte respecto de V1 (11 -> 12)
con_gestion_confirmada,15,solo queda con matiz menor el modelo exacto de Bonpland
con_oferta_confirmada,16,todos con oferta gastronomica/alimentaria descripta por fuente
fecha_corte,2026-06-23,cierre fino V1.2 con fuentes publicas
