metrica,valor,detalle
candidatos_en_alcance_total,16,mercados gastronomicos candidatos en mercados_gastronomicos_candidatos_v0.csv
candidatos_confirmados,16,con al menos una fuente confiable (C1/C2/C3)
candidatos_confirmados_C1_oficial,11,sostenidos por GCBA/Turismo BA
candidatos_confirmados_C2_sitio_oficial,2,Buenos Aires Market y Sabe la Tierra
candidatos_confirmados_C3_multifuente,1,Mercat Caballito
gestion_publica,3,Patio de los Lecheros + Smart Plaza Parque Patricios + Rodrigo Bueno
gestion_privada,7,Progreso + Mercat Villa Crespo + Soho + El Galpon + Mercat Caballito + Buenos Aires Market + Sabe la Tierra
gestion_mixta,6,San Telmo + Belgrano + Carruajes + Bonpland + Costanera Norte + San Nicolas
gestion_pendiente,0,sin casos sin gestion tentativa
tipo_food_hall,4,Mercat Villa Crespo + Mercado Soho + Mercado de los Carruajes + Mercat Caballito
tipo_mercado_de_productores,3,Mercado Bonpland + El Galpon + Sabe la Tierra
tipo_identidad_historica_gastronomica,3,San Telmo + Belgrano + San Nicolas
tipo_espacio_tipo_mercado_gastronomico,4,Patio de los Lecheros + Smart Plaza Parque Patricios + Patio Costanera Norte + Rodrigo Bueno
tipo_mercado_barrial_alimentario,1,Mercado del Progreso
tipo_feria_gastronomica,1,Buenos Aires Market
candidatos_estado_activo,15,operativos
candidatos_estado_cerrado,1,Mercado de los Carruajes (cierre abril 2025)
candidatos_itinerantes,2,Buenos Aires Market y Sabe la Tierra
pendientes_revision,8,4 CAM + Comunitario Primera Junta + M1 + Barrio Chino + Los Arcos del Rosedal
fuera_de_alcance,2,Mercado de las Pulgas y Distrito Arcos
perfil_turistico_alto,3,San Telmo Mercado Soho (Carruajes cerrado)
campos_con_alta_proporcion_pendiente,horarios_y_dias,faltan horarios/dias confiables en la mayoria de mercados publicos
fecha_corte,2026-06-23,relevamiento v0 con fuentes publicas
