id_omitido,nombre,fuente_deteccion,barrio_o_zona,clasificacion,nivel_confianza,estado,accion,observacion,fecha_consulta
PO-0001,Gourmand Food Hall,google_places,CABA,posible_food_hall,medio,posible_omitido_pendiente_revision,verificar_con_fuente_oficial,food hall a confirmar; no se suma al conteo,2026-06-24
PO-0002,Feria del Productor al Consumidor (Facultad de Agronomia),google_places,CABA,posible_feria_gastronomica,medio,posible_omitido_pendiente_revision,verificar_con_fuente_oficial,feria de productores FAUBA; revisar foco gastronomico,2026-06-24
PO-0003,Mercado Punto Verde,google_places,CABA,posible_mercado_de_productores,medio,posible_omitido_pendiente_revision,verificar_con_fuente_oficial,farmers_market/health_food; posible programa GCBA,2026-06-24
PO-0004,Lo Simple Mercado Natural,google_places,CABA,posible_mercado_gastronomico,medio,posible_omitido_pendiente_revision,verificar_con_fuente_oficial,market/cafe natural; revisar si es mercado o local,2026-06-24
PO-0005,Feria Leer y Comer,google_places,CABA,posible_feria_gastronomica,medio,posible_omitido_pendiente_revision,verificar_con_fuente_oficial,feria con eje gastronomico a confirmar,2026-06-24
PO-0006,Andes Mercado,google_places,CABA,dudoso_pendiente_revision,bajo,posible_omitido_pendiente_revision,revisar,food_store/restaurant; probablemente local no mercado,2026-06-24
PO-0007,Le marche,google_places,CABA,dudoso_pendiente_revision,bajo,posible_omitido_pendiente_revision,revisar,market; posible deli/local; a confirmar,2026-06-24
PO-0008,Bon Marche,google_places,CABA,dudoso_pendiente_revision,bajo,descartar_probable,descartar,grocery_store; probablemente no es mercado gastronomico,2026-06-24
PO-0009,Mercado Primera Junta,google_places,Caballito,abasto_no_gastronomico,medio,ya_en_relevamiento,sin_accion,ya documentado como abasto no gastronomico (NC-0006),2026-06-24
PO-0010,Patio Parque Patricios,google_places,Parque Patricios,espacio_tipo_mercado_gastronomico,medio,ya_en_relevamiento,sin_accion,corresponde a Smart Plaza Parque Patricios (MG-0010) ya activo,2026-06-24
