tipo_mercado_gastronomico,definicion,incluye,excluye,gestion_tipica,senal_distintiva,riesgo_metodologico,criterio_de_validacion
mercado_gastronomico_publico,mercado de gestion estatal o municipal con la gastronomia o los alimentos como eje principal,mercados municipales con oferta de comida o productos alimentarios central,supermercados publicos y mercados sin eje alimentario,publica,titularidad o administracion GCBA con oferta gastronomica o alimentaria central,confundir abastecimiento puro sin gastronomia con mercado gastronomico,registro oficial GCBA mas evidencia de oferta gastronomica o alimentaria
mercado_gastronomico_privado,mercado de gestion privada con multiples puestos y gastronomia como eje principal,food halls y mercados gastronomicos privados con varios operadores de comida,restaurante individual y shopping,privada,operador privado con varios puestos gastronomicos,confundir food hall con un solo restaurante,sitio oficial del mercado mas multiples puestos gastronomicos
mercado_gastronomico_mixto,mercado de gestion compartida publica y privada con eje gastronomico,inmueble publico con explotacion gastronomica privada,mercado puramente publico o privado sin eje gastronomico,mixta,inmueble publico con concesion gastronomica privada,clasificar mal por falta de dato de gestion,documentacion de concesion o convenio mas evidencia gastronomica
food_hall,patio gastronomico curado con multiples propuestas de comida como atractivo principal,mercados gastronomicos tipo patio de comidas curado,patio de comidas de shopping y supermercado,privada,curaduria gastronomica como atractivo principal,confundir con patio de comidas de shopping o galeria,sitio oficial y oferta gastronomica multiple curada
mercado_de_productores,espacio de venta directa de productores de alimentos y bebidas,ferias y mercados de productores organicos o agroecologicos de alimentos,feria de manualidades antiguedades o ropa,publica o mixta,productores de alimentos con venta directa,confundir con feria de manualidades o pulgas,catalogo de ferias GCBA o relevamiento con foco alimentario
feria_gastronomica,feria con eje gastronomico o alimentario relevante permanente o periodica,ferias de comida bebida y productos alimentarios,feria general de ropa artesanias o antiguedades sin foco alimentario,publica o mixta,puestos de comida o alimentos como componente central,incluir feria generica sin foco alimentario,catalogo o programa con foco gastronomico verificado
mercado_barrial_alimentario,mercado de barrio con oferta alimentaria o gastronomica significativa,mercados barriales de abasto con componente alimentario o de comida central,mercado barrial sin oferta alimentaria relevante,publica o mixta,abasto barrial con peso alimentario o gastronomico,asumir foco gastronomico sin verificar la oferta,relevamiento de oferta alimentaria o gastronomica del predio
mercado_turistico_gastronomico,mercado con perfil turistico asociado a su oferta gastronomica,mercados emblematicos cuyo atractivo turistico es la gastronomia o los alimentos,atraccion turistica sin oferta gastronomica central,publica o privada,relevancia turistica ligada a la oferta gastronomica,sobrestimar el peso gastronomico por el perfil turistico,fuente turistica oficial mas evidencia de oferta gastronomica
mercado_con_identidad_historica_gastronomica,mercado tradicional de larga trayectoria con oferta alimentaria significativa,mercados historicos de abasto con identidad y oferta de alimentos o comida,mercado historico sin oferta alimentaria vigente,publica o mixta,trayectoria documentada mas oferta alimentaria o gastronomica vigente,asumir vigencia o foco gastronomico sin verificar,referencias documentales mas evidencia de oferta vigente
espacio_tipo_mercado_gastronomico,espacio que opera con formato de mercado y eje gastronomico,espacios gastronomicos con estetica y formato de mercado con varios operadores,restaurante tematico individual,privada,formato mercado con varios operadores gastronomicos,etiquetar un solo restaurante como mercado,verificar multiples operadores con eje gastronomico
dudoso_pendiente_revision,espacio candidato sin foco gastronomico confirmado,casos ambiguos donde el peso de la gastronomia no esta claro,nada se excluye automaticamente sin revisar,pendiente,senales insuficientes o contradictorias sobre el eje gastronomico,excluir prematuramente un espacio gastronomico valido,revision manual posterior del foco gastronomico
fuera_de_alcance_no_gastronomico,espacio sin eje gastronomico o alimentario central,mercados de pulgas antiguedades ropa artesanias diseno shoppings supermercados y galerias,nada relevante para el informe gastronomico,cualquiera,categoria principal no alimentaria ni gastronomica,incluir por error un espacio no gastronomico,evidencia de que la gastronomia es accesoria o inexistente
