codigo_fuente,nombre_fuente,tipo,universo,naturaleza,disponible_local,rol_en_informe,cobertura_esperada,requiere_descarga_o_request,sensible,uso_recomendado,limitaciones
F03_mercados,Ferias y Mercados - mercados (GCBA BA Data),dataset abierto,publica,oficial,si,ancla_oficial_mercados_publicos,baja,no,no,nucleo_oficial,solo 6 centros de abastecimiento municipal; filtrar por foco alimentario o gastronomico; no cubre mercados gastronomicos privados ni food halls
F03_ferias,Ferias y Mercados - ferias (GCBA BA Data),dataset abierto,publica,oficial,si,ancla_oficial_ferias_gastronomicas,media,no,no,nucleo_oficial,incluye ferias de antiguedades y manualidades; quedarse solo con ferias de foco gastronomico o de productores de alimentos
F03_espacios_proc,fact_espacio_feria_mercado (procesado V1),tabla derivada,publica,oficial_derivada,si,referencia_territorial,media,no,no,solo_lectura,espacios reales V1 grano mixto no regenerar; filtrar por foco gastronomico
BA_DATA,Buenos Aires Data - catalogo abierto,portal de datos,publica,oficial,no,buscar_datasets_mercados_gastronomicos,desconocida,si_descarga_futura,no,nucleo_oficial,identificar recurso directo de mercados gastronomicos food halls y mercados de productores
TURISMO_BA,Ente de Turismo / Turismo BA,curaduria institucional,publica,oficial,no,mercados_gastronomicos_con_perfil_turistico,media,si_descarga_futura,no,ancla_institucional,sesgo turistico hacia mercados gastronomicos emblematicos
BA_CAPITAL_GASTRO,BA Capital Gastronomica,programa GCBA,publica,oficial,no,contexto_politica_publica_gastronomica,baja,si_descarga_futura,no,solo_contexto,no es padron de mercados; aporta circuitos y politicas gastronomicas
SITIO_GCBA,buenosaires.gob.ar sitios oficiales,web oficial,publica,oficial,no,fichas_oficiales_por_mercado,media,si_request_futuro,no,fuente_documental,paginas por mercado a relevar manualmente
SITIOS_MERCADOS,Sitios y redes oficiales de cada mercado,web oficial del mercado,externa,operativa,no,horarios_oferta_por_mercado,media,si_request_futuro,no,fuente_documental,horarios y oferta autodeclarados a contrastar
OSM,OpenStreetMap,fuente abierta auxiliar,externa,auxiliar,no,cobertura_y_geometria,media,si_overpass_futuro,no,complemento,cobertura desigual sin scraping del sitio
GOOGLE_PLACES,Google Places API,senal operativa,externa,no_oficial,no,cobertura_amplia_y_actividad,alta,si_request_y_presupuesto,si,complemento,no oficial requiere topes y aprobacion y presupuesto
PRENSA,Notas periodisticas,documental,externa,documental,no,casos_y_contexto,media,si_request_futuro,no,fuente_documental,priorizar medios con autoria y fecha
PERPLEXITY,Perplexity / busqueda asistida,localizador,externa,localizador,no,localizar_fuentes,n/a,si_uso_futuro,no,localizador_no_fuente_final,sin url verificable no entra
I_DGDGAS,Fuentes internas DGDGAS,interna,interna,interna,si,contexto_eventos_en_mercados,baja,no,si,solo_metadata_agregada,senales como PATIO Y MERCADOS y BUENOS AIRES MARKET; no exponer PII
INVENTARIO_DRIVE,Inventarios de Drive copiados,interna,interna,interna,si,deteccion_documentos_mercados,baja,no,si,solo_metadata,referencias como Mercados Madrid; no publicar contenido ni links privados
