id_candidato,nombre,tipo_mercado_gastronomico,gestion_publica_privada_mixta,barrio,comuna,direccion_o_zona,dias_de_apertura,horarios,estado_operativo,activo_para_conteo,motivo_no_activo,oferta_gastronomica,oferta_alimentaria,oferta_no_gastronomica_secundaria,cantidad_de_puestos_si_existe,tipo_de_puestos,publico_objetivo,perfil_turistico,perfil_barrial,presencia_de_productores,presencia_de_locales_gastronomicos,eventos_o_activaciones,relacion_con_politicas_publicas,fuente_principal,fuentes_secundarias,urls_fuente,nivel_confianza,estado_revision,campos_pendientes,observaciones,fecha_consulta
MG-0001,Mercado de San Telmo,mercado_con_identidad_historica_gastronomica,mixta,San Telmo,1,Defensa 961/963,Lunes a Domingo,pendiente_fuentes_difieren (~9-22),activo,si,,"puestos de comida y propuestas gourmet (local vietnamita cafe)",frutas verduras carnes y productos frescos,antiguedades,pendiente,mixtos_gastronomicos_y_alimentarios,mixto,alto,alto,pendiente,si,pendiente,patrimonio historico y circuito turistico GCBA,TURISMO_BA,SITIO_OFICIAL_MERCADO,http://buenosaires.gob.ar/Descubrir%20BA/mercado-de-san-telmo|https://mercadosantelmo.com.ar/,C1_oficial,confirmado,horarios;cantidad_de_puestos,mercado de 1897 monumento historico; gastronomia eje con anticuariado secundario,2026-06-23
MG-0002,Mercado de Belgrano,mercado_con_identidad_historica_gastronomica,mixta,Belgrano,13,Av. Juramento 2527 (Juramento y Ciudad de la Paz),"Frescos Lun-Sab; gastronomia Lun-Dom","frescos 8:30-20; gastronomia 11-24",activo,si,,"patio gastronomico: cocinas judia vietnamita arabe italiana japonesa",frutas verduras carnes pescados fiambres quesos pastas frescas,pendiente,pendiente,mixtos_gastronomicos_y_alimentarios,barrial_turistico,medio,alto,pendiente,si,pendiente,mercado municipal historico (ex CAM 128) renovado por GCBA,GCBA,TURISMO_BA|prensa,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-belgrano|https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-belgrano,C1_oficial,confirmado,cantidad_de_puestos,mercado de 1891 renovado 2017-2019; corresponde al CAM Nº 128,2026-06-23
MG-0003,Mercado del Progreso,mercado_barrial_alimentario,privada,Caballito,6,Av. Rivadavia 5430 (entrada Del Barco Centenera 141),Lunes a Sabado (cerrado domingos),"Lun-Vie 7:30-13 y 17-20; Sab 7:30-14 y 17-20",activo,si,,"bares pizzerias y vinerias dentro del mercado",frutas verduras carnes pescados frutos de mar fiambres,pendiente,191_segun_fuente_auxiliar,mixtos_alimentarios_y_gastronomicos,barrial,medio,alto,pendiente,si,pendiente,sitio de interes cultural GCBA 2001,SITIO_OFICIAL_MERCADO,TURISMO_BA|GCBA,https://mercadodelprogreso.com/|https://turismo.buenosaires.gob.ar/en/otros-establecimientos/mercado-del-progreso,C1_oficial,confirmado,cantidad_de_puestos_exacta,mercado de 1889; gestion privada confirmada por sitio propio,2026-06-23
MG-0004,Mercat Villa Crespo,food_hall,privada,Villa Crespo,15,Thames 747,Martes a Domingo,"Mar-Jue y Dom 12-23; Vie-Sab 12-01",activo,si,,"puestos de comida de autor panaderia cafeteria vinos y cervezas",alimentos naturales y productos de productores,actividad artistica y cultural,pendiente,gastronomicos_y_alimentarios,mixto,medio,medio,si,si,actividad artistica y cultural,pendiente,TURISMO_BA,prensa,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercat-villa-crespo,C1_oficial,confirmado,cantidad_de_puestos,edificio 2700 m2 tres plantas; comercio directo productor-consumidor,2026-06-23
MG-0005,Mercado Soho,food_hall,privada,Palermo,14,Armenia 1744,Martes a Domingo y feriados,desde 12:30,activo,si,,"9 locales de cocina internacional (street food y gourmet) y dos barras",pendiente,pendiente,9_locales,gastronomicos,turistico_mixto,alto,medio,no,si,pendiente,pendiente,TURISMO_BA,SITIO_OFICIAL_MERCADO|prensa,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-soho|https://www.mercadosoho.com.ar/,C1_oficial,confirmado,horario_de_cierre,inaugurado nov 2020; 700 m2 dos pisos,2026-06-23
MG-0006,Patio de los Lecheros,espacio_tipo_mercado_gastronomico,publica,Caballito,6,Av. Tte. Gral. Donato Alvarez 175,Todos los dias,"Dom-Mie 9-24; Jue 9-2; Vie-Sab 9-3 (gastronomia desde 13)",activo,si,,"foodtrucks y puestos: parrilla mariscos mexicana japonesa pizza cerveza",pendiente,libreria talleres juegos shows,pendiente,gastronomicos,barrial_turistico,medio,alto,no,si,shows en vivo y actividades culturales,propuesta gratuita organizada por GCBA,GCBA,prensa,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-de-los-lecheros,C1_oficial,confirmado,cantidad_de_puestos,antiguo anden ferroviario reconvertido; polo gastronomico y cultural,2026-06-23
MG-0007,Mercado de los Carruajes,food_hall,mixta,Retiro,1,Av. del Libertador (zona Retiro),cerrado,cerrado,cerrado,no,cerro definitivamente en abril 2025 (se reconvierte a eventos),"rotiseria cerveceria vinoteca y restaurantes (cuando operaba)",mermeladas pastas sin gluten tes vinos de marca propia,espacio para eventos,43_puestos,gastronomicos_y_gourmet,turistico,medio,bajo,pendiente,si,terraza para eventos,inmueble patrimonial GCBA con concesion,GCBA,prensa,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-los-carruajes|https://www.lanacion.com.ar/economia/cerro-el-mercado-de-los-carruajes-y-volvera-a-reconvertirse-en-un-espacio-para-eventos-nid07052025/,C1_oficial,confirmado,estado_final_reconversion,ex cochera presidencial; antecedente relevante NO se cuenta como activo,2026-06-23
MG-0008,Mercado Bonpland,mercado_de_productores,mixta,Palermo,14,Bonpland 1660,"Martes Miercoles Viernes y Sabado",10-19/20,activo,si,,"propuestas de cooperativas y economia solidaria; comida saludable",productos de la economia social y de productores,artesania y diseno de cooperativas,pendiente,alimentarios_y_productores,barrial,bajo,medio,si,pendiente,actividades de economia solidaria,espacio de economia social vinculado a GCBA,TURISMO_BA,GCBA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-bonpland|http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/mercado-bonpland,C1_oficial,confirmado,oferta_gastronomica_preparada,Mercado de Economia Solidaria; cooperativas y pequenos productores,2026-06-23
MG-0009,El Galpon,mercado_de_productores,privada,Chacarita,15,Av. Federico Lacroze 4171,Miercoles y Sabado,9-18,activo,si,,"comida sana y productos elaborados organicos",frutas verduras lacteos vinos especias productos organicos,pendiente,pendiente,productores,barrial,bajo,medio,si,si,actividades de agroecologia,centro comunal de abastecimiento agroecologico,SITIO_OFICIAL_MERCADO,TURISMO_BA,https://elgalpon.org.ar/|https://turismo.buenosaires.gob.ar/es/otros-establecimientos/el-galp%C3%B3n-centro-comunal-de-abastecimiento-agroecol%C3%B3gico,C1_oficial,confirmado,cantidad_de_puestos,mercado de productores organicos; dias y horarios confirmados,2026-06-23
MG-0010,Smart Plaza Patio Parque Patricios,espacio_tipo_mercado_gastronomico,publica,Parque Patricios,4,Pepiri 185 (esquina Uspallata),Todos los dias,"Dom-Jue 11-24; Vie-Sab 11-1",activo,si,,"6 puestos: hamburguesas pizzas comida natural pescados helado pasteleria cafeteria y dos cervecerias",pendiente,pendiente,6_puestos,gastronomicos,barrial,bajo,alto,no,si,experiencia tecnologica con app propia,patio gastronomico impulsado por GCBA,GCBA,TURISMO_BA,http://buenosaires.gob.ar/smart-plaza-patio-parque-patricios|https://turismo.buenosaires.gob.ar/es/otros-establecimientos/smart-plaza-patio-parque-patricios,C1_oficial,confirmado,,primera plaza de comidas tecnologica; capacidad 800 personas,2026-06-23
