id_fuente,id_candidato,nombre_candidato,tipo_fuente,titulo_fuente,organismo_o_medio,url,fecha_consulta,afirmacion_sostenida,nivel_confianza,observacion
URL-101,GENERAL,Mercados y patios gastronomicos,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,listado oficial ancla del universo gastronomico,C1_oficial,fuente ancla
URL-102,GENERAL,Mercados y patios gastronomicos,oficial_gcba,Mercados y Patios Gastronomicos,GCBA Desarrollo Economico,http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/mercados-y-patios-gastronomicos,2026-06-23,listado oficial,C1_oficial,confirma listado
URL-103,MG-0001,Mercado de San Telmo,oficial_gcba,Mercado de San Telmo,GCBA Descubrir BA,http://buenosaires.gob.ar/Descubrir%20BA/mercado-de-san-telmo,2026-06-23,historia ubicacion y oferta gastronomica,C1_oficial,horarios a confirmar (fuentes difieren)
URL-104,MG-0001,Mercado de San Telmo,sitio_oficial_mercado,Mercado San Telmo,Mercado San Telmo,https://mercadosantelmo.com.ar/,2026-06-23,oferta gastronomica,C2_sitio_oficial_del_mercado,sin horario unico verificable
URL-105,MG-0002,Mercado de Belgrano,oficial_gcba,Mercado de Belgrano,GCBA Descubrir BA,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-belgrano,2026-06-23,ubicacion historia y oferta; corresponde a ex CAM 128,C1_oficial,renovacion 2017-2019
URL-106,MG-0002,Mercado de Belgrano,prensa,Mercado de Belgrano historia y locales,Info Gastronomica,https://www.infogastronomica.com.ar/mercado-de-belgrano-historia-locales-y-mas/,2026-06-23,horarios de frescos y gastronomia,C3_multifuente_confiable,horarios a ratificar con sitio oficial
URL-107,MG-0003,Mercado del Progreso,sitio_oficial_mercado,Mercado del Progreso,Mercado del Progreso,https://mercadodelprogreso.com/,2026-06-23,ubicacion dias horarios y gestion privada,C2_sitio_oficial_del_mercado,Rivadavia 5430; Lun-Sab; cerrado domingos
URL-108,MG-0003,Mercado del Progreso,oficial_turismo,Mercado del Progreso,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/en/otros-establecimientos/mercado-del-progreso,2026-06-23,mercado historico de alimentos desde 1889,C1_oficial,cantidad de puestos a confirmar
URL-109,MG-0004,Mercat Villa Crespo,oficial_turismo,Mercat Villa Crespo,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercat-villa-crespo,2026-06-23,ubicacion dias horarios y oferta,C1_oficial,Thames 747; horarios oficiales
URL-110,MG-0005,Mercado Soho,sitio_oficial_mercado,Mercado Soho,Mercado Soho,https://www.mercadosoho.com.ar/,2026-06-23,locales gastronomicos y horarios,C2_sitio_oficial_del_mercado,Armenia 1744; 9 locales
URL-111,MG-0005,Mercado Soho,oficial_turismo,Mercado Soho,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-soho,2026-06-23,caracter gastronomico y ubicacion,C1_oficial,Palermo
URL-112,MG-0006,Patio de los Lecheros,oficial_gcba,Patio de los Lecheros,GCBA Desarrollo Economico,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-de-los-lecheros,2026-06-23,direccion dias horarios y caracter publico,C1_oficial,propuesta gratuita GCBA
URL-113,MG-0007,Mercado de los Carruajes,prensa,Cerro el Mercado de los Carruajes,La Nacion,https://www.lanacion.com.ar/economia/cerro-el-mercado-de-los-carruajes-y-volvera-a-reconvertirse-en-un-espacio-para-eventos-nid07052025/,2026-06-23,cierre definitivo en abril 2025,C3_multifuente_confiable,estado cerrado; no se cuenta como activo
URL-114,MG-0008,Mercado Bonpland,oficial_turismo,Mercado Bonpland,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-bonpland,2026-06-23,direccion dias horarios y economia solidaria,C1_oficial,Bonpland 1660; Mar Mie Vie Sab 10-19/20
URL-115,MG-0008,Mercado Bonpland,oficial_gcba,Mercado Bonpland,GCBA Desarrollo Economico,http://buenosaires.gob.ar/desarrolloeconomico/gastronomia/mercado-bonpland,2026-06-23,caracter de economia solidaria,C1_oficial,cooperativas y productores
URL-116,MG-0009,El Galpon,sitio_oficial_mercado,El Galpon Centro Comunal de Abastecimiento,El Galpon,https://elgalpon.org.ar/,2026-06-23,dias horarios y oferta organica,C2_sitio_oficial_del_mercado,Federico Lacroze 4171; Mie y Sab 9-18
URL-117,MG-0009,El Galpon,oficial_turismo,El Galpon Centro Comunal de Abastecimiento Agroecologico,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/el-galp%C3%B3n-centro-comunal-de-abastecimiento-agroecol%C3%B3gico,2026-06-23,mercado de productores organicos,C1_oficial,Chacarita
URL-118,MG-0010,Smart Plaza Patio Parque Patricios,oficial_gcba,Smart Plaza Patio Parque Patricios,GCBA,http://buenosaires.gob.ar/smart-plaza-patio-parque-patricios,2026-06-23,direccion dias horarios y puestos,C1_oficial,Pepiri 185; Dom-Jue 11-24 Vie-Sab 11-1
URL-119,MG-0010,Smart Plaza Patio Parque Patricios,oficial_turismo,Smart Plaza Patio Parque Patricios,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/smart-plaza-patio-parque-patricios,2026-06-23,caracter de patio gastronomico tecnologico,C1_oficial,6 puestos capacidad 800
URL-120,MG-0011,Patio Costanera Norte,oficial_turismo,Mercados y patios gastronomicos,Turismo BA (GCBA),https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,2026-06-23,patio gastronomico ribereno; direccion Av. Costanera Rafael Obligado 7010,C1_oficial,dias y horarios a validar
