metrica,valor,detalle
total_candidatos_revisados,27,V2.2 (26) + Gourmand Food Hall validado
mercados_gastronomicos_activos_confirmados_para_conteo,13,V2.4: 12 de V2.2 + Gourmand Food Hall
de_los_cuales_sede_fija,11,incluye Gourmand Food Hall
de_los_cuales_itinerantes,2,Buenos Aires Market + Sabe la Tierra
casos_en_revision_no_contabilizados,3,Mercado Soho + Mercat Caballito + El Galpon (sin cambios)
mercados_cerrados_documentados,1,Mercado de los Carruajes
mercados_pendientes_metodologicos,0,sin cambios
distritos_gastronomicos_no_mercado,2,Barrio Chino + Los Arcos del Rosedal
abasto_barrial_no_gastronomico,3,Pompeya + Villa Pueyrredon + Primera Junta
fuera_de_alcance,2,Mercado de las Pulgas (= M1) + Distrito Arcos
conteo_anterior_v2_2,12,lectura conservadora previa
conteo_nuevo_v2_4,13,suma Gourmand Food Hall por validacion documental
gestion_activos_publicos,3,Lecheros + Smart Plaza + Rodrigo Bueno
gestion_activos_privados,5,Progreso + Mercat Villa Crespo + Buenos Aires Market + Sabe la Tierra + Gourmand Food Hall
gestion_activos_mixtos,5,San Telmo + Belgrano + Bonpland + Costanera Norte + San Nicolas
posibles_omitidos_pendiente_revision,3,Feria FAUBA + Mercado Punto Verde + Mercado Fusion (Gourmand ya no es omitido)
es_censo_o_padron_oficial,no,relevamiento documental; no censo definitivo ni padron oficial
fecha_corte,2026-06-24,V2.4 (validacion Gourmand Food Hall)
