id,pagina,campo_yaml,texto_actual,motivo_de_obsolescencia,decision_vigente,reemplazo_conceptual
TO-01,2,sintesis.parrafos[4],"Otras zonas de la Ciudad —entre ellas Belgrano y el frente ribereño de la Costanera Norte— muestran señales de actividad que la Dirección mantiene en seguimiento y profundización.",Belgrano y Costanera ya no son "señales en seguimiento": ambos son polos definidos por decision humana,Decision Belgrano (polo unico) + DEC-10,Parrafo que presente Belgrano y Costanera Norte como polos con lectura propia (y Recoleta si entra al detalle); el seguimiento queda para otras zonas
TO-02,2,sintesis.encuadre,"...presenta cinco zonas seleccionadas para una lectura territorial en detalle.",La cantidad puede cambiar si Recoleta y Costanera pasan al cuerpo en detalle,Arquitectura V3 (decision editorial pendiente),Cifra actualizada tras decision de arquitectura; no inventar el numero ahora
TO-03,3,mapa_general.lectura,"...y un frente ribereño en observación sobre la Costanera.",DEC-10 prohibe presentar Costanera como mera observacion/exploracion,DEC-10,"...y un polo multiparte identificado sobre la Costanera Norte, compuesto por tramos discontinuos"
TO-04,7,belgrano.titulo,"Belgrano y zonas en observación",Belgrano es polo unico con estructura interna; el titulo lo diluye entre observaciones,Decision Belgrano 1.1 (V1.1),"Polo Gastronómico Belgrano" (las zonas en observacion restantes migran a otra seccion si subsisten)
TO-05,7,belgrano.lectura,"Belgrano presenta varios sectores con actividad gastronómica reconocible —entre ellos el entorno del Barrio Chino, el Bajo Belgrano y Belgrano R—, cuya lectura de conjunto se encuentra en consolidación.",Presenta sectores equivalentes sin jerarquia; la decision fija centralidad principal + eje interno + centralidad diferenciada + sector secundario condicional,Decision Belgrano 1.1 + DEC-04 (DH-05 diferida),Lectura de polo unico con centralidad principal Barrio Chino-Belgrano C-Barrancas-Pasaje Echeverria; eje interno Cabildo-Juramento; Bajo Belgrano diferenciado; Belgrano R secundario solo si el analisis espacial lo respalda (redaccion final espera corrida V3)
TO-06,7,belgrano.observacion,"La Dirección mantiene además en observación otras zonas de la Ciudad, entre ellas el área central, Recoleta y el eje Caseros–Barracas...",Recoleta ya no es zona en observacion: es polo unico decidido,Decision Recoleta 1.2 (V1.1),Retirar Recoleta de la lista; darle tratamiento propio como polo (seccion o pagina segun plan); area central y Caseros-Barracas pueden permanecer en observacion
TO-07,8,costanera.lectura,"...muestra una identidad gastronómica que se expresa en tramos separados, con tres sectores principales de actividad.","Son cuatro componentes discontinuos, con CN_C02 incluido",DEC-10 + DEC-05,"Polo Gastronómico Costanera Norte: estructura multiparte de cuatro componentes discontinuos, con vacios que son parte de su logica territorial"
TO-08,8,costanera.exploratoria_titulo + costanera.exploratoria,"Qué significa lectura exploratoria ... sin proponer todavía una delimitación. La Costanera Norte se presenta en esta categoría y no constituye un polo delimitado.","Contradice frontalmente DEC-10: expresiones ""exclusivamente exploratorio"" y ""no constituye un polo delimitado"" estan vetadas",DEC-10,"Panel ""Una delimitación adoptada"": definicion territorial del estudio, actualizable con nueva evidencia; no es limite administrativo oficial; se comunica con claridad tras declararlo una vez en metodo"
TO-09,8,costanera.estado_lectura (chip),"lectura exploratoria",DEC-10 retira el estatus meramente exploratorio,DEC-10 + sistema tipo/madurez,Chip acorde al nuevo estatus (categoria a definir en el sistema tipo/madurez; p.ej. delimitacion adoptada)
TO-10,8,costanera.seguimiento,"La Dirección mantiene la zona en seguimiento y prevé profundizar su lectura a medida que se amplíe la base de evidencia territorial.",Formulado como si el polo no estuviera adoptado; degrada jerarquia editorial,DEC-10,Reformular sin degradar: delimitacion adoptada y actualizable; la ampliacion de evidencia refina componentes; no reabre la existencia del polo
TO-11,9,proximos_pasos.items[2],"Consolidar la lectura de Belgrano y extender el análisis en detalle a Palermo, Recoleta y el eje Caseros–Barracas.",Belgrano y Recoleta quedan integrados con V3; el bullet quedaria cumplido/contradictorio,Decisiones Belgrano 1.1 y Recoleta 1.2,Bullet nuevo con los pendientes reales post-V3 (p.ej. Palermo en detalle; Caseros-Barracas; validaciones DH-05)
TO-12,9,proximos_pasos.items[3],"Mantener el seguimiento del frente ribereño de la Costanera Norte y de las zonas en observación.",Costanera pasa al cuerpo como polo adoptado; no es objeto de mero seguimiento,DEC-10,Bullet sobre actualizacion periodica de la delimitacion adoptada con nueva evidencia
TO-13,6,san_telmo_puerto_madero.puerto (frase final),"La representación cartográfica de detalle de este frente se encuentra en elaboración.",Caduca cuando llegue la capa PM_PRES_C (v2.1); no depende de V3 pero conviene retirarla en la misma regeneracion,DEC-11/PEN-01 (linea v2.1),Eliminar la frase al integrar el asset de presentacion
TO-14,10,nota_metodologica (ausencia),(no existe hoy parrafo de dependencia de fuente externa de Costanera),DEC-10 exige explicar la dependencia de Places UNA vez en metodologia; hoy no se explica en ningun lado,DEC-10 + guardrail 5 (no convertir registros en actividad; no afirmar informalidad),Agregar parrafo unico: alta dependencia de fuente externa en Costanera; hipotesis admitidas (subregistro administrativo; categorias; concesiones; puestos; oferta movil); sin afirmar informalidad ni irregularidad sin fuente oficial
TO-15,1,meta.pdf_subject,"...los mapas de esta versión son referencias provisorias sujetas a reemplazo por las capas de presentación v2.1 (ver MATRIZ_ASSETS_PENDIENTES_CODEX.csv).",Tras la corrida la referencia correcta sera la linea V3 y su manifest,Linea preintegracion V3,Actualizar el subject a capas V3 + manifest al regenerar (cambio de metadato; no de diseño)
