item,nombre,nombre_oficial,clase,fundacion,direccion,sitio_web,osm_id,patrimonio,comuna_o_barrio,coordenada_no_usable
Q1025674,Café Tortoni,,cafetería,1858-01-01,Avenida de Mayo 825. Ciudad Autónoma de Buenos Aires. Argentina,https://cafetortoni.com.ar,,Bar Notable,Buenos Aires,Point(-58.378306099 -34.608789305)
Q111038785,Mesón Español,,restaurante,,Hipólito Yrigoyen 1221,,,,Buenos Aires,Point(-58.383722 -34.609728)
Q1125324,Confitería del Molino,,coffeehouse,1912-01-01,Avenida Rivadavia y Avenida Callao. Ciudad Autónoma de Buenos Aires,http://www.delmolino.gob.ar,,Monumento Histórico Nacional de Argentina,Buenos Aires,Point(-58.39222222 -34.60888889)
Q123046010,Selquet,,bar,,Av. Pres. Figueroa Alcorta 6402 Ciudad Autónoma de Buenos Aires,,,,Buenos Aires,Point(-58.43565033 -34.552746825)
Q125849194,Pulpería Quilapán,,almacén · centro cultural · restaurante · tienda de alimentos,2012-01-01 · 2014-01-01,Defensa 1344 Ciudad Autónoma de Buenos Aires,https://pulperiaquilapan.com,,,Buenos Aires,Point(-58.371206239 -34.623489108)
Q130603807,"Burger King, Estación Retiro Mitre",,restaurante de comida rápida · restaurante de estación de tren,,,,,,Retiro,Point(-58.375023 -34.591785)
Q131419956,Don Julio,,restaurante,,,,,,Buenos Aires,Point(-58.4243 -34.5863)
Q134996430,Café de los Catalanes,,cafetería,1799-01-02,,,,,Buenos Aires,Point(-58.373 -34.605)
Q140705241,Musgo,,restaurante,2024-05-02,,https://musgoba.com,,,Buenos Aires,Point(-58.429519 -34.587119)
Q16535985,Bar Británico,,bar · cafetería,,Brasil 399,,,Bar Notable · Patrimonio Cultural de Buenos Aires,San Telmo,Point(-58.371075 -34.62521)
Q16619179,Pippo Restaurant,,restaurante,1937-01-01,,https://pippo.com.ar/,,,,Point(-58.387914 -34.604656)
Q17068866,El Cuartito,,pizzería · restaurante,1934-01-01,,,,,Buenos Aires,Point(-58.385479396 -34.597803475)
Q2882676,Banchero,,pizzería · restaurante,1893-01-01,Suarez 396,http://www.bancheropizzerias.com.ar/,,Patrimonio Cultural de Buenos Aires,La Boca,Point(-58.358575 -34.635347)
Q4745714,Amerika,,discoteca LGBT,1999-01-01,"1040 Gascón Street, Buenos Aires",,,,Buenos Aires,Point(-58.42381503 -34.59866508)
Q5017245,La Biela,,cafetería,,Quintana 600,,,Bar Notable,Buenos Aires,Point(-58.39083333 -34.58791667)
Q56507646,Chila,,restaurante,2006-01-01,"Avenida Alicia Moreau de Justo 1160. Ciudad Autónoma de Buenos Aires, Argentina",http://www.chilaweb.com.ar/,,,Buenos Aires,Point(-58.366045084 -34.610164823)
Q56826635,Confitería del Hotel Castelar,,cafetería,,Av. de Mayo 1148/50/52,http://www.castelarhotel.com.ar,,Bar Notable,Monserrat,Point(-58.382712 -34.609477)
Q56826892,Café London City,,cafetería · grandes almacenes,1890-01-01,Av. De Mayo 599,,,Bar Notable,Buenos Aires,Point(-58.37475 -34.608403)
Q5739055,La Giralda,,cafetería,,Av. Corrientes 1453,,,Bar Notable,San Nicolás,Point(-58.387319 -34.60373)
Q5739192,Café de García,,cafetería,,Sanabria 3302,,,Bar Notable,Villa Devoto,Point(-58.510737 -34.606394)
Q5739194,Café de Hansen,,estructura arquitectónica desaparecida · restaurante,,Av. Sarmiento and Av. Figueroa Alcorta,,,,Buenos Aires,Point(-58.411314675 -34.569561392)
Q5782924,Confitería Ideal,,cafetería,,Suipacha 384,,,Bar Notable,San Nicolás,Point(-58.379831 -34.603935)
Q5823679,El Vesuvio,,heladería,1902-01-01,Avenida Corrientes 1179,,,Patrimonio Cultural de Buenos Aires,San Nicolás,Point(-58.383389 -34.603574)
Q5888023,Güerrín,,pizzería,1932-01-01,Avenida Corrientes 1368,,,,Buenos Aires,Point(-58.38575 -34.60403)
Q5940141,Las Cuartetas,,restaurante,,,,,,,Point(-58.37861111 -34.60366667)
Q5963120,La Cueva,,bar · entidad desaparecida · teatro,,,,,,Buenos Aires,Point(-58.400742432 -34.591094024)
Q5964968,La Puerto Rico,,cafetería,1887-01-01,Alsina 420,,,Bar Notable,Buenos Aires,Point(-58.372363 -34.610371)
Q5979239,Los 36 Billares,,bar · cafetería,1894-01-01,Avenida de Mayo 1262,http://www.los36billares.com.ar/,,Bar Notable · Patrimonio Cultural de Buenos Aires,Buenos Aires,Point(-58.384356 -34.60914)
Q60813858,Café Retiro,,cafetería · restaurante,,,,,Bar Notable,Retiro,Point(-58.375004 -34.5916651)
Q63439797,Confitería London City,,edificio comercial · negocio · restaurante,1954-01-01,Avenida de Mayo 599 Ciudad Autónoma de Buenos Aires Argentina,http://www.londoncity.com.ar/,,Bar Notable,Buenos Aires,Point(-58.374901618 -34.608380789)
Q6553463,Las Violetas,,cafetería,,Av. Rivadavia 3899,http://www.lasvioletas.com/,,Bar Notable,Almagro,Point(-58.420856 -34.611148)
Q8254876,Café de Marco,,bar,,,,,,Buenos Aires,Point(-58.373 -34.61)
Q9018816,La Perla del Once,,bar · cafetería,,Avenida Rivadavia 2749,,,Patrimonio Cultural de Buenos Aires,Balvanera,Point(-58.405538 -34.609824)
