polo_id,polo,familia,familia_origen,modo,ha_vieja,ha_nueva,loc_vieja,loc_nueva,dens_vieja,dens_nueva,unidades,piezas_descartadas,loc_descartados,borde_calle_pct,perimetro_m,borde_recortado,eje,desde,hasta,limites
R01,Palermo,piezas,declarada,general,385.5,398.3,1916,2016,4.97,5.06,290,1,6,95.9,17702,False,,,,Av. Juan B. Justo · Av. Del Libertador · Castillo · Concepción Arenal · Paraguay · Charcas · Villanueva · Godoy Cruz
R02,Avenida Corrientes,corredor,declarada,eje,49.7,57.0,354,399,7.13,7.0,37,0,0,97.9,3932,False,Av. Corrientes,Av. 9 de Julio,Ayacucho,Tte. General Juan Domingo Perón · Tucumán · Lavalle · Av. 9 de Julio · Ayacucho · Sarmiento · Av. Callao · Cerrito
R03,San Telmo,nucleo,declarada,general,25.4,43.7,71,172,2.8,3.94,25,0,0,100.0,3272,False,,,,Av. Juan de Garay · Estados Unidos · Tacuarí · Piedras · Av. San Juan · Defensa · Balcarce · Humberto 1°
R04,Puerto Madero,piezas,declarada,general,314.5,201.0,354,325,1.13,1.62,63,1,13,80.0,7799,True,,,,Av. Alicia Moreau de Justo · Manso Juana · Av. Leandro N. Alem · Azucena Villaflor · Av. A Int. Hernán M. Giralt · Av. Eduardo Madero · Cecilia Grierson · Pierina Dealessi
R05,Belgrano,nucleo,declarada,general,39.6,73.8,343,501,8.65,6.79,56,0,0,100.0,8370,False,,,,Av. Del Libertador · Av. Cabildo · Mendoza · Amenábar · Ciudad de la Paz · Av. Juramento · Olazábal · Echeverría
R06,Recoleta,nucleo,declarada,general,140.5,179.3,714,868,5.08,4.84,114,0,0,97.2,7586,False,,,,Marcelo T. de Alvear · Uruguay · Agüero · Dr. Tomás Manuel de Anchorena · Paraguay · Luis Dr. Agote · Av. Callao · Rodríguez Peña
R07,Costanera Norte,piezas,declarada,general,38.5,59.2,67,57,1.74,0.96,4,0,0,34.4,3386,True,,,,Av. Costanera Obligado Rafael · La Pampa
R08,Villa Crespo,nucleo,declarada,general,293.8,258.9,746,739,2.54,2.85,189,3,42,95.8,8522,False,,,,Av. Dr. Honorio Pueyrredón · Lavalleja · Av. Ángel Gallardo · Av. Warnes · Thames · Cnel. Niceto Vega · Franklin · Humboldt
R09+R19+Z43,Chacagiales,piezas,declarada,general,495.8,351.9,891,880,1.8,2.5,258,3,28,99.6,16789,False,,,,Olleros · Av. Corrientes · Teodoro García · Av. Cabildo · Av. Álvarez Thomas · Av. De los Incas · Av. Del Libertador · Virrey del Pino
R10,Caballito,piezas,declarada,general,225.4,221.3,508,523,2.25,2.36,151,1,13,93.0,9397,False,,,,Av. Directorio · Zuviría · Av. Rivadavia · Av. José María Moreno · Av. Juan Bautista Alberdi · Pumacahua · Av. La Plata · José Bonifacio
R11,Boulevard Caseros,corredor,declarada,eje,50.0,29.7,60,62,1.2,2.09,13,0,0,99.6,2903,False,Av. Caseros,Piedras,Av. Manuel Montes de Oca,Brasil · Av. Martín García · Av. Caseros · Av. Paseo Colón · Piedras · Av. Juan de Garay · Av. Brasil · Uspallata
R12,Centro y Microcentro,piezas,declarada,general,153.7,182.9,875,1235,5.69,6.75,127,1,7,100.0,7619,False,,,,Carlos Pellegrini · Suipacha · 25 de Mayo · Reconquista · Av. Leandro N. Alem · Rivadavia · Tte. General Juan Domingo Perón · San Martín
R13,Abasto,nucleo,declarada,general,107.1,118.0,365,414,3.41,3.51,79,0,0,100.0,5476,False,,,,Tte. General Juan Domingo Perón · Tucumán · Sarmiento · Lavalle · Av. Medrano · Larrea · Viamonte · Jerónimo Salguero
