nombre,barrio_oficial,sector,limites,calles_caracteristicas,hitos,nivel_reconocimiento,nivel,nota,fuente_url
Distrito Tecnologico,"Parque Patricios (nucleo); bordes Boedo, San Cristobal, Nueva Pompeya",sur,"Av. Saenz, Av. Boedo, Av. Chiclana, Av. Sanchez de Loria, Av. Brasil, Alberti, Manuel Garcia y Av. Amancio Alcorta, en ambas aceras (~200 ha)",Av. Caseros (eje comercial interno); Av. Amancio Alcorta; Av. Colonia; Los Patos,Sede de Gobierno de la Ciudad; Parque Patricios; estacion Parque Patricios (H); Hospital Garrahan,1 · normativo (ley con perimetro),1,"Ley 2972/2008, prorrogada por Ley 6392/2020 hasta 2035",https://www.cedom.gob.ar/legislacion/normas/leyes/RepoLeyes/ley2972.html
Distrito de las Artes / Distrito Audiovisual y de las Artes,"La Boca, parte de San Telmo y Barracas",sur,"Ambas aceras de Av. Regimiento de Patricios, Rio Cuarto, Azara, Av. Martin Garcia, Tacuari, Av. San Juan, Av. Ing. Huergo, Av. Elvira Rawson de Dellepiane, parcelas frentistas de la Darsena Sur y ribera norte del Riachuelo",Av. Regimiento de Patricios; Av. Pedro de Mendoza; Av. Almirante Brown; Av. San Juan,Usina del Arte; Fundacion Proa; Museo Quinquela Martin; Caminito,1 · normativo (ley con perimetro),1,"Ley 4353/2012; reformulado por Ley 6390/2020 con el MISMO poligono. Se solapa con el Distrito de Diseno sobre Azara, Rio Cuarto y Regimiento de Patricios",https://boletinoficial.buenosaires.gob.ar/normativaba/norma/210135
Distrito de Diseno,Barracas,sur,"Ambas aceras de Av. Australia, Av. Pinedo, Dr. Ramon Carrillo, Brandsen, Azara, Rio Cuarto, Av. Regimiento de Patricios, ribera del Riachuelo y Av. Velez Sarsfield",Av. Iriarte; Av. Suarez; Av. Velez Sarsfield; California,Centro Metropolitano de Diseno (Algarrobo 1041); ex Fabrica Bagley/MOCA,1 · normativo (ley con perimetro),1,Ley 4761/2013,https://www.cedom.gob.ar/legislacion/normas/leyes/RepoLeyes/ley4761.html
Distrito del Deporte,"Villa Soldati, Villa Lugano y Villa Riachuelo",sur,"Ambas aceras de Av. Gral. Paz, Av. 27 de Febrero, Av. Cnel. Esteban Bonorino, Av. Gral. F. Fernandez de la Cruz, Av. Perito Moreno y Autopista Dellepiane",Av. Roca; Av. Escalada; Av. Fernandez de la Cruz,Parque Roca; Estadio Mary Teran de Weiss; Villa Olimpica; Autodromo,1 · normativo (ley con perimetro),1,Ley 5235/2014. ES EL UNICO INSTRUMENTO NORMATIVO QUE NOMBRA TERRITORIO EN LAS COMUNAS 8 Y 9,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/277497
Distrito del Vino,"Villa Devoto, Villa del Parque, La Paternal",oeste,"Ley 6447 art.2: Navarro, Concordia, Av. San Martin, Gral. Mosconi, Campana, Av. San Martin, Av. Chorroarin, Av. Warnes, Juan Agustin Garcia, Av. San Martin, Av. Alvarez Jonte, Terrero, Lascano, Alfredo R. Bufano, Ricardo Gutierrez, Nogoya, Lavallol, vias del San Martin, Jose Pedro Varela y Cervantes, ambas aceras",Av. San Martin; Av. Beiro; Av. Nazca; Av. Chorroarin,"Bodegas urbanas, vinotecas y wine bars; ex galpones del San Martin",1 · normativo (ley con perimetro),1,"Ley 6447/2021. OJO: circulo en prensa un perimetro alternativo distinto, y un fallo judicial de 2024 puso en riesgo su vigencia",https://boletinoficialpdf.buenosaires.gob.ar/util/imagen.php?idn=568167&idf=1
Distrito Audiovisual,"Palermo, Chacarita, Colegiales, Villa Ortuzar, La Paternal, Villa Crespo",norte,"Ley 3876 art.4: desde Fray Justo Santa Maria de Oro y Guatemala, vias del ex FC Mitre, Av. Federico Lacroze, Av. Alvarez Thomas, Av. Forest, Av. de los Incas, Holmberg, La Pampa, Av. Triunvirato, Av. Combatientes de Malvinas, Av. Chorroarin, Av. San Martin, Paysandu, Av. Warnes, Av. Juan B. Justo, Av. Cordoba, Uriarte",Av. Dorrego; Av. Alvarez Thomas; Av. Warnes; Av. Chorroarin,Productoras y estudios; Mercado de Bonpland; Chacarita,1 · normativo (ley con perimetro),1,Ley 3876/2011; reformulado por Ley 6390/2020,https://www.cedom.gob.ar/legislacion/normas/leyes/RepoLeyes/ley3876.html
Area Centrica,"San Nicolas, Monserrat, Retiro, Puerto Madero",centro,"Av. Santa Fe, Crucero General Belgrano, Av. del Libertador, Av. Leandro N. Alem, Av. Paseo Colon, Av. Belgrano, Bernardo de Irigoyen y Carlos Pellegrini, en ambas aceras",Florida; Av. Corrientes; Lavalle; Reconquista; 25 de Mayo; Av. de Mayo,,1 · normativo (ley con perimetro),1,Ley 6.508/2022 art.2 con plano anexo. NO coincide con el poligono de uso corriente de 'Microcentro',https://documentosboletinoficial.buenosaires.gob.ar/publico/ck_PL-LEY-LCABA-LCBA-6508-22-6295.pdf
Palermo Chico / Barrio Parque,Palermo,norte,"APH 3 (Ley 536/2000): eje Av. del Libertador desde Mariscal Ramon Castilla, deslinde Plaza Republica de Chile, Tagle, deslinde de vias del FFCC, Jeronimo Salguero, Martin Coronado",Castex; Republica de la India; San Martin de Tours; Copernico; Rufino de Elizalde; Cavia; Tagle,,1 · normativo (ley con perimetro),1,Ley 536/2000. UNICO sub-Palermo con poligono normativo,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/9952
Casco Historico de Flores,Flores,oeste,"Entorno de Plaza Pueyrredon y la Basilica de San Jose de Flores, sobre Av. Rivadavia entre Av. Nazca y Boyaca aprox.",Av. Rivadavia; Av. Nazca; Boyaca; Yerbal,Basilica San Jose de Flores; Plaza Pueyrredon; estacion San Jose de Flores (A),1 · normativo (ley con perimetro),1,APH 15 del Codigo Urbanistico,https://es.wikipedia.org/wiki/%C3%81rea_de_Protecci%C3%B3n_Hist%C3%B3rica
Casco Historico de Mataderos / Av. de los Corrales,Mataderos,oeste,"Entorno de Av. Lisandro de la Torre y Av. de los Corrales, con eje sobre Av. de los Corrales",Av. Lisandro de la Torre; Av. de los Corrales; Av. Directorio,Edificios del Antiguo Matadero (Monumento Historico Nacional 1979); Monumento al Resero; Museo Criollo de los Corrales; Bar Oviedo (notable),1 · normativo (ley con perimetro),1,APH 21 del Codigo Urbanistico + Monumento Historico Nacional,https://aquimataderosonline.com.ar/patrimonio-historico-arquitectonico-del-barrio-de-mataderos/
