reparto,local_id,nombre,direccion,barrio,comuna,deja_de_contarlo,lo_sigue_contando,lado
A1,LOC009749,Altitud,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005888,BAYONA,TUCUMAN 839,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC003038,Gaspar Café,ESMERALDA 624,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC004570,In & Out Sushi,ESMERALDA 612,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024155,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC009782,Delirante,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC006520,LA ISLA,TUCUMAN 732,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC003473,BALDOMERO,TUCUMAN 681,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024142,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024099,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024160,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC003817,NO TODAVIA,MAIPU 608,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024101,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024159,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024057,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016139,Pepi&Co cafeteria,Florida 681,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005202,LA DORADO,MAIPU 646,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016118,Parribayres,Maipú 616,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024108,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016119,Pekin,Esmeralda 669,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024124,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024106,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024145,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002193,nan,MAIPU 683,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024144,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005564,nan,MAIPU 694,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC016140,Ti-Ga CafÉ Bar,junin 698 esquina viamonte,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007806,Medialinadas,Viamonte,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC008178,Otra Pasta,Viamonte,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005795,ARCANGEL,VIAMONTE 702,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005327,nan,VIAMONTE 757,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC010186,HGT Express,Viamonte,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000081,Ricas Empanadas,VIAMONTE 715,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC007044,ST. GEORGE,VIAMONTE 662,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC005625,CHAPLIN,VIAMONTE 673,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC000035,nan,VIAMONTE 651,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024079,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024077,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024078,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002241,FUSSION,MAIPU 720,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024062,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC002460,nan,COCHABAMBA 3897;COCHABAMBA 3899,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC001675,nan,VIAMONTE 636,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024149,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
A1,LOC024033,nan,nan,San Nicolas,1.0,Z46 · Retiro,R12 · Centro y Microcentro,
