capa,polo,polo_nombre,pieza,que,orden,calle,clave_callejero,largo_m,altura_desde,altura_hasta,tramos_unidos
el borde publicado hoy,R01,Palermo,1,contorno exterior,1,LOYOLA,LOYOLA,100.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,2,CASTILLO,CASTILLO,92.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,3,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,76.0,1972-2000 / 1971-1999,1924-1970 / 1907-1969,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,4,CORDOBA AV.,CORDOBA AV,80.0,5302-5400 / 5301-5399,5302-5400 / 5301-5399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,5,GODOY CRUZ,GODOY CRUZ,92.0,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,6,"VEGA, NICETO, CNEL.",VEGA NICETO CNEL,84.0,5202-5300 / 5201-5299,5202-5300 / 5201-5299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,7,GODOY CRUZ,GODOY CRUZ,104.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,8,DARWIN,DARWIN,116.0,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,9,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,168.1,1702-1800 / 1701-1799,1802-1900 / 1801-1899,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,10,CORDOBA AV.,CORDOBA AV,88.0,5410-5500 / 5405-5499,5410-5500 / 5405-5499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,11,HUMBOLDT,HUMBOLDT,88.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,12,FITZ ROY,FITZ ROY,108.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,13,CASTILLO,CASTILLO,116.0,1402-1420 / 1401-1419,1422-1500 / 1421-1499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,14,BONPLAND,BONPLAND,104.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,15,CORDOBA AV.,CORDOBA AV,168.1,5702-5800 / 5701-5799,5802-5900 / 5801-5899,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,16,"CARRANZA, ANGEL JUSTINIANO",CARRANZA ANGEL JUSTINIANO,80.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,17,CASTILLO,CASTILLO,80.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,18,BONPLAND,BONPLAND,40.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,19,LOYOLA,LOYOLA,124.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,20,"CARRANZA, ANGEL JUSTINIANO",CARRANZA ANGEL JUSTINIANO,72.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,21,"RAVIGNANI, EMILIO, DR.",RAVIGNANI EMILIO DR,36.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,22,CASTILLO,CASTILLO,40.0,1602-1700 / 1601-1699,1602-1700 / 1601-1699,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,23,"RAVIGNANI, EMILIO, DR.",RAVIGNANI EMILIO DR,80.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,24,CORDOBA AV.,CORDOBA AV,84.0,5902-6000 / 5901-5999,5902-6000 / 5901-5999,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,25,DORREGO AV.,DORREGO AV,64.0,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,26,CORDOBA AV.,CORDOBA AV,112.0,6002-6100 / 6001-6099,6002-6100 / 6001-6099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,27,ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV,116.0,2-100 / 1-99,2-100 / 1-99,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,28,"MARTINEZ, ENRIQUE, GRAL.",MARTINEZ ENRIQUE GRAL,108.0,2-100 / 1-99,2-100 / 1-99,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,29,CONDE,CONDE,144.0,2-100 / 1-99,2-100 / 1-99,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,30,"ARENAL, CONCEPCION",ARENAL CONCEPCION,88.0,3102-3200 / 3101-3199,3102-3200 / 3101-3199,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,31,"FREIRE, RAMON, CAP. GRAL.",FREIRE RAMON CAP GRAL,132.0,102-300 / 101-299,102-300 / 101-299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,32,ZAPIOLA,ZAPIOLA,212.1,102-300 / 101-299,102-300 / 101-299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,33,"ARENAL, CONCEPCION",ARENAL CONCEPCION,112.0,2902-3000 / 2901-2999,2902-3000 / 2901-2999,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,34,DORREGO,DORREGO,248.1,1902-2000 / 1901-1999,2102-2200 / 2101-2199,3
el borde publicado hoy,R01,Palermo,1,contorno exterior,35,NICARAGUA,NICARAGUA,108.0,6002-6100 / 6001-6099,6002-6100 / 6001-6099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,36,AREVALO,AREVALO,88.0,2002-2100 / 2001-2099,2002-2100 / 2001-2099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,37,SOLER,SOLER,68.0,5902-6000 / 5901-5999,5902-6000 / 5901-5999,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,38,GUATEMALA,GUATEMALA,84.0,5902-6000 / 5901-5999,5902-6000 / 5901-5999,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,39,"RAVIGNANI, EMILIO, DR.",RAVIGNANI EMILIO DR,40.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,40,GUATEMALA,GUATEMALA,60.0,5802-5900 / 5801-5899,5802-5900 / 5801-5899,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,41,"CARRANZA, ANGEL JUSTINIANO",CARRANZA ANGEL JUSTINIANO,100.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,42,PARAGUAY,PARAGUAY,180.1,5302-5400 / 5301-5399,5202-5300 / 5201-5299,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,43,FITZ ROY,FITZ ROY,100.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,44,CHARCAS,CHARCAS,176.1,5002-5100 / 5001-5099,4902-5000 / 4901-4999,2
el borde publicado hoy,R01,Palermo,1,contorno exterior,45,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,96.0,802-900 / 801-899,802-900 / 801-899,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,46,PARAGUAY,PARAGUAY,56.0,5002-5100 / 5001-5099,5002-5100 / 5001-5099,1
el borde publicado hoy,R01,Palermo,1,contorno exterior,47,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,56.0,902-1000 / 901-999,902-1000 / 901-999,1
