hito_id,nombre,tipo,direccion,barrio,polo_mas_cercano_id,polo_mas_cercano,distancia_m,lectura,criterio_lectura
DIR-001,La Americana,Pizzería emblemática,Av. Callao 83,San Nicolas,Z35,Balvanera · Once,8.9,posible_borde_incompleto,distancia al borde menor o igual a 250 m
DIR-007,Casa Burgio,Pizzería emblemática,Av. Cabildo 2477,Belgrano,R05,Belgrano,12.9,posible_borde_incompleto,distancia al borde menor o igual a 250 m
DIR-013,Pirilo,Pizzería emblemática,Defensa 821,San Telmo,R03,San Telmo,223.4,posible_borde_incompleto,distancia al borde menor o igual a 250 m
DIR-015,San Carlos,Pizzería emblemática,Av. Rivadavia 4548,Caballito,Z37,Almagro,8.2,posible_borde_incompleto,distancia al borde menor o igual a 250 m
DIR-022,Tino,Heladería histórica,Av. Diaz Velez 4520,Caballito,Z37,Almagro,23.7,posible_borde_incompleto,distancia al borde menor o igual a 250 m
DIR-023,El Ciervo,Heladería histórica,Carhue 124,Liniers,Z32,Liniers · Mercado Andino,128.9,posible_borde_incompleto,distancia al borde menor o igual a 250 m
DIR-024,Saverio Helados,Heladería histórica,Av. San Juan 2809,San Cristobal,Z35,Balvanera · Once,533.3,esperable_zona_sin_polo,distancia al borde mayor a 250 m
DIR-025,Napoli,Heladería histórica,Av. Entre Rios 1167,San Cristobal,Z35,Balvanera · Once,455.3,esperable_zona_sin_polo,distancia al borde mayor a 250 m
H005,Bar de Cao,Bar Notable,Av. Independencia 2400,San Cristobal,Z35,Balvanera · Once,8.8,posible_borde_incompleto,distancia al borde menor o igual a 250 m
H008,El Colonial,Bar Notable,Av. Belgrano 599,Monserrat,R12,Centro y Microcentro,71.3,posible_borde_incompleto,distancia al borde menor o igual a 250 m
H013,Bar Plaza Dorrego,Bar Notable,Defensa 1098,San Telmo,R03,San Telmo,27.2,posible_borde_incompleto,distancia al borde menor o igual a 250 m
H014,Bar Quintino,Bar Notable,Carlos Calvo 4002,Boedo,R14,Avenida Boedo,110.0,posible_borde_incompleto,distancia al borde menor o igual a 250 m
H015,Bar Seddon,Bar Notable,Defensa 695,Monserrat,R04,Puerto Madero,238.0,posible_borde_incompleto,distancia al borde menor o igual a 250 m
