polo_id,locales,ha,locales_x_ha,barrio_principal,barrios,n_barrios,corroborados,grupo_dominante,peso_grupo_dominante,abiertos,hull_degenerado,puntos_en_envolvente,aptos_en_envolvente,share_aptos,control_aptitud,pct_ya_publicado,zona_publicada,zonas_que_contiene,es_nuevo
P072,1314,440.693,2.982,Belgrano,Belgrano;Nuñez;Colegiales,5,310,OSM,0.397,751,False,1761,1742,0.989,True,12.8,R05,R05,False
P091,728,92.362,7.882,Palermo,Palermo;Villa Crespo,2,184,GCBA_URBANISMO,0.485,343,False,804,792,0.985,True,86.2,R01,,False
P078,585,102.609,5.701,Palermo,Palermo;Chacarita;Colegiales,3,147,GCBA_URBANISMO,0.424,313,False,611,601,0.984,True,55.0,R01,,False
P065,361,82.044,4.4,Palermo,Palermo;Belgrano,2,87,GCBA_URBANISMO,0.393,196,False,397,393,0.99,True,70.9,R01,,False
P103,342,47.459,7.206,San Telmo,San Telmo;Monserrat;Constitucion,3,72,GCBA_URBANISMO,0.409,179,False,363,357,0.983,True,14.4,R03,,True
P046,291,114.663,2.538,Villa Urquiza,Villa Urquiza;Parque Chas;Villa Ortuzar,3,65,GCBA_URBANISMO,0.371,142,False,359,353,0.983,True,99.9,R17,,False
P021,262,77.864,3.365,Liniers,Liniers;Versalles,2,41,OSM,0.366,133,False,302,302,1.0,True,0.0,,,True
P018,244,205.067,1.19,Villa Devoto,Villa Devoto;Villa Real;Monte Castro,3,39,GCBA_URBANISMO,0.369,118,False,297,294,0.99,True,74.6,R15,,False
P056,210,74.344,2.825,Caballito,Caballito,1,39,GCBA_URBANISMO,0.395,106,False,294,290,0.986,True,54.1,R10,,False
P073,207,39.19,5.282,Palermo,Palermo,1,51,GCBA_URBANISMO,0.377,117,False,224,222,0.991,True,0.0,,,True
P113,200,28.006,7.141,San Nicolas,San Nicolas;Balvanera,2,53,GCBA_URBANISMO,0.42,103,False,240,236,0.983,True,74.0,R02,,False
P106,198,34.213,5.787,Recoleta,Recoleta;Balvanera,2,47,GCBA_URBANISMO,0.338,110,False,260,255,0.981,True,30.9,R06,,False
P053,196,61.306,3.197,Caballito,Caballito;Boedo;Parque Chacabuco,4,31,GCBA_URBANISMO,0.464,80,False,224,220,0.982,True,73.6,R10,,False
