polo_id,zonas_publicadas_encima,n_locales,ha,locales_x_ha,clase_densidad,barrios,barrio_principal,comunas,calles_dominantes,pct_locales_con_direccion,n_hitos_adentro,hitos_adentro,d_a_zona_publicada_m
P021,ninguna,262,77.86,3.365,concentración extendida,Liniers (257); Versalles (5),Liniers,9; 10,Rivadavia (26); Ramon L Falcon (8); Montiel (7); Ibarrola (6); Carhue (6); Francisco De Viedma (5),42.7,0,ninguno,2002.7
P073,ninguna,207,39.19,5.282,concentración,Palermo (207),Palermo,14,Cabello (18); Cervino (15); Las Heras (8); Jeronimo Salguero (7); Republica Arabe Siria (7); Ugarteche (7),45.4,2,Mishiguene (MICHELIN); Mishiguene (Ranking internacional),596.9
P048,ninguna,171,50.84,3.363,concentración extendida,Colegiales (134); Villa Ortuzar (28); Chacarita (9),Colegiales,13; 15,Elcano (19); Alvarez Thomas (11); Zapiola (7); Cap Ramon Freire (6); Capitan Ramon Freire (6); Virrey Aviles (4),46.8,2,8 ESQUINAS (Bar Notable); ANAFE (MICHELIN),312.6
P076,ninguna,156,29.18,5.347,concentración,Recoleta (81); Palermo (72); Almagro (3),Recoleta,2; 5; 14,Sanchez De Bustamante (9); Mario Bravo (9); Billinghurst (8); Diaz (8); Paraguay (6); Guise (6),50.6,1,CAFE NOSTALGIA (Bar Notable),229.1
P037,ninguna,142,40.81,3.479,concentración extendida,Villa Del Parque (142),Villa Del Parque,11,Nogoya (11); Cuenca (9); Tinogasta (8); Nazca (8); Marcos Sastre (7); Melincue (6),49.3,0,ninguno,959.6
P004,ninguna,141,144.02,0.979,concentración extendida,Villa Lugano (64); Parque Avellaneda (58); Mataderos (19),Villa Lugano,8; 9,Eva Peron (28); Escalada (7); San Juan (6); Castanares (5); Miralla (4); Olivera (3),58.9,1,Yiyo el Zeneize (Mercado/patio),3346.7
P101+P099,ninguna,130,36.93,3.52,concentración extendida,Balvanera (100); Monserrat (30),Balvanera,1; 3,Rivadavia (21); Entre Rios (8); Hipolito Yrigoyen (7); Belgrano (5); Solis (5); Combate De Los Pozos (5),55.4,1,CAFE DE LOS ANGELITOS (Bar Notable),281.6
P052,ninguna,124,36.69,3.38,concentración extendida,Floresta (61); Flores (56); Villa Santa Rita (7),Floresta,7; 10; 11,Moron (14); Felipe Vallese (6); Juan F Aranguren (5); Cuenca (5); Ruperto Godoy (4); San Nicolas (4),51.6,0,ninguno,1495.6
P104,ninguna,121,24.85,4.868,concentración,Recoleta (93); Palermo (28),Recoleta,2; 14,Billinghurst (9); Juncal (7); French (6); Alto Palermo Shopping (6); Sanchez De Bustamante (5); Santa Fe (5),50.4,0,ninguno,147.8
P084,ninguna,119,27.12,4.388,concentración extendida,Balvanera (64); Almagro (55),Balvanera,3; 5,Rivadavia (35); Hipolito Yrigoyen (7); La Rioja (3); 24 De Noviembre (3); Medrano (2); Urquiza (2),53.8,1,LAS VIOLETAS (Bar Notable),382.1
P017,ninguna,108,69.8,1.547,concentración extendida,Liniers (74); Mataderos (34),Liniers,9,Emilio Castro (18); Lisandro De La Torre (7); Montiel (4); Acassuso (3); Palmar (2); Timoteo Gordillo (2),45.4,0,ninguno,3007.8
P057,ninguna,105,26.2,4.008,concentración extendida,Caballito (77); Almagro (28),Caballito,5; 6,La Plata (19); Rivadavia (17); Guayaquil (5); Rosario (5); Doblas (3); Otamendi (1),60.0,0,ninguno,252.8
P032,ninguna,105,20.89,5.027,concentración,La Boca (105),La Boca,4,Del Valle Iberlucea (10); Gregorio Araoz De Lamadrid (9); Brandsen (6); Olavarria (4); Garibaldi (4); Magallanes (3),50.5,1,LA PERLA (Bar Notable),1083.8
P024,ninguna,103,50.42,2.043,concentración extendida,Nueva Pompeya (103),Nueva Pompeya,4,Saenz (31); Beazley (6); Almafuerte (4); Echauri (3); Ventura De La Vega (2); Lynch (2),61.2,0,ninguno,136.8
P005,ninguna,100,100.94,0.991,concentración extendida,Villa Lugano (100),Villa Lugano,8,Murguiondo (10); Riestra (6); Argentina (5); Larrazabal (4); Somellera (3); Delfin Gallo (3),46.0,0,ninguno,5333.0
P020,ninguna,94,25.1,3.746,concentración extendida,Villa Luro (93); Liniers (1),Villa Luro,9; 10,Rivadavia (22); Corvalan (4); Ramon L Falcon (4); Lope De Vega (3); Basualdo (3); Guardia Nacional (2),56.4,0,ninguno,2911.6
P022,ninguna,93,53.59,1.735,concentración extendida,Saavedra (83); Coghlan (10),Saavedra,12,Ricardo Balbin (14); Nunez (3); Melian (3); Crisologo Larralde (3); Washington (3); Paroissien (2),49.5,0,ninguno,1091.8
P003,ninguna,91,39.82,2.285,concentración extendida,Villa Riachuelo (87); Villa Lugano (4),Villa Riachuelo,8,Martiniano Chilavert (15); Guamini (8); F Fernandez De La Cruz (5); Canada De Gomez (5); Montiel (3); Lisandro De La Torre (2),53.8,0,ninguno,6264.9
P012,ninguna,90,32.8,2.743,concentración extendida,Mataderos (90),Mataderos,9,Juan Bautista Alberdi (25); Larrazabal (5); Bragado (3); Pieres (3); Lisandro De La Torre (2); Martiniano Leguizamon (2),52.2,1,9 DE JULIO (Bar Notable),4261.8
P107,ninguna,86,10.79,7.968,concentración,Balvanera (67); Recoleta (19),Balvanera,2; 3,Cordoba (16); Junin (9); Pasteur (5); Viamonte (5); Tucuman (4); Azcuenaga (1),50.0,0,ninguno,268.7
P092,ninguna,79,11.71,6.749,concentración,Palermo (79),Palermo,14,Charcas (8); Paraguay (7); Araoz (7); Medrano (3); Raul Scalabrini Ortiz (3); Jeronimo Salguero (2),44.3,1,VARELA VARELITA (Bar Notable),74.7
P088,ninguna,76,7.79,9.752,concentración,Palermo (76),Palermo,14,Gascon (7); Honduras (7); Gorriti (7); Lavalleja (4); Julian Alvarez (4); Jose A Cabrera (3),44.7,1,La Alacena Trattoria (MICHELIN),152.7
P002,ninguna,68,63.36,1.073,concentración extendida,Villa Soldati (68),Villa Soldati,8,Lafuente (6); Mariano Acosta (4); Francisco Rabanal (3); Francisco Fernandez De La Cruz (3); Fco Fernandez De La Cruz (3); Pedro I Rivera (2),51.5,0,ninguno,2945.0
P026,ninguna,67,27.04,2.478,concentración extendida,Parque Patricios (31); Constitucion (20); Barracas (15); San Cristobal (1),Parque Patricios,1; 3; 4,Entre Rios (8); Caseros (7); Perdriel (5); Solis (4); Enrique Finochietto (2); Combate De Los Pozos (2),56.7,0,ninguno,415.8
P066,ninguna,65,18.02,3.607,concentración extendida,Barracas (65),Barracas,4,Suarez (11); Montes De Oca (9); Manuel Montes De Oca (2); Uspallata (2); Aristobulo Del Valle (2); Martin Garcia (2),53.8,0,ninguno,606.0
P014,ninguna,64,45.63,1.403,concentración extendida,Flores (49); Parque Avellaneda (15),Flores,7; 9,Eva Peron (15); Varela (12); Enrique Martinez (1); Martinez Castro (1); Portela (1); San Pedrito (1),54.7,0,ninguno,1529.8
P044,ninguna,62,17.01,3.645,concentración extendida,San Cristobal (62),San Cristobal,3,San Juan (21); Urquiza (3); La Rioja (3); Entre Rios (1); Dean Funes (1); Alberti (1),50.0,0,ninguno,435.0
P042,ninguna,61,11.15,5.469,concentración,Velez Sarsfield (53); Floresta (8),Velez Sarsfield,10,Rivadavia (20); Segurola (3); Carrasco (2); Dip Nac Osvaldo E Benedetti (1); Olivera (1); Bolanos (1),55.7,0,ninguno,2591.4
