local_id,polo_id,polo_final,polo_unido,barrio,comuna
LOC000001,,,,Caballito,6.0
LOC000002,P068,P068,P068,Chacarita,15.0
LOC000004,P108,P108,P108,Monserrat,1.0
LOC000005,P079,P079,P079,Villa Crespo,15.0
LOC000006,P073,P073,P073,Palermo,14.0
LOC000007,,,,Caballito,6.0
LOC000008,,,,Caballito,6.0
LOC000009,P111,P111,P111,Monserrat,1.0
LOC000010,P093,P093,P093,Balvanera,3.0
LOC000011,,,,Villa Crespo,15.0
LOC000012,,,,Constitucion,1.0
LOC000013,P093,P093,P093,Balvanera,3.0
LOC000014,,,,Villa Urquiza,12.0
LOC000015,,,,Palermo,14.0
LOC000016,,,,Almagro,5.0
LOC000017,P051,P051,P051,Constitucion,1.0
LOC000018,,,,Almagro,5.0
LOC000019,,,,Constitucion,1.0
LOC000021,P022,P022,P022,Saavedra,12.0
LOC000022,,,,Almagro,5.0
LOC000023,P046,P046,P046,Villa Urquiza,12.0
LOC000024,,,,La Boca,4.0
LOC000025,,,,Caballito,6.0
LOC000026,,,,Balvanera,3.0
LOC000027,,,,Mataderos,9.0
LOC000028,P108,P108,P108,Monserrat,1.0
LOC000029,P072,,,Belgrano,13.0
LOC000030,P103,P103,P103,San Telmo,1.0
LOC000031,P103,P103,P103,Monserrat,1.0
LOC000032,P116,P116,P116,San Nicolas,1.0
LOC000033,,,,Retiro,1.0
LOC000035,P117,P117,P117,San Nicolas,1.0
LOC000036,P072,,,Belgrano,13.0
LOC000037,P002,P002,P002,Villa Soldati,8.0
LOC000038,P066,P066,P066,Barracas,4.0
LOC000039,,,,Colegiales,13.0
LOC000040,P072,P072-4,P072-4,Belgrano,13.0
LOC000041,P066,P066,P066,Barracas,4.0
LOC000042,,,,San Telmo,1.0
LOC000043,P078,P078,P078,Palermo,14.0
LOC000044,P118,P118,P118,Retiro,1.0
LOC000045,P091,P091,P091,Palermo,14.0
LOC000046,P100,P100,P100,Monserrat,1.0
LOC000047,P027,P027,P027,Parque Patricios,4.0
LOC000048,P045,P045,P045,Villa Urquiza,12.0
LOC000049,P047,P047,P047,Caballito,6.0
LOC000051,P072,P072-7,P072-7,Belgrano,13.0
LOC000052,,,,San Nicolas,1.0
