polo_id,n_locales,ha,locales_x_ha,clase_densidad,distancia_al_corte,barrios,comunas,calles_dominantes,pct_locales_con_direccion,zonas_publicadas_encima,polo_mas_cercano,d_al_vecino_entre_puntos_m
P091,728,92.36,7.882,concentración,3.297,Palermo (719); Villa Crespo (9),14; 15,Raul Scalabrini Ortiz (25); Armenia (22); Costa Rica (22); Gorriti (20); Honduras (20); Malabia (19),43.4,"R01 Palermo (75% del polo, 25% de la zona) · R08 Villa Crespo (12% del polo, 3% de la zona)",P092,74.7
P078,585,102.61,5.701,concentración,1.116,Palermo (564); Chacarita (17); Colegiales (4),13; 14; 15,Fitz Roy (29); Bonpland (27); Humboldt (25); Gorriti (19); Costa Rica (19); Arevalo (19),50.6,"R01 Palermo (49% del polo, 19% de la zona) · R09 Chacarita (4% del polo, 5% de la zona)",P075,75.1
P065,361,82.04,4.4,concentración extendida,-0.185,Palermo (350); Belgrano (11),13; 14,Soldado De La Independencia (18); Arce (17); Baez (17); Migueletes (14); Luis Maria Campos (14); Santa Fe (10),50.7,"R01 Palermo (53% del polo, 16% de la zona) · R19 Federico Lacroze por tramos (18% del polo, 16% de la zona)",P078,142.8
P103,342,47.46,7.206,concentración,2.621,San Telmo (278); Monserrat (62); Constitucion (2),1,Peru (14); Defensa (14); Chacabuco (13); Bolivar (13); Carlos Calvo (13); Balcarce (13),44.2,"R03 San Telmo (14% del polo, 26% de la zona)",P108,92.4
P046,291,114.66,2.538,concentración extendida,-2.047,Villa Urquiza (286); Parque Chas (3); Villa Ortuzar (2),12; 15,Olazabal (27); Triunvirato (25); Monroe (15); Congreso (7); Alvarez Thomas (6); Andonaegui (6),53.3,"R17 Villa Urquiza (100% del polo, 26% de la zona)",P045,95.5
P021,262,77.86,3.365,concentración extendida,-1.22,Liniers (257); Versalles (5),9; 10,Rivadavia (26); Ramon L Falcon (8); Montiel (7); Ibarrola (6); Carhue (6); Francisco De Viedma (5),42.7,ninguna,P020,147.0
P072-4,212,39.05,5.429,concentración,0.844,Belgrano (212),13,Cabildo (29); Ciudad De La Paz (19); Juramento (10); Mendoza (9); Amenabar (9); Vuelta De Obligado (6),51.9,"R05 Belgrano (40% del polo, 40% de la zona)",P072-5,70.2
P056,210,74.34,2.825,concentración extendida,-1.76,Caballito (210),6,Rivadavia (24); Acoyte (12); Del Barco Centenera (10); Juan Bautista Alberdi (9); Rosario (7); Guayaquil (6),56.2,"R10 Caballito (54% del polo, 18% de la zona)",P057,54.1
P073,207,39.19,5.282,concentración,0.697,Palermo (207),14,Cabello (18); Cervino (15); Las Heras (8); Jeronimo Salguero (7); Republica Arabe Siria (7); Ugarteche (7),45.4,ninguna,P104,327.8
P113,200,28.01,7.141,concentración,2.556,San Nicolas (164); Balvanera (36),1; 3,Corrientes (27); Montevideo (16); Rodriguez Pena (13); Tucuman (6); Callao (6); Sarmiento (5),47.5,"R02 Avenida Corrientes (74% del polo, 42% de la zona) · R12 Centro / Microcentro segmentado (7% del polo, 1% de la zona)",P112,68.6
P106,198,34.21,5.787,concentración,1.202,Recoleta (145); Balvanera (53),2; 3,Pueyrredon (30); Santa Fe (12); Paso (7); Cordoba (7); Ecuador (6); Larrea (5),49.5,"R06 Recoleta (30% del polo, 7% de la zona)",P107,57.7
P053,196,61.31,3.197,concentración extendida,-1.388,Caballito (119); Boedo (58); Parque Chacabuco (17); Almagro (2),5; 6; 7,La Plata (19); Pedro Goyena (19); Directorio (11); Carlos Calvo (6); San Juan (5); Doblas (5),48.0,"R10 Caballito (74% del polo, 20% de la zona)",P057,121.4
P027,189,100.84,1.874,concentración extendida,-2.711,Parque Patricios (130); Nueva Pompeya (37); Boedo (22),4; 5,Caseros (31); Chiclana (8); La Rioja (7); Almafuerte (6); Zavaleta (4); Patagones (4),52.4,"R14 Avenida Boedo (26% del polo, 14% de la zona)",P019,135.4
P116,187,19.27,9.705,concentración,5.12,San Nicolas (187),1,Sarmiento (21); Corrientes (16); Suipacha (12); Carlos Pellegrini (12); Esmeralda (11); Tucuman (7),55.1,"R12 Centro / Microcentro segmentado (62% del polo, 6% de la zona) · R02 Avenida Corrientes (21% del polo, 8% de la zona) · R18 Esmeralda-Paraguay (6% del polo, 2% de la zona)",P117,29.4
P063,182,67.54,2.695,concentración extendida,-1.89,Caballito (123); Villa Crespo (59),6; 15,San Martin (13); Gaona (12); Angel Gallardo (11); Diaz Velez (10); Honorio Pueyrredon (8); Leopoldo Marechal (7),52.7,"R08 Villa Crespo (72% del polo, 14% de la zona)",P050,148.0
