polo_id,n_locales,ha,vertices,ratio_concavidad,tolerancia_simplificacion_m,recortado_a_manzana,locales_x_ha
P001,44,12.112429461429814,9,0.55,0,False,3.6326320941732866
P002,68,63.364720710371714,19,0.55,0,False,1.073152366769125
P003,91,39.82333601210978,12,0.55,0,False,2.2850923381287807
P004,141,144.02072587909103,24,0.55,0,False,0.9790257557677705
P005,100,100.93965176039146,19,0.55,0,False,0.9906909550012915
P006,48,28.178067052355257,15,0.55,0,False,1.7034525438105923
P007,45,8.9557837535065,11,0.55,0,False,5.024685860953369
P008,49,23.518929582920514,19,0.55,0,False,2.0834281520866442
P009,50,24.64685658382471,18,0.55,0,False,2.028656264134474
P010,43,10.630618316021177,12,0.55,0,False,4.044919939905624
P011,41,7.079614116768343,20,0.55,0,False,5.791276095527565
P012,90,32.805285966807084,18,0.55,0,False,2.7434603097520154
P013,42,10.787468867573283,13,0.55,0,False,3.89340636951921
P014,64,45.628558187003364,10,0.55,0,False,1.4026303381689909
P015,50,12.123191662682718,18,0.55,0,False,4.124326447292643
P016,105,26.722067872289987,20,0.55,0,False,3.929336625511754
P017,108,69.79767675522393,17,0.55,0,False,1.5473294387540895
P018-1,62,14.38202127662633,11,0.55,0,False,4.310937858280215
P018-2,73,11.038424879247879,16,0.55,0,False,6.613262381052139
P019,41,20.777378627534535,16,0.55,0,False,1.9732999400447033
P020,94,25.09540719313766,13,0.55,0,False,3.7457053107990337
P021,262,77.8641522148982,16,0.55,0,False,3.3648346838337506
P022,93,53.589670728132965,23,0.55,0,False,1.7354090580589778
P023,42,14.486595541573177,13,0.55,0,False,2.899231905762104
P024,103,50.423453312130995,16,0.55,0,False,2.0427002363842464
P025-1,42,10.193962627981364,15,0.55,0,False,4.120085734345777
P025-2,47,4.886909507820831,17,0.55,0,False,9.617530245809323
P026,67,27.04120454931641,14,0.55,0,False,2.4777002769166114
P027,189,100.83811852882299,21,0.55,0,False,1.8742912180176916
P028,60,12.04535572887688,14,0.55,0,False,4.9811729392233115
P029,45,13.346518629922485,14,0.55,0,False,3.3716657690127056
P030,117,29.465547142485093,16,0.55,0,False,3.9707390951957846
P031,42,7.579250173102801,17,0.55,0,False,5.541445267112222
P032,105,20.886619412848365,16,0.55,0,False,5.027141919166175
P033,52,16.675796022053046,14,0.55,0,False,3.118291920291671
P034,40,10.659959453195823,10,0.55,0,False,3.7523594883851197
P035,42,9.386535051042657,16,0.55,0,False,4.4744945575348
P036,41,9.856994306054817,16,0.55,0,False,4.159482974928279
P037,142,40.81062383901739,19,0.55,0,False,3.4794861396908994
P038,96,22.003710861409864,15,0.55,0,False,4.362900449140373
P039,41,7.9333140509569,17,0.55,0,False,5.1680797881756195
P040,54,10.45928334171133,15,0.55,0,False,5.162877630884088
P041,60,12.7259417330525,14,0.55,0,False,4.714778776973714
P042,61,11.154385601632695,14,0.55,0,False,5.468701027430079
P043,161,91.56591333323699,17,0.55,0,False,1.758296227702886
P044,62,17.007691433398975,20,0.55,0,False,3.6454095044461505
P045,147,63.359611555205426,15,0.55,0,False,2.3200899814847893
P046,291,114.66258395618853,22,0.55,0,False,2.5378810590138827
P047,53,20.49368751305935,13,0.55,0,False,2.586162200737491
P048,171,50.840605661601096,19,0.55,0,False,3.363453243224302
P049,40,7.6252934682621065,11,0.55,0,False,5.24569974473605
P050,42,5.074247295152913,14,0.55,0,False,8.277089695671666
P051,123,31.700073397093476,18,0.55,0,False,3.880117199074929
P052,124,36.68642258117166,13,0.55,0,False,3.37999704729018
P053,196,61.30610473822813,22,0.55,0,False,3.1970714961732343
P054,45,4.44473482535879,12,0.55,0,False,10.124338519197822
P055,40,8.518841010332052,11,0.55,0,False,4.695474413888711
P056,210,74.34353011616382,21,0.55,0,False,2.824724621925663
P057,105,26.200435589631464,18,0.55,0,False,4.007566959747517
P058,46,11.392670620391366,10,0.55,0,False,4.037683659322698
P059,48,6.083321896171062,12,0.55,0,False,7.890425793547429
P060,43,5.851190749461407,14,0.55,0,False,7.348931498081495
P061,54,6.926289094300326,17,0.55,0,False,7.796382632142345
P062,129,42.85363401974685,15,0.55,0,False,3.010246457524632
P063,182,67.53768951948751,15,0.55,0,False,2.694791623682732
P064,45,9.124765063588079,12,0.55,0,False,4.931633821408758
P065,361,82.04355168644459,18,0.55,0,False,4.40010205042897
P066,65,18.018776201332827,13,0.55,0,False,3.6073482057672726
P067,49,7.324013103452042,15,0.55,0,False,6.69032118155342
P068,156,40.13612865516782,18,0.55,0,False,3.8867724722601977
P069,42,7.594271229485809,16,0.55,0,False,5.530484589084623
P070,50,5.659144854595294,11,0.55,0,False,8.835257143029198
P071,44,5.820863775177546,15,0.55,0,False,7.559015585905534
P072-1,43,5.105469754155058,15,0.55,0,False,8.422339582955063
P072-2,63,7.108414990662797,14,0.55,0,False,8.862735234613224
P072-3,40,5.0761610303735685,10,0.55,0,False,7.879970662998509
