ratio,ha_total,ha_mediana,densidad_mediana,hulls_degenerados,locales_ajenos_adentro,polos_que_cambian_de_clase_vs_055
0.05,1015.9,4.49,15.21,0,0,47
0.1,1311.3,5.32,13.07,0,0,45
0.15,1625.8,6.55,10.92,0,0,41
0.2,1899.2,7.73,9.17,0,0,36
0.25,2174.9,8.8,7.85,0,0,28
0.3,2386.9,10.27,6.84,0,0,25
0.4,2748.4,11.92,6.09,0,0,10
0.5,2985.3,12.9,5.61,0,0,3
0.55,3143.5,13.04,5.21,0,1,0
0.6,3260.4,14.17,5.01,0,2,2
0.7,3452.1,14.98,4.78,0,10,5
0.8,3622.9,15.38,4.66,0,11,8
0.9,3736.7,15.69,4.35,0,19,12
1.0,3958.1,17.51,4.15,0,30,17
