establecimiento_uid,legacy_id,nombre,alias_nombre,nombre_normalizado,direccion,latitud,longitud,barrio_declarado,barrio,comuna,categoria,subcategoria,fuentes,familias_fuente,fuente_principal,fecha_frescura_evidencia,nivel_publicacion,existe_en_fuente,estado_vigencia,estado_operativo,fecha_verificacion_vigencia,fuente_verificacion,tipo_verificacion,referente,tipo_referente,reconocimiento,reconocimiento_normativo,orden_normativo,punto_instrumental,polo_ficha_sistema_asociado,nivel_confianza,metodo_geocodificacion,observaciones_qa
HITO-H045,H045,12 de octubre,,12 DE OCTUBRE,Bulnes 331,-34.607009,-58.418597,,Almagro,Comuna 5,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-07,completo,SI,OPERATIVO,OPERATIVO,2026-08-07,"verificación humana · verificación humana DGDGAS, 07/08/2026",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,42.0,SI,POLO-Z37,alta,USIG sobre la dirección del Boletín,
HITO-H074,H074,36 BILLARES,,36 BILLARES,Av. de Mayo 1265,-34.60917,-58.384301,,Monserrat,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-07-04,completo,SI,OPERATIVO,OPERATIVO,2026-07-04,"Tripadvisor, reseña del 04/07/2026, y SEGUNDA reseña independiente del 28/06/2026 que describe arañas originales y mesas de pool en uso. Dos reseñas con día visible en la misma ventana.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,74.0,SI,POLO-R12;POLO-Z47,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H079,H079,8 ESQUINAS,,8 ESQUINAS,Av. Forest 1186,-34.578517,-58.460138,,Chacarita,Comuna 15,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,81.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H001,H001,9 de Julio,,9 DE JULIO,Larrazabal 1276,-34.650998,-58.502491,,Mataderos,Comuna 9,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2025-10-16,completo,SI,OPERATIVO,OPERATIVO,2025-10-16,,SIN_VERIFICACION,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,11.0,SI,POLO-Z33,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H006,H006,BAR DEL ALVEAR PALACE HOTEL,,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,-34.587677,-58.388996,,Recoleta,Comuna 2,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,7.0,SI,POLO-R06,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H012,H012,BAR OVIEDO,,BAR OVIEDO,Av. Lisandro de la Torre 2407,-34.662711,-58.500062,,Mataderos,Comuna 9,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2021-03-01,completo,SI,OPERATIVO,OPERATIVO,2021-03-01,"el catálogo lo lista y APH 21 lo protege, pero la última observación de campo del GCBA es de enero de 2013 y no participó de la Noche de los Bares Notables 2025 mientras Del Glorias y 9 de Julio sí. Diario CEMBA publicó el 17/04/2026 pero bloquea acceso automatizado: LECTURA FALLIDA, no confirmación.",DOCUMENTAL,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,13.0,SI,POLO-Z33,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H013,H013,BAR PLAZA DORREGO,,BAR PLAZA DORREGO,Defensa 1098,-34.620552,-58.371399,,San Telmo,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,15.0,SI,POLO-R03,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H014,H014,BAR QUINTINO,,BAR QUINTINO,Carlos Calvo 4002,-34.624844,-58.421977,,Boedo,Comuna 5,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,16.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H015,H015,BAR SEDDON,,BAR SEDDON,Defensa 695,-34.615917,-58.371763,Monserrat,Monserrat,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,17.0,SI,POLO-Z47,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
HITO-H016,H016,BAR SUR,,BAR SUR,Estados Unidos 299,-34.618388,-58.37003,,San Telmo,Comuna 1,Bar Notable,,Boletín Oficial CABA | BOLETIN_90 (canon),PUBLICA_GCBA,Boletín Oficial CABA,2026-08-08,candidato_interno,SI,OPERATIVO,OPERATIVO,2026-08-08,"Verificacion humana directa (verificación humana DGDGAS, DGDGAS): redes sociales y Google Maps",HUMANA,SI,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),SI,18.0,SI,,alta,"REFERENTES_2026 (GCBA, ya geocodificado)",
