polo_uid,legacy_id,polo_nombre,referente_id,nombre,categoria_referente,categoria_visual,simbolo_visual,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,asignacion_metodo,estado_trazabilidad_asignacion,fuente_asignacion_individualizada,posicion,clasificacion_propuesta,publicable_en_panel_territorial,tratamiento_editorial_post_auditoria,dist_borde_m_recalculada,dist_fuera_m_recalculada,cae_dentro_de,polo_mas_cercano,n_polos_del_referente,fundamento,recomendacion_editorial,tratamiento_en_ficha,bloque_en_ficha,alerta,es_icono_principal,estado_icono_principal,puntaje_icono_principal_propuesto,elegible_icono_principal_propuesto,regla_icono_principal,es_ancla,observaciones,fuera_geometria,cerca_borde_50m,distancia_borde_m,relacion_espacial,relacion_espacial_etiqueta,umbral_relacion_espacial_m
POLO-R01,R01,Palermo,HITO-MIC-020,A Fuego Fuerte,MICHELIN,Distinción MICHELIN,STAR,Recomendado/seleccionado,Bonpland 1670,-34.583595,-58.437705,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/a-fuego-fuerte,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,349.847,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 349.8 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,NO,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,349.847,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-DIR-008,Angelin,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Av. Cordoba 5270,-34.589853,-58.436933,Villa Crespo,Comuna 15,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.canal26.com/turismo/2026/06/24/las-pizzerias-emblematicas-de-buenos-aires-historia-precios-y-por-que-siguen-marcando-la-cultura-portena/,media,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR_PROXIMO_AL_BORDE,SI,PANEL_TERRITORIAL,42.822,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 42.8 m del borde. Un ajuste menor de la delimitación lo deja afuera.","Publicar en el panel, y marcar internamente que depende del trazado del borde.",EN_PANEL_DE_REFERENTES,panel de referentes; reconocimiento oficial,,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,SI,42.822,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-MIC-032,Buri Omakase,MICHELIN,Distinción MICHELIN,STAR,Recomendado/seleccionado,Guatemala 5781,-34.578876,-58.433715,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/buri-omakase,alta,referente documentado; asignación geometria,GEOMETRIA,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,73.432,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 73.4 m del borde.",Publicar en el panel de referentes de la ficha.,NO_MENCIONADO,,referente interior ausente de su ficha,NO,PROPUESTA_NO_INSTITUCIONAL,33,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,NO,,NO,NO,73.432,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-H021,Cafe Cortazar,Bar Notable,Bar Notable,CIRCLE,,Jose Antonio Cabrera 3797,-34.596464,-58.419818,Palermo,Comuna 14,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,DOCUMENTO,SIN_FUENTE_INDIVIDUALIZADA,,EXTERIOR,ASIGNACION_DUDOSA,NO,SUSPENDER_HASTA_INDIVIDUALIZAR_FUENTE,639.636,639.636,,POLO-Z37,1,El punto está a 640 m del borde de POLO-R01 y POLO-Z37 le queda más cerca. La asignación es documental y el motivo registrado no individualiza la fuente.,No publicar hasta que la fuente documental esté individualizada. Revisar si corresponde al polo más cercano.,MENCIONADO_FUERA_DEL_PANEL,"Varela Varelita**, Av",,NO,PROPUESTA_NO_INSTITUCIONAL,55,NO,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,Fuera de la geometría; asociación documental explícita.,SI,NO,639.636,CONTEXTUAL_MAS_250M,referente contextual documental (más de 250 m),0 / 50 / 250
POLO-R01,R01,Palermo,HITO-H162,CoChinChina,Latin America’s 50 Best,Ranking internacional,PLUS,The World's 50 Best Bars 2025,Armenia 1540,-34.590428,-58.428895,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,The World's 50 Best Bars 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,302.699,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 302.7 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,NO,PROPUESTA_NO_INSTITUCIONAL,51,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,302.699,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-H155,Crizia,Latin America’s 50 Best,Ranking internacional,PLUS,Latin America's 50 Best Restaurants 2025,Gorriti 5143,-34.58849,-58.432514,Palermo,Comuna 14,SIN_VERIFICAR,,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,234.463,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 234.5 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,NO,PROPUESTA_NO_INSTITUCIONAL,51,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,234.463,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-MIC-009,Crizia,MICHELIN,Distinción MICHELIN,STAR,Una Estrella,Fitz Roy 1819,-34.583209,-58.435151,Palermo,Comuna 14,SIN_VERIFICAR,,Una Estrella,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/crizia,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,170.959,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 171.0 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,NO,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,170.959,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-H149,Don Julio,Latin America’s 50 Best,Ranking internacional,PLUS,Latin America's 50 Best Restaurants 2025,Guatemala 4699,-34.586392,-58.424304,Palermo,Comuna 14,SIN_VERIFICAR,,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,293.789,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 293.8 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,NO,PROPUESTA_NO_INSTITUCIONAL,51,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,293.789,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-H160,Don Julio,Latin America’s 50 Best,Ranking internacional,PLUS,The World's 50 Best Restaurants 2025,Guatemala 4699,-34.586392,-58.424304,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,The World's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,293.789,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 293.8 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,NO,PROPUESTA_NO_INSTITUCIONAL,51,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,293.789,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-MIC-023,Don Julio,MICHELIN,Distinción MICHELIN,STAR,Una Estrella,Guatemala 4699,-34.586392,-58.424304,Palermo,Comuna 14,SIN_VERIFICAR,,Una Estrella,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/don-julio,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,293.789,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 293.8 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,NO,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,293.789,DENTRO,referente dentro del polo,0 / 50 / 250
