ruta,incluido_en_entrega
00_RESUMEN.md,SI
02_BASE_CANDIDATA.csv,SI
03_POLOS_CANDIDATOS.geojson,SI
04_SISTEMAS_MIEMBROS.csv,SI
05_POLOS_COMUNAS_BARRIOS.csv,SI
06_ORDEN_EDITORIAL_POR_COMUNA.csv,SI
07_REFERENTES_ICONOS_POR_POLO.csv,SI
08_QA_REFERENTES_POR_POLO.csv,SI
09_VIAS_RECONCILIADAS.csv,SI
10_CONTEOS_GLOBALES.csv,SI
11_CAMBIOS_DOCUMENTO_CAPA.csv,SI
12_QA_GEOMETRIAS.md,SI
13_QA_MAKE_VALID_R08_R12.md,SI
14_MAP_INPUT_POLOS.geojson,SI
15_MAP_INPUT_REFERENTES.geojson,SI
16_QA_GENERAL.md,SI
17_ASIGNACIONES_DUDOSAS_A_ELEVAR.csv,SI
17_PENDIENTES.md,SI
AUDITORIA_45_VERIFICACIONES_AUTOMATICAS.csv,SI
AUDITORIA_RELACIONES_INTEGRADA_190.csv,SI
DECISION_CASEROS.md,SI
DECISION_SAN_TELMO.md,SI
DICTAMEN_CORRECCION.md,SI
ICONOS_PRINCIPALES_PROPUESTOS.csv,SI
PROMPT_CLAUDE_CODE_AUDITORIA_INDEPENDIENTE.md,SI
QA_RELACIONES_POST_AUDITORIA.json,SI
QA_SAN_TELMO.json,SI
QA_SAN_TELMO_COMPARATIVA.png,SI
QA_VALIDACIONES.csv,SI
QA_VALIDEZ_POR_CRS.csv,SI
REGLA_ICONOS_PRINCIPALES.md,SI
REGLA_PANEL_TERRITORIAL.md,SI
REGLA_RELACION_ESPACIAL.md,SI
scripts/build_san_telmo.py,SI
SENSIBILIDAD_SAN_TELMO.csv,SI
SENSIBILIDAD_UMBRAL_RELACIONES.csv,SI
SOLAPES_CLASIFICADOS.csv,SI
VOCABULARIO_CATEGORIAS_REFERENTES.md,SI
