polo_uid,legacy_id,polo_nombre,referente_id,nombre,categoria_referente,categoria_visual,simbolo_visual,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,asignacion_metodo,estado_trazabilidad_asignacion,fuente_asignacion_individualizada,posicion,clasificacion_propuesta,publicable_en_panel_territorial,tratamiento_editorial_post_auditoria,dist_borde_m_recalculada,dist_fuera_m_recalculada,cae_dentro_de,polo_mas_cercano,n_polos_del_referente,fundamento,recomendacion_editorial,tratamiento_en_ficha,bloque_en_ficha,alerta,es_icono_principal,estado_icono_principal,puntaje_icono_principal_propuesto,elegible_icono_principal_propuesto,regla_icono_principal,es_ancla,observaciones,fuera_geometria,cerca_borde_50m,distancia_borde_m,relacion_espacial,relacion_espacial_etiqueta,umbral_relacion_espacial_m
POLO-R01,R01,Palermo,HITO-DIR-008,Angelin,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Av. Cordoba 5270,-34.589853,-58.436933,Villa Crespo,Comuna 15,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.canal26.com/turismo/2026/06/24/las-pizzerias-emblematicas-de-buenos-aires-historia-precios-y-por-que-siguen-marcando-la-cultura-portena/,media,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR_PROXIMO_AL_BORDE,SI,PANEL_TERRITORIAL,42.822,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 42.8 m del borde. Un ajuste menor de la delimitación lo deja afuera.","Publicar en el panel, y marcar internamente que depende del trazado del borde.",EN_PANEL_DE_REFERENTES,panel de referentes; reconocimiento oficial,,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,SI,42.822,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-MIC-015,Mengano,Bib Gourmand,Distinción MICHELIN,STAR,selección MICHELIN,José Antonio Cabrera 5172,-34.588943,-58.433757,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mengano,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,169.912,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 169.9 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,"Varela Varelita**, Av; panel de referentes",,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,169.912,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-MIC-006,Mercado de Liniers,MICHELIN,Distinción MICHELIN,STAR,Recomendado/seleccionado,Gorriti 6012,-34.581688,-58.441598,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mercado-de-liniers,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,169.497,0.0,,POLO-R01,1,"El punto está adentro del polígono, a 169.5 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,panel de referentes,,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,169.497,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R02,R02,Avenida Corrientes,HITO-H038,Celta Bar,Bar Notable,Bar Notable,CIRCLE,,Sarmiento 1702,-34.605579,-58.390932,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR_PROXIMO_AL_BORDE,SI,PANEL_TERRITORIAL,34.919,0.0,,POLO-R02,1,"El punto está adentro del polígono, a 34.9 m del borde. Un ajuste menor de la delimitación lo deja afuera.","Publicar en el panel, y marcar internamente que depende del trazado del borde.",EN_PANEL_DE_REFERENTES,"Celta Bar**, Sarmiento 1702 esquin; Lo que falta precisar; panel de referentes",,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,SI,34.919,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R02,R02,Avenida Corrientes,HITO-H075,LOS GALGOS,Bar Notable,Bar Notable,CIRCLE,,Av. Callao 501,-34.602955,-58.392326,San Nicolas,Comuna 1,OPERATIVO,2026-08-02,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR_PROXIMO_AL_BORDE,SI,PANEL_TERRITORIAL,36.976,0.0,,POLO-R02,1,"El punto está adentro del polígono, a 37.0 m del borde. Un ajuste menor de la delimitación lo deja afuera.","Publicar en el panel, y marcar internamente que depende del trazado del borde.",EN_PANEL_DE_REFERENTES,"Los Galgos**, Av; panel de referentes",,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,SI,36.976,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R02,R02,Avenida Corrientes,HITO-H081,Petit Colón,Bar Notable,Bar Notable,CIRCLE,,Libertad 505,-34.602403,-58.38376,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR_PROXIMO_AL_BORDE,SI,PANEL_TERRITORIAL,23.663,0.0,,POLO-R02,2,"El punto está adentro del polígono, a 23.7 m del borde. Un ajuste menor de la delimitación lo deja afuera.","Publicar en el panel, y marcar internamente que depende del trazado del borde.",EN_PANEL_DE_REFERENTES,panel de referentes,,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,SI,23.663,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R03,R03,San Telmo,HITO-H009,Bar El Federal,Bar Notable,Bar Notable,CIRCLE,,Carlos Calvo 595,-34.619619,-58.374145,San Telmo,Comuna 1,OPERATIVO,2026-07-21,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR_PROXIMO_AL_BORDE,SI,PANEL_TERRITORIAL,39.484,0.0,,POLO-R03,1,"El punto está adentro del polígono, a 39.5 m del borde. Un ajuste menor de la delimitación lo deja afuera.","Publicar en el panel, y marcar internamente que depende del trazado del borde.",EN_PANEL_DE_REFERENTES,"Bar El Federal**, Carlos Calvo 595; panel de referentes",,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,SI,39.484,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R04,R04,Puerto Madero,HITO-ICO-006,Estilo Campo,Restaurante Icónico,Restaurante icónico,SQUARE,,"MOREAU DE JUSTO, ALICIA AV. 1840",-34.620317,-58.365452,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/estilo-campo,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,76.351,0.0,,POLO-R04,1,"El punto está adentro del polígono, a 76.4 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,estado de los referentes; panel de referentes,,SI,PROPUESTA_NO_INSTITUCIONAL,59,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,76.351,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R04,R04,Puerto Madero,HITO-ICO-011,Marcelo Restaurante,Restaurante Icónico,Restaurante icónico,SQUARE,,"MOREAU DE JUSTO, ALICIA AV. 1140",-34.610892,-58.366239,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/marcelo-restaurante,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR,SI,PANEL_TERRITORIAL,51.039,0.0,,POLO-R04,1,"El punto está adentro del polígono, a 51.0 m del borde.",Publicar en el panel de referentes de la ficha.,EN_PANEL_DE_REFERENTES,panel de referentes,,SI,PROPUESTA_NO_INSTITUCIONAL,59,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,NO,51.039,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R04,R04,Puerto Madero,HITO-ICO-014,Sorrento,Restaurante Icónico,Restaurante icónico,SQUARE,,"MOREAU DE JUSTO, ALICIA AV. 420",-34.602294,-58.36721,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/sorrento-0,alta,referente documentado; asignación geometria+documento,GEOMETRIA+DOCUMENTO,GEOMETRIA_REPRODUCIDA,,INTERIOR,INTERIOR_PROXIMO_AL_BORDE,SI,PANEL_TERRITORIAL,48.89,0.0,,POLO-R04,1,"El punto está adentro del polígono, a 48.9 m del borde. Un ajuste menor de la delimitación lo deja afuera.","Publicar en el panel, y marcar internamente que depende del trazado del borde.",EN_PANEL_DE_REFERENTES,panel de referentes,,SI,PROPUESTA_NO_INSTITUCIONAL,59,SI,ver REGLA_ICONOS_PRINCIPALES.md; sólo relaciones INTERIOR,SI,,NO,SI,48.89,DENTRO,referente dentro del polo,0 / 50 / 250
