zona_id,nombre,tarea,ha,n_locales,ha_del_provisorio,n_locales_del_provisorio,delta_ha,delta_locales,ha_fuera_del_provisorio,cerrado_si_no,piezas_cerradas,piezas_del_texto,subzona_de,solape_con,ha_de_solape,locales_de_solape,recomendacion,que_falta,provisorio,fuente_del_perimetro,metodo,opciones,notas
Z40,Nueva Pompeya y Parque Patricios,1,69.06,112,870.07,546,-801.01,-434,0.0,si_con_exclusion_declarada,2,3,,Z54,39.39,52,,"Barrio Charrúa: medido y no cierra: las vías del Belgrano Sur no son una línea del callejero y Av. Bonorino y Av. Fernández de la Cruz se cruzan; con el borde del barrio como tercer lado la cara que sale es Nueva Pompeya entera. Y la propia ficha declara que ahí no hay oferta comercial documentada -«comunidad medida, sin enclave comercial»-, así que sumarlo agregaría superficie sin locales",Z40,"Tres piezas: Av. Caseros y el Distrito Tecnológico, Av. Sáenz y el Mercado de Pompeya, y el Barrio Charrúa. Las dos extensiones salen de la misma ficha: el párrafo de contexto comercial da «Av. Caseros 2601-2999» y «Av. Sáenz del 801 al 1399», y los referentes dan El Globito en Av. Caseros 3159 y el Mercado de Pompeya en Av. Sáenz 790.",manzanas frentistas del callejero; borde sobre calles por construcción,,referentes de la ficha: 2 de 3 caen dentro del trazado
Z54,Nueva Pompeya · eje Av. Sáenz,1,39.39,52,870.07,546,-830.68,-494,0.0,si,1,1,Z40,Z40,39.39,52,,nada: el texto cerró todas las piezas que nombra,Z40,"Eje Av. Sáenz, con núcleo en el Mercado de Pompeya, Av. Sáenz 790. Es la misma pieza que el perímetro de Nueva Pompeya y Parque Patricios ya lista como su segunda: mismo eje, mismo objeto, misma dirección.",manzanas frentistas del callejero; borde sobre calles por construcción,,referentes de la ficha: 1 de 2 caen dentro del trazado
Z35,Balvanera · Once,1,19.18,74,434.43,1253,-415.25,-1179,0.01,si,2,2,,R13,3.91,15,,"el padrón del que salen las cinco puertas es de 2015 y la ficha lo declara dudoso en bloque; el eje delimita el enclave de colectividad, no la zona entera",Z35,"Eje Tucumán entre el 2379 y el 2755, ambas aceras, con transversal sobre Paso al 700. La frase del perímetro dice «en revisión» y no escribe ninguna calle; la extensión sale de las cinco puertas del enclave que la propia ficha lista, todas del padrón oficial de 2015: Sucat David (Tucumán 2379), El Jaial (2620), Al Galope (2633), Lalo Helueni (2755) y Yaffo Kosher (Paso 747).",manzanas frentistas del callejero; borde sobre calles por construcción,,referentes de la ficha: 5 de 6 caen dentro del trazado
Z33,Mataderos,1,,,740.11,375,,,,no,0,2,,,,,,la Feria y el Mercado de Hacienda: el texto da el cruce de dos avenidas y ninguna extensión. El perímetro de ocupación de la Feria es un dato administrativo que existe fuera del atlas y el repositorio no lo tiene; el conjunto de referentes dispersos: el texto los llama dispersos y la propia ficha dice que «una densidad promedio sobre el conjunto no describe ninguna de las dos» piezas,Z33,"Dos piezas separadas por más de un kilómetro: la Feria y el Mercado de Hacienda, en Av. Lisandro de la Torre y Av. de los Corrales, y un conjunto de referentes dispersos.",sin trazado: se mantiene el polígono administrativo,,
Z39,Parque Avellaneda,1,75.26,11,473.47,173,-398.21,-162,0.0,si,1,1,,,,,,"buena parte de la superficie encerrada es el parque, donde no hay locales: la densidad por hectárea de esta zona no es comparable con la de las demás",Z39,"El anillo del Parque Avellaneda. El anillo son las manzanas con frente sobre el perímetro del parque, que es una cara cerrada del callejero y no necesita rango de alturas. La ficha nombra Av. Olivera y Av. Lacarra; medido, Olivera tiene 0 m de frente sobre el parque.",manzanas frentistas del callejero; borde sobre calles por construcción,,referentes de la ficha: 1 de 3 caen dentro del trazado
Z27,Villa Santa Rita,1,,,215.46,182,,,,no,0,1,,,,,,"el conjunto: no hay rango de alturas ni calles de corte, y el hueco no es de redacción: la propia ficha declara que la vía de densidad no abre -«seis locales dispersos en diez cuadras es un conjunto, no una densidad»-, así que todavía no hay una concentración que delimitar. Los tres referentes están en tres calles distintas -Av. Álvarez Jonte 3550, Camarones 2702 y Luis Viale 2867- y ninguna trae extensión",Z27,"Puntos dispersos con anclaje en Av. Álvarez Jonte, que es el límite sur y oeste del barrio y no su columna interior.",sin trazado: se mantiene el polígono administrativo,,
Z53,La Boca · Caminito y Vuelta de Rocha,1,1.27,16,504.0,295,-502.73,-279,0.0,parcial,1,2,,,,,,"la Vuelta de Rocha: no está en el callejero porque es un recodo del Riachuelo, no una calle, y el texto no da tramo sobre Av. Don Pedro de Mendoza",S_LABOCA,"Entorno de Caminito y la Vuelta de Rocha, sobre Av. Don Pedro de Mendoza. De las dos cosas que el texto nombra, Caminito sí está en el callejero -140,6 m- y toca la avenida a 0 m: sus manzanas frentistas cierran. La Vuelta de Rocha no está, y el texto no da tramo sobre la avenida.",manzanas frentistas del callejero; borde sobre calles por construcción,,referentes de la ficha: 0 de 3 caen dentro del trazado
Z41,Núñez,2,442.64,494,449.86,494,-7.22,0,0.26,si_por_capa_administrativa,1,3,,R05 · R20,0.06 · 2.33,0 · 6,,"corredor bajo el viaducto Mitre: sigue sin extensión y sin reparto con las otras dos zonas que lo comparten; el único dibujo que existe es un buffer de 150 m sobre una recta entre cabeceras, y ese borde es una propiedad del instrumento; núcleo de bistrós en Campos Salles, O'Higgins y Grecia: tres calles sin extensión, y el texto las llama dispersas",Z41,"El polígono administrativo del barrio de Núñez, de la capa oficial de 48 barrios. La zona que el atlas publica es idéntica a la capa de barrios que venía usando -diferencia simétrica 0 m²-: el atlas no sumó superficie. Toda la diferencia contra la capa oficial está sobre la línea de ribera del Río de la Plata y no lleva locales.",manzanas frentistas del callejero; borde sobre calles por construcción,,"zona menos capa vieja 0 m²; zona menos capa oficial 74,837 m² con 0 locales; referentes de la ficha: 3 de 3 caen dentro del trazado"
Z46,Retiro,2,467.14,715,466.6,715,0.53,0,0.53,si_por_capa_administrativa,2,3,,R04 · R12,23.17 · 52.16,4 · 301,,"núcleo institucional de Plaza San Martín y Florida: el texto no da el tramo de Florida, que entera mide más de un kilómetro",Z46,"El polígono administrativo del barrio de Retiro, de la capa oficial de 48 barrios, más la subzona del cluster coreano y asiático, que la ficha ya declara y que cae íntegramente en San Nicolás.",manzanas frentistas del callejero; borde sobre calles por construcción,,"zona menos capa vieja 149,485 m²; zona menos capa oficial 156,196 m² con 118 locales; suma declarada: 149,485 m² y 117 locales, el cluster coreano y asiático, que la propia ficha declara: cae 100 % en San Nicolás, fuera del barrio de Retiro; la diferencia entre las dos capas de barrios agrega otros 6,710 m² que no son del polo; referentes de la ficha: 7 de 7 caen dentro del trazado"
Z37,Almagro,2,60.9,207,405.26,868,-344.36,-661,0.01,si,3,3,,R13,25.33,101,,el corredor de Av. Corrientes se pisa con el Abasto y el reparto sigue siendo una decisión abierta: la cifra de esta zona no se suma con la del Abasto,Z37,"Tres ejes: Guardia Vieja 3600-3900, Av. Corrientes 3500-4200 y Av. Rivadavia 3401-4099. Las tres cuadras de Guardia Vieja son las que contienen las dos alturas que la ficha nombra -el 3601 y el 3602- y llegan al cruce con Bulnes, que es lo que da nombre a la pieza; medido, Bulnes cruza Guardia Vieja al 3800, no al 3601. La extensión sobre Rivadavia es el eje que la ficha releva -Av. Rivadavia 3401-4099-, que contiene Las Violetas en el 3899.",manzanas frentistas del callejero; borde sobre calles por construcción,,referentes de la ficha: 4 de 5 caen dentro del trazado
