hito_id,nombre,direccion,barrio_declarado,tipo,reconocimiento,registro_oficial,vigencia_verificada,vigencia_nivel,vigencia_fecha,vigencia_fuente,es_patrimonio_normativo,patrimonio_norma,places_business_status,vigencia_fecha_consulta,alerta_juridica,alerta_juridica_fecha,latitud,longitud,origen,confianza
DIR-001,La Americana,Av. Callao 83,Balvanera (Congreso),Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.608247,-58.391925,evidencia_2026 · alta,alta
DIR-002,El Fortin,,Monte Castro,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,si,,2025-08-26,CPPHC ficha id=124; Canal 26 28/08/2025 sobre las 10 pizzerías emblemáticas.,False,,,,,,-34.624277,-58.511648,evidencia_2026 · baja,baja
DIR-003,Guerrin,Av. Corrientes 1368,San Nicolas,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.604042,-58.386004,evidencia_2026 · alta,alta
DIR-004,El Cuartito,Talcahuano 937,Retiro / San Nicolas,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.597845,-58.385527,evidencia_2026 · alta,alta
DIR-005,Las Cuartetas,Av. Corrientes 838,San Nicolas,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.603607,-58.3786,evidencia_2026 · alta,alta
DIR-006,Pin Pun,Av. Corrientes 3954,Almagro,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.603323,-58.42031,evidencia_2026 · media,media
DIR-007,Casa Burgio,Av. Cabildo 2477,Belgrano,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,si,,2026-08-07,operativa.,False,,,,,,-34.558456,-58.45961,evidencia_2026 · alta,alta
DIR-008,Angelin,Av. Cordoba 5270,Villa Crespo,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.589853,-58.436933,evidencia_2026 · media,media
DIR-009,La Mezzetta,Av. Alvarez Thomas 1321,Villa Ortuzar,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.578231,-58.460815,evidencia_2026 · media,media
DIR-010,Banchero,Suarez 396,La Boca,Pizzería emblemática,APYCE + GCBA (2025),pizzeria_emblematica,sin_verificar,,,,True,Norma 143/02,,,,,-34.635258,-58.358632,evidencia_2026 · alta,alta
DIR-011,El Cedron,Av. Juan B. Alberdi 6101,Mataderos,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,dudosa,ninguno,2025-06-27,,True,-,,,,,-34.65369,-58.504823,evidencia_2026 · alta,alta
DIR-012,Los Maestros,Parana 1249,Recoleta,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.593727,-58.388633,evidencia_2026 · alta,alta
DIR-013,Pirilo,Defensa 821,San Telmo,Pizzería emblemática,APYCE + GCBA (2026),pizzeria_emblematica,sin_verificar,,,,False,,,,,,-34.617508,-58.3717,evidencia_2026 · alta,alta
