ruta,sha256,bytes
00_RESUMEN.md,b072b7515d1e6c9f1c7edbb72d11a2a0354745b5439dfeb1afc7aad17b5b94c4,1990
02_BASE_CANDIDATA.csv,88ec0e7a4bc041e66ad74206d99d1649a852b2a5d087e22f1fd26f05ec169e04,118975
03_POLOS_CANDIDATOS.geojson,dd54304eaf2ccba939d4e5518659b3f6a125599a60669c2d9eff31024834fb78,348141
04_SISTEMAS_MIEMBROS.csv,14f07da62b117524eb46206177c635e955fca2d46e5e960582fee24e2b507290,1262
05_POLOS_COMUNAS_BARRIOS.csv,c749bd75b81c8b617df8296feed6c369315aa3aa09832a2e4ef6e552322b15fe,61207
06_ORDEN_EDITORIAL_POR_COMUNA.csv,558154a0264afa25eba6a6a66b8146a3253e7712f4c47bfa51638dacd138630b,5694
07_REFERENTES_ICONOS_POR_POLO.csv,2b0c41d9af348a1a2409a8495a210433781eb95b56f3eb0863a2f596833a61e9,95912
08_QA_REFERENTES_POR_POLO.csv,51a6ef7103abf39b80e062a29a6aa5959feb43258dd6fdb68da3c37b7efc8bfe,7575
09_VIAS_RECONCILIADAS.csv,03a51ec6012d16ed6a9847a9c17de4e6f1668f9eeb104b582ee37494920d354c,2735
10_CONTEOS_GLOBALES.csv,b3275a02cbeca5d12a1b3832b434d41dca04892375f798d154ed59e2e0245c23,414
11_CAMBIOS_DOCUMENTO_CAPA.csv,2f828f5cefacfde42c75297f935dea26cd3a7dd40d6139dbfa28184765b421b6,2235
12_QA_GEOMETRIAS.md,122833a84a7eb7504488164eada5780de9995a567b7b5aa735126f5470f78c8c,1357
13_QA_MAKE_VALID_R08_R12.md,a8e7fb7efcc6f9dda3c883810efdf5b887ecc2e37390cdf1a7cc237cb984148b,1185
14_MAP_INPUT_POLOS.geojson,fbf89a0ff898447469ef6852b132a88ec4b7f2a801a1fe2017b05ad9a91ba032,332613
15_MAP_INPUT_REFERENTES.geojson,a34a5badb35283e8ed9731e0dce0dc895c3a4dc2743b9e72f929143cc1df76c6,115675
16_QA_GENERAL.md,484a382391be6d4f998062f83988a1a56816199f4429ba6d0c2b8fb2a08e23f2,1771
17_PENDIENTES.md,062223310be63fb1c31d521df2d354de6ab26627a1b7cdd4e5adb52e5a390913,615
AUDITORIA_45_VERIFICACIONES_AUTOMATICAS.csv,7c632b9d453c5083bbd3afa36ca1a9d459a4159a4d31e6d4a69fd1b629ec41ce,4366
DECISION_CASEROS.md,9157a219e6c68024100378ccc0cf746656b94a2f245798bb0e9e3ed4d68c4409,422
DICTAMEN_CORRECCION.md,f5072b90fb151a0517d25a37fc412dee66bad60482bca5eb2c442c30b5e83d75,597
ICONOS_PRINCIPALES_PROPUESTOS.csv,8d91ef06c397432869a89331215976bc0648592749fa18bad8d194cf9087ea61,33718
QA_VALIDACIONES.csv,5c0619c713653e95153babeb81ab1e219ec067c1b16a505d7221ed45c52dcd4a,317
REGLA_ICONOS_PRINCIPALES.md,920eab8e73b6b51f60cc743c8e08b30260e99429b7b81f1cbba63219ef7f395c,1185
REGLA_RELACION_ESPACIAL.md,6fc059e98a6ea8a7e9f0543dd2412ce7d13dfee8b6a26f47464d8cc897b5aba7,1092
SENSIBILIDAD_UMBRAL_RELACIONES.csv,fb80de6c2b0c15835eddf503ce18b2690d0b436943c214016f765ce31046a9f2,207
SOLAPES_CLASIFICADOS.csv,fd3ecf77bc18f3fee472f1412dfb45081b5fb8db78aee6d28cd0ec9735d4234c,2590
VOCABULARIO_CATEGORIAS_REFERENTES.md,07a9317e99fc3cfec4003a4ba3f42a1bcb800f636bb8a71f27118a8cb139b79e,962
scripts/build_correccion.py,bf50021642c045a70458d850f95e51a7e6ed3ecdd9b802f5ad8ac7cd260844fc,29908
