polo_uid,legacy_id,polo_nombre,dimension_tipo,dimension_id,dimension_nombre,porcentaje_superficie,locales,es_principal,criterio_principal,comuna_principal,comunas_secundarias,barrios,fuente_geometria,universo_locales
POLO-R01,R01,Palermo,BARRIO,BARRIO_BELGRANO,Belgrano,0.310898,8,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R01,R01,Palermo,BARRIO,BARRIO_CHACARITA,Chacarita,1.78219,20,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R01,R01,Palermo,BARRIO,BARRIO_COLEGIALES,Colegiales,2.03109,8,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R01,R01,Palermo,BARRIO,BARRIO_PALERMO,Palermo,92.816037,1852,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R01,R01,Palermo,BARRIO,BARRIO_VILLA_CRESPO,Villa Crespo,3.059785,28,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R01,R01,Palermo,COMUNA,COMUNA_13,Comuna 13,2.341988,16,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R01,R01,Palermo,COMUNA,COMUNA_14,Comuna 14,92.816037,1852,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R01,R01,Palermo,COMUNA,COMUNA_15,Comuna 15,4.841975,48,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 14,Comuna 15;Comuna 13,Palermo;Villa Crespo;Chacarita;Colegiales;Belgrano,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R02,R02,Avenida Corrientes,BARRIO,BARRIO_BALVANERA,Balvanera,14.192387,48,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 3,San Nicolas;Balvanera,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R02,R02,Avenida Corrientes,BARRIO,BARRIO_SAN_NICOLAS,San Nicolas,85.807613,306,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 3,San Nicolas;Balvanera,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R02,R02,Avenida Corrientes,COMUNA,COMUNA_01,Comuna 1,85.807613,306,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 3,San Nicolas;Balvanera,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R02,R02,Avenida Corrientes,COMUNA,COMUNA_03,Comuna 3,14.192387,48,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 3,San Nicolas;Balvanera,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R03,R03,San Telmo,BARRIO,BARRIO_CONSTITUCION,Constitucion,7.596506,3,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,,San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R03,R03,San Telmo,BARRIO,BARRIO_SAN_TELMO,San Telmo,92.403494,68,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,,San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R03,R03,San Telmo,COMUNA,COMUNA_01,Comuna 1,100.0,71,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,,San Telmo;Constitucion,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,BARRIO,BARRIO_BOCA,Boca,7.693328,14,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,BARRIO,FUERA_COBERTURA_OFICIAL_BARRIO,Fuera de cobertura oficial,3.29538,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,BARRIO,BARRIO_MONSERRAT,Monserrat,6.402935,20,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,BARRIO,BARRIO_PUERTO_MADERO,Puerto Madero,59.975757,254,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R04,R04,Puerto Madero,BARRIO,BARRIO_RETIRO,Retiro,7.290549,4,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,Comuna 4,Puerto Madero;San Nicolas;San Telmo;Monserrat;Boca;Retiro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
