polo_uid,legacy_id,polo_nombre,referente_id,nombre,categoria_referente,categoria_visual,simbolo_visual,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,es_icono_principal,estado_icono_principal,puntaje_icono_principal_propuesto,elegible_icono_principal_propuesto,regla_icono_principal,es_ancla,observaciones,asignacion_metodo,fuera_geometria,cerca_borde_50m,distancia_borde_m,relacion_espacial,relacion_espacial_etiqueta,umbral_relacion_espacial_m
POLO-R01,R01,Palermo,HITO-DIR-008,Angelin,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Av. Cordoba 5270,-34.589853,-58.436933,Villa Crespo,Comuna 15,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.canal26.com/turismo/2026/06/24/las-pizzerias-emblematicas-de-buenos-aires-historia-precios-y-por-que-siguen-marcando-la-cultura-portena/,media,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,42.822,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-MIC-015,Mengano,Bib Gourmand,Distinción MICHELIN,STAR,selección MICHELIN,José Antonio Cabrera 5172,-34.588943,-58.433757,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mengano,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,169.912,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R01,R01,Palermo,HITO-MIC-006,Mercado de Liniers,MICHELIN,Distinción MICHELIN,STAR,Recomendado/seleccionado,Gorriti 6012,-34.581688,-58.441598,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mercado-de-liniers,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,169.497,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R02,R02,Avenida Corrientes,HITO-H038,Celta Bar,Bar Notable,Bar Notable,CIRCLE,,Sarmiento 1702,-34.605579,-58.390932,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,34.919,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R02,R02,Avenida Corrientes,HITO-H075,LOS GALGOS,Bar Notable,Bar Notable,CIRCLE,,Av. Callao 501,-34.602955,-58.392326,San Nicolas,Comuna 1,OPERATIVO,2026-08-02,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,36.976,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R02,R02,Avenida Corrientes,HITO-H081,Petit Colón,Bar Notable,Bar Notable,CIRCLE,,Libertad 505,-34.602403,-58.38376,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,23.663,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R03,R03,San Telmo,HITO-H013,BAR PLAZA DORREGO,Bar Notable,Bar Notable,CIRCLE,,Defensa 1098,-34.620552,-58.371399,San Telmo,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,SI,PROPUESTA_NO_INSTITUCIONAL,55,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,27.239,BORDE_HASTA_50M,referente de borde (hasta 50 m),0 / 50 / 250
POLO-R03,R03,San Telmo,HITO-H009,Bar El Federal,Bar Notable,Bar Notable,CIRCLE,,Carlos Calvo 595,-34.619619,-58.374145,San Telmo,Comuna 1,OPERATIVO,2026-07-21,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,39.484,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R04,R04,Puerto Madero,HITO-ICO-006,Estilo Campo,Restaurante Icónico,Restaurante icónico,SQUARE,,"MOREAU DE JUSTO, ALICIA AV. 1840",-34.620317,-58.365452,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/estilo-campo,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,59,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,76.351,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R04,R04,Puerto Madero,HITO-ICO-011,Marcelo Restaurante,Restaurante Icónico,Restaurante icónico,SQUARE,,"MOREAU DE JUSTO, ALICIA AV. 1140",-34.610892,-58.366239,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/marcelo-restaurante,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,59,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,51.039,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R04,R04,Puerto Madero,HITO-ICO-014,Sorrento,Restaurante Icónico,Restaurante icónico,SQUARE,,"MOREAU DE JUSTO, ALICIA AV. 420",-34.602294,-58.36721,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/sorrento-0,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,59,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,48.89,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R05,R05,Belgrano,HITO-DIR-007,Casa Burgio,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Av. Cabildo 2477,-34.558456,-58.45961,Belgrano,Comuna 13,OPERATIVO,2026-08-07,APYCE + GCBA (2025),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/burgio,alta,referente documentado; asignación documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,12.893,BORDE_HASTA_50M,referente de borde (hasta 50 m),0 / 50 / 250
POLO-R05,R05,Belgrano,HITO-MG-0002,Mercado de Belgrano,mercado/patio,Mercado o patio gastronómico,DIAMOND,,Av. Juramento 2527,-34.562848,-58.458147,Belgrano,Comuna 13,SIN_VERIFICAR,2026-08-08,Mercado o patio documentado,REFERENTES_2026 + dirección documental,sin_resolver,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,44,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,62.996,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R06,R06,Recoleta,HITO-H006,BAR DEL ALVEAR PALACE HOTEL,Bar Notable,Bar Notable,CIRCLE,,Av. Alvear 1891,-34.587677,-58.388996,Recoleta,Comuna 2,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,98.669,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R06,R06,Recoleta,HITO-H061,LA BIELA,Bar Notable,Bar Notable,CIRCLE,,Av. Quintana 600,-34.587834,-58.390761,Recoleta,Comuna 2,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,52.83,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R06,R06,Recoleta,HITO-DIR-012,Los Maestros,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2026),Parana 1249,-34.593727,-58.388633,Recoleta,Comuna 2,SIN_VERIFICAR,,APYCE + GCBA (2026),https://losmaestros.com.ar/,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,63,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,95.483,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R07,R07,Costanera Norte,HITO-ICO-007,Happening,Restaurante Icónico,Restaurante icónico,SQUARE,,"OBLIGADO RAFAEL, AV.COSTANERA 7030",-34.544109,-58.432401,Belgrano,Comuna 13,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/happening,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,59,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,13.782,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R07,R07,Costanera Norte,HITO-MG-0011,Patio Costanera Norte,mercado/patio,Mercado o patio gastronómico,DIAMOND,,Avenida Costanera Rafael Obligado 7010,-34.5443,-58.43215,Belgrano,Comuna 13,SIN_VERIFICAR,2026-08-08,Mercado o patio documentado,REFERENTES_2026,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,49,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,14.424,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R08,R08,Villa Crespo,HITO-MIC-004,Fico,MICHELIN,Distinción MICHELIN,STAR,Recomendado/seleccionado,Muñecas 775,-34.600741,-58.44549,Villa Crespo,Comuna 15,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/fico-1213659,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,108.665,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R08,R08,Villa Crespo,HITO-MIC-016,Julia,MICHELIN,Distinción MICHELIN,STAR,Recomendado/seleccionado,Loyola 807,-34.593368,-58.437876,Villa Crespo,Comuna 15,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/julia-1206804,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,112.602,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R08,R08,Villa Crespo,HITO-H033,SAN BERNARDO,Bar Notable,Bar Notable,CIRCLE,,Av. Corrientes 5436,-34.597863,-58.441098,Villa Crespo,Comuna 15,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,583.086,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R10,R10,Caballito,HITO-H090,Confiteria El Greco,Bar Notable,Bar Notable,CIRCLE,,Av. Rivadavia 5353,-34.620162,-58.440853,Caballito,Comuna 6,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,370.575,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-R10,R10,Caballito,HITO-MG-0003,Mercado del Progreso,mercado/patio,Mercado o patio gastronómico,DIAMOND,,Av. Rivadavia 5430,-34.621044,-58.441696,Caballito,Comuna 6,SIN_VERIFICAR,2026-08-08,Mercado o patio documentado,REFERENTES_2026 + dirección documental,sin_resolver,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,44,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,270.456,DENTRO,referente dentro del polo,0 / 50 / 250
