quarantine_path,orig_path,name,ext,size_bytes,mtime,family,quarantine_reason_subdir,references_found,prev_classification,classification,risk,recommendation,disposition_2026_06_29
_delete_candidates/casas_de_pastas/checkpoints_txt/DOMINGO_REVISION_FINAL_254.txt,outputs/casas_pastas_reporte/DOMINGO_REVISION_FINAL_254.txt,DOMINGO_REVISION_FINAL_254.txt,txt,7347,2026-06-21 10:31,casas,casas_de_pastas/checkpoints_txt,(ninguna funcional en cadena vigente),KEEP_AS_ARCHIVE,KEEP_AS_ARCHIVE,bajo,Documento/informe/pack de versión superada con valor histórico-documental. No requerido por la cadena vigente (validador actualizado ya no lo exige).,ARCHIVADO -> _archive_historico/casas_de_pastas/checkpoints_txt/DOMINGO_REVISION_FINAL_254.txt
_delete_candidates/casas_de_pastas/checkpoints_txt/SABADOALANOCHE_RECALL_GOOGLE_CHECKPOINT.txt,outputs/casas_pastas_reporte/SABADOALANOCHE_RECALL_GOOGLE_CHECKPOINT.txt,SABADOALANOCHE_RECALL_GOOGLE_CHECKPOINT.txt,txt,9955,2026-06-20 23:55,casas,casas_de_pastas/checkpoints_txt,(ninguna funcional en cadena vigente),KEEP_AS_ARCHIVE,KEEP_AS_ARCHIVE,bajo,Documento/informe/pack de versión superada con valor histórico-documental. No requerido por la cadena vigente (validador actualizado ya no lo exige).,ARCHIVADO -> _archive_historico/casas_de_pastas/checkpoints_txt/SABADOALANOCHE_RECALL_GOOGLE_CHECKPOINT.txt
_delete_candidates/casas_de_pastas/docs_viejos/INFORME_CASAS_PASTAS.md,docs/casas_pastas/INFORME_CASAS_PASTAS.md,INFORME_CASAS_PASTAS.md,md,7926,2026-06-19 17:01,casas,casas_de_pastas/docs_viejos,scripts\casas_pastas\build_casas_pastas.py,KEEP_AS_ARCHIVE,KEEP_AS_ARCHIVE,bajo,Documento/informe/pack de versión superada con valor histórico-documental. No requerido por la cadena vigente (validador actualizado ya no lo exige).,ARCHIVADO -> _archive_historico/casas_de_pastas/docs_viejos/INFORME_CASAS_PASTAS.md
_delete_candidates/casas_de_pastas/docs_viejos/INFORME_CASAS_PASTAS_INTEGRADO.md,docs/casas_pastas/INFORME_CASAS_PASTAS_INTEGRADO.md,INFORME_CASAS_PASTAS_INTEGRADO.md,md,4064,2026-06-20 14:09,casas,casas_de_pastas/docs_viejos,(ninguna funcional en cadena vigente),KEEP_AS_ARCHIVE,KEEP_AS_ARCHIVE,bajo,Documento/informe/pack de versión superada con valor histórico-documental. No requerido por la cadena vigente (validador actualizado ya no lo exige).,ARCHIVADO -> _archive_historico/casas_de_pastas/docs_viejos/INFORME_CASAS_PASTAS_INTEGRADO.md
_delete_candidates/casas_de_pastas/generadores_pdf_viejos/build_pdf_casas_pastas.py,scripts/casas_pastas/build_pdf_casas_pastas.py,build_pdf_casas_pastas.py,py,14369,2026-06-20 11:23,casas,casas_de_pastas/generadores_pdf_viejos,(ninguna funcional en cadena vigente),SAFE_TO_DELETE_AFTER_APPROVAL,SAFE_TO_DELETE_AFTER_APPROVAL,bajo,"Generador/validador de versión vieja, fuera de la cadena vigente. Reemplazado; las menciones en builders son strings de instrucciones, no imports.",ELIMINADO_2026-06-29
_delete_candidates/casas_de_pastas/generadores_pdf_viejos/build_pdf_integrado.py,scripts/casas_pastas/build_pdf_integrado.py,build_pdf_integrado.py,py,24524,2026-06-20 14:47,casas,casas_de_pastas/generadores_pdf_viejos,(ninguna funcional en cadena vigente),SAFE_TO_DELETE_AFTER_APPROVAL,SAFE_TO_DELETE_AFTER_APPROVAL,bajo,"Generador/validador de versión vieja, fuera de la cadena vigente. Reemplazado; las menciones en builders son strings de instrucciones, no imports.",ELIMINADO_2026-06-29
_delete_candidates/casas_de_pastas/generadores_pdf_viejos/build_pdf_integrado_v2.py,scripts/casas_pastas/build_pdf_integrado_v2.py,build_pdf_integrado_v2.py,py,35728,2026-06-20 14:59,casas,casas_de_pastas/generadores_pdf_viejos,(ninguna funcional en cadena vigente),SAFE_TO_DELETE_AFTER_APPROVAL,SAFE_TO_DELETE_AFTER_APPROVAL,bajo,"Generador/validador de versión vieja, fuera de la cadena vigente. Reemplazado; las menciones en builders son strings de instrucciones, no imports.",ELIMINADO_2026-06-29
_delete_candidates/casas_de_pastas/generadores_pdf_viejos/build_pdf_integrado_v3.py,scripts/casas_pastas/build_pdf_integrado_v3.py,build_pdf_integrado_v3.py,py,48637,2026-06-21 18:11,casas,casas_de_pastas/generadores_pdf_viejos,(ninguna funcional en cadena vigente),SAFE_TO_DELETE_AFTER_APPROVAL,SAFE_TO_DELETE_AFTER_APPROVAL,bajo,"Generador/validador de versión vieja, fuera de la cadena vigente. Reemplazado; las menciones en builders son strings de instrucciones, no imports.",ELIMINADO_2026-06-29
_delete_candidates/casas_de_pastas/informes_viejos/INFORME_CASAS_PASTAS.pdf,outputs/casas_pastas_reporte/INFORME_CASAS_PASTAS.pdf,INFORME_CASAS_PASTAS.pdf,pdf,140321,2026-06-20 11:24,casas,casas_de_pastas/informes_viejos,(ninguna funcional en cadena vigente),KEEP_AS_ARCHIVE,KEEP_AS_ARCHIVE,bajo,Documento/informe/pack de versión superada con valor histórico-documental. No requerido por la cadena vigente (validador actualizado ya no lo exige).,ARCHIVADO -> _archive_historico/casas_de_pastas/informes_viejos/INFORME_CASAS_PASTAS.pdf
_delete_candidates/casas_de_pastas/informes_viejos/INFORME_CASAS_PASTAS_INTEGRADO.md,outputs/casas_pastas_reporte/INFORME_CASAS_PASTAS_INTEGRADO.md,INFORME_CASAS_PASTAS_INTEGRADO.md,md,3010,2026-06-20 14:47,casas,casas_de_pastas/informes_viejos,(ninguna funcional en cadena vigente),KEEP_AS_ARCHIVE,KEEP_AS_ARCHIVE,bajo,Documento/informe/pack de versión superada con valor histórico-documental. No requerido por la cadena vigente (validador actualizado ya no lo exige).,ARCHIVADO -> _archive_historico/casas_de_pastas/informes_viejos/INFORME_CASAS_PASTAS_INTEGRADO.md
