contenido_v1,pagina_v1,tipo,referencia,destino_v2,pagina_v2,tratamiento,justificacion,verificacion_canonica,riesgo_perdida,mitigacion,pagina_v2_plan_56,verificacion_productor
Portada,1,APERTURA,—,Portada V2 con año/versión,1,reformular_sin_perdida,C-07,meta V1,bajo,checklist portada,1,CUBIERTO
Página institucional y alcance,2,APERTURA,—,Combinado en p.2,2,combinar,densidad,apertura V1,bajo,,2,CUBIERTO
Presentación,3,APERTURA,—,Combinado en p.2,2,combinar,densidad,apertura V1,bajo,,2,CUBIERTO
Resumen ejecutivo,4,APERTURA,—,Combinado en p.2,2,combinar,densidad,apertura V1,bajo,,2,CUBIERTO
Índice (2 págs),5-6,APERTURA,—,Índice único p.3,3,combinar,sin índice final,índice V1,bajo,,3,CUBIERTO
Cómo leer,7,APERTURA,—,p.4,4,combinar,con cifras,V1 p.7,bajo,,4,CUBIERTO
Tipologías,8,APERTURA,—,p.5 única,5,combinar,C-05,V1 p.8,bajo,no anexo tipologías,5,CUBIERTO
Metodología y fuentes,9,APERTURA,—,Síntesis p.5 + IDs p.56,5;58,reubicar,sin rutas internas,V1 p.9,medio,C-11,5;56,CUBIERTO
Alcance de cifras,10,APERTURA,—,p.4,4,combinar,con cómo leer,V1 p.10,bajo,,4,CUBIERTO
Localizador,11,APERTURA,R01-R22,p.6,6,conservar,C-08,asset localizador,bajo,,6,CUBIERTO
Ficha editorial R01,12,FICHA,R01,Ficha V2 (7 completa),7,conservar,Contenido canónico completo; compactación de layout,ficha R01,medio si doble,QA campo a campo,7,CUBIERTO
Mapa principal R01,13,MAPA,R01,Mapa página completa V2,8,conservar,Asset congelado sin deformar,PNG/SVG cartografía,bajo,paridad visual,8,CUBIERTO
Cifra/cota/naturaleza R01,12,DATO,R01,Ficha V2 + matriz A,7;51-52,conservar,100% canónico,ficha+matriz,alto si se omite,QA numérico,7;51-52,CUBIERTO
Ficha editorial R02,15,FICHA,R02,Ficha V2 (10 doble),10,reformular_sin_perdida,Contenido canónico completo; compactación de layout,ficha R02,medio si doble,QA campo a campo,10,CUBIERTO
Mapa principal R02,16,MAPA,R02,Mapa página completa V2,11,conservar,Asset congelado sin deformar,PNG/SVG cartografía,bajo,paridad visual,11,CUBIERTO
Cifra/cota/naturaleza R02,15,DATO,R02,Ficha V2 + matriz A,10;51-52,conservar,100% canónico,ficha+matriz,alto si se omite,QA numérico,10;51-52,CUBIERTO
Ficha editorial R03,18,FICHA,R03,Ficha V2 (10 doble),10,reformular_sin_perdida,Contenido canónico completo; compactación de layout,ficha R03,medio si doble,QA campo a campo,10,CUBIERTO
Mapa principal R03,19,MAPA,R03,Mapa página completa V2,12,conservar,Asset congelado sin deformar,PNG/SVG cartografía,bajo,paridad visual,12,CUBIERTO
Cifra/cota/naturaleza R03,18,DATO,R03,Ficha V2 + matriz A,10;51-52,conservar,100% canónico,ficha+matriz,alto si se omite,QA numérico,10;51-52,CUBIERTO
Ficha editorial R04,20,FICHA,R04,Ficha V2 (14 doble),14,reformular_sin_perdida,Contenido canónico completo; compactación de layout,ficha R04,medio si doble,QA campo a campo,14,CUBIERTO
Mapa principal R04,21,MAPA,R04,Mapa página completa V2,15,conservar,Asset congelado sin deformar,PNG/SVG cartografía,bajo,paridad visual,15,CUBIERTO
Cifra/cota/naturaleza R04,20,DATO,R04,Ficha V2 + matriz A,14;51-52,conservar,100% canónico,ficha+matriz,alto si se omite,QA numérico,14;51-52,CUBIERTO
Ficha editorial R05,22,FICHA,R05,Ficha V2 (17 completa),17,conservar,Contenido canónico completo; compactación de layout,ficha R05,medio si doble,QA campo a campo,17,CUBIERTO
