id,implementacion,paginas,evidencia,estado,qa
C-01,Marcadores L1: Apertura / Referencias R01–R22 / Vistas complementarias / Anexos; L2 por página o Rxx,3;PDF,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-02,Sufijos 1 de 2 / 2 de 2 en anexos y marcadores continuados,51;52;57;58,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-03,Matriz Anexo A: R01–R11 (1 de 2) y R12–R22 (2 de 2),51;52,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-04,Cajas de altura adaptativa según contenido,2;4,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-05,Tipologías solo en p.5; no repetir en anexos,5,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-06,Wrap controlado; etiquetas de naturaleza sin corte mid-token,4;51-58,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-07,"Portada: año, V2 Compacta, DGDGAS, título, subtítulo, no oficial",1,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-08,Localizador con borde por celda y Rxx inequívoco,6,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-09,QA ortográfico: delimitación y tildes en texto generado,todo,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-10,Nota ficha R21: mapa conserva R08-CTRL-BORDE; lectura institucional R21-BORDE; sin alterar asset,55,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-11,Cuerpo/anexos públicos solo IDs y 0 rutas repo; hashes técnicos en CHECKSUMS_SHA256.txt y sidecar externo,PDF,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-12,Generador --font-dir; fuente empaquetada o fallback documentado en README técnico,generador;PDF,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
C-13,Fichas dobles y completas densas sin media página vacía,10;14;24;27;33;37;40,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
D-01,"Recomendación única B: máscaras editoriales reversibles locales en 4 complementarias (p.23,32,36,46) sin cambiar geometría/datos; requiere aprobación autoridad institucional",23;32;36;46,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
D-02,Recomendación B acotada: máscara cosmética opcional R04 p.15 y R07 p.20,15;20,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
D-03,"Visible en p.2, p.4 y Anexo E; no es defecto editable",2;4;56,PDF;plan efectivo;QA,IMPLEMENTADO,PASS
