polo,unidad_general,componente_o_subzona,tipo_territorial,jerarquia,nombre_autorizado,nombres_alternativos,respaldo_documental,contraste_espacial_requerido,estado_editorial,observaciones
Belgrano,Polo Belgrano,Belgrano general,polo_general,1,Polo Gastronomico Belgrano,Belgrano; Polo Belgrano,medio,si_macrozona_multipolar,adoptado,Turismo BA no lista Belgrano entre polos clasicos; inclusion por prensa e identidad barrial
Belgrano,Polo Belgrano,Barrio Chino-Belgrano C-Barrancas-Pasaje Echeverria,centralidad_principal,2,Barrio Chino de Belgrano / entorno Belgrano C-Barrancas-Pasaje Echeverria,Barrio Chino; Chinatown Belgrano; Pasaje Echeverria; Via Viva; Belgrano C; Barrancas de Belgrano,alto,si_continuidad_nodos,adoptado,Una centralidad con nodos; no cuatro subpolos
Belgrano,Polo Belgrano,Cabildo-Juramento,eje_comercial_gastronomico,3,Cabildo-Juramento,corredor Cabildo-Juramento; entorno estacion/subte Juramento,medio_bajo,si_continuidad_con_Barrancas,adoptado_con_aclaracion,Eje descriptivo no subpolo cerrado
Belgrano,Polo Belgrano,Bajo Belgrano,subpolo,3,Bajo Belgrano,zona baja de Belgrano; entorno Sucre,medio,si_poligono_y_separacion_de_Barrio_Chino,adoptado_con_aclaracion,Denominacion periodistica; limites difusos
Belgrano,Polo Belgrano,Belgrano R,sector_secundario,4,Belgrano R,Belgrano R renovado; entorno estacion Belgrano R,medio_bajo,si_densidad_vs_dispersion,adoptado_secundario,Eventual subpolo solo si respalda analisis espacial
Recoleta,Polo Recoleta,Recoleta general,polo_general,1,Polo Gastronomico Recoleta,Recoleta; Polo Recoleta,alto,si_macrozona_sin_nueve_fragmentos,adoptado,Respaldo institucional Turismo BA
Recoleta,Polo Recoleta,Centralidad patrimonial-comercial Junin-Vicente Lopez,subzona,2,Centralidad patrimonial-comercial Junin-Vicente Lopez,Junin-Vicente Lopez; entorno Recoleta Urban Mall; Cementerio-Plaza Francia (si continuidad espacial),alto_nodo_medio_subzona,si_contiguidad_patrimonio,adoptado,Maximo dos subzonas; mall es referencia no nombre institucional
Recoleta,Polo Recoleta,Corredor patrimonial-hotelero Alvear-Posadas,subzona,2,Corredor patrimonial-hotelero Alvear-Posadas y entorno,Alvear-Posadas; corredor gourmet hacia Retiro; entorno hotelero,medio,si_continuidad_frentes_y_borde_Retiro,adoptado,Evidencia Clarin 2011; actualizar con espacial actual
Recoleta,Polo Recoleta,Callao-9 de Julio,transicion_o_borde,3,Callao-9 de Julio (referencia de transicion),zona Callao hacia 9 de Julio,medio,si_intensidad_propia,referencia_interna,No subzona formal bajo decision cerrada
Recoleta,Polo Recoleta,Bellas Artes-Facultad de Derecho,nodo,4,Bellas Artes / Facultad de Derecho (nodo),Bellas Artes Bar; frente Museo Bellas Artes,medio_bajo,opcional,referencia_interna,Predio/complejo; no subpolo
Recoleta,Polo Recoleta,Patio Bullrich,referencia,4,Patio Bullrich (referencia),eje Posadas-Patio Bullrich,medio_bajo,no_prioridad,referencia_interna,No nombre de subpolo
Costanera Norte,Polo Costanera Norte,Costanera Norte general,polo_general_multipartes,1,Polo Gastronomico Costanera Norte,Costanera Norte; Polo Costanera Norte,alto,si_estructura_discontinua_4_componentes,adoptado,Un solo polo; no fusionar con Costanera Sur
Costanera Norte,Polo Costanera Norte,Corredor concesiones Distrito Joven Sector1,componente,2,Corredor de concesiones ribereñas gastronomico-recreativas,Distrito Joven Sector 1; tramo locales y salones sobre Obligado,alto,si_frentes_vs_nodos,adoptado,Nombres de marcas solo ancla
Costanera Norte,Polo Costanera Norte,Franja puestos y carritos de parrilla,componente,2,Franja de puestos y carritos de parrilla de Costanera Norte,carritos de la costanera; puestos regularizados,alto_historico_medio_actual,si_localizacion_y_subregistro_admin,adoptado,Hipotesis de subregistro; no afirmar ilegalidad
Costanera Norte,Polo Costanera Norte,Patio puestos containers,componente_o_subnodo,3,Patio gastronomico de puestos en containers,Patio Costanera Norte; Obligado 7010,alto,si_geometria_propia_o_dentro_componente1,adoptado,Si cae dentro de geometria del corredor tratar como subnodo
Costanera Norte,Polo Costanera Norte,Costa Salguero-Punta Carrasco,componente,2,Predios de eventos y usos mixtos Costa Salguero-Punta Carrasco,Costa Salguero; Punta Carrasco; Sector 4-5 debate,medio_alto_pertenencia_medio_oferta_permanente,si_separacion_por_tramos_y_usos,adoptado,Gastronomia de eventos y potencial de locales
Costanera Norte,Polo Costanera Norte,Vacios estructurales,estructura_geografica,0,Vacios de Costanera Norte (no unidad de oferta),Aeroparque; Parque de la Memoria; Parque Natural CU; clubes; tramos sin frentes,alto_documental,si_mapear_cortes,adoptado,Los vacios se incorporan a la lectura; no se rellenan
