id_habilitacion,fecha_habilitacion,anio_fuente,periodo_fuente,descripcion_rubro_original,categoria_gastronomica_inferida,confianza_categoria,direccion_original,barrio,comuna,superficie,requiere_validacion,motivo_validacion,estado_datos,fuentes_utilizadas,urls_fuentes,fecha_consulta_min,fecha_consulta_max,nota_metodologica,limitaciones,apto_dashboard
HAB0238726,26/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,"DIAZ, CNEL. AV. 1489",No determinado,No determinada,106,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238727,26/12/2024,2024,2024,Elaboraci�n de productos de panader�a con venta directa al p�blico.,Panaderia,0.9,"DIAZ, CNEL. AV. 1489",No determinado,No determinada,106,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0237225,20/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,"CUENCA 3390;CUENCA 3398;VARELA, JOSE PEDRO 3210",No determinado,No determinada,230,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0237226,20/12/2024,2024,2024,Elaboraci�n de productos de panader�a con venta directa al p�blico.,Panaderia,0.9,"CUENCA 3390;CUENCA 3398;VARELA, JOSE PEDRO 3210",No determinado,No determinada,230,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0240268,20/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,ROOSEVELT FRANKLIN D. AV. 5415;ROOSEVELT FRANKLIN D. AV. 5423,No determinado,No determinada,209,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0240269,20/12/2024,2024,2024,Elaboraci�n de productos de panader�a con venta directa al p�blico.,Panaderia,0.9,ROOSEVELT FRANKLIN D. AV. 5415;ROOSEVELT FRANKLIN D. AV. 5423,No determinado,No determinada,209,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238416,18/12/2024,2024,2024,"Elaboraci�n industrial de productos de panader�a, excluido galletitas y bizcochos",Panaderia,0.9,FRAGA 1257;FRAGA 1261,No determinado,No determinada,461,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238417,18/12/2024,2024,2024,Elaboraci�n de productos de panader�a n.c.p.,Panaderia,0.9,FRAGA 1257;FRAGA 1261,No determinado,No determinada,461,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238418,18/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,FRAGA 1257;FRAGA 1261,No determinado,No determinada,461,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238448,18/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,PIEDRAS 674,No determinado,No determinada,97,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238454,18/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,PIEDRAS 674,No determinado,No determinada,97,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238711,18/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,BOULOGNE SUR MER 619,No determinado,No determinada,363,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238716,18/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,BOULOGNE SUR MER 619,No determinado,No determinada,363,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0238721,18/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,BOULOGNE SUR MER 619,No determinado,No determinada,363,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0244734,17/12/2024,2024,2024,Elaboraci�n de helados con venta directa al p�blico,Heladeria,0.9,CORRIENTES AV. 1695,No determinado,No determinada,110,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0242543,13/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,CRAMER AV. 2887,No determinado,No determinada,185,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0236989,12/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,ESTADO DE ISRAEL AV. 4771,No determinado,No determinada,43,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
HAB0237306,12/12/2024,2024,2024,Fabricaci�n de masas y dem�s productos de pasteler�a y sandwiches. Cocci�n de productos de panader�a cuando se reciba la masa ya elaborada.,Panaderia,0.9,MEXICO 2301,No determinado,No determinada,87,si,Mapeo automatico desde fuente real; revisar contrato,datos reales,F02,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,2026-06-10,2026-06-10,Ultimas habilitaciones gastronomicas F02 segun fecha_habilitacion disponible.,No equivale a establecimientos activos; fecha puede faltar en algunos recursos.,si
