zona_id,nombre,clase,detalle_geometria,ha,via_B_bar_notable,via_B_restaurante_iconico,via_B_pizzeria_emblematica,via_B_heladeria_historica,via_B_michelin,via_B_50best,via_B_total,via_B_patrimonio_normativo,via_B_si,via_B_probablemente_abierto,via_B_no,via_B_dudosa,via_B_sin_verificar,via_B_soporte,via_B_abierta,via_B_nombres,via_D_n_enclaves,via_D_enclaves,via_D_colectividades,via_D_abierta,via_C_cae_por_FIAB
R12,Centro / Microcentro segmentado,referencia publicada,envolvente editorial del Atlas,184.12,16,3,3,0,0,0,22,0,3,1,1,1,15,mixto,si,36 BILLARES; Bar Bidou; Bar Iberia; Café Tortoni; Claridge's; Confiteria Saint Moritz; Confitería Ideal; El Imparcial; El Palacio de la Pizza; El Querandi; FLORIDA GARDEN; Guerrin; LA GIRALDA; LA PUERTO RICO,1,E09,coreana (desplazamiento a Retiro y Microcentro norte),si,False
R01,Palermo,referencia publicada,envolvente editorial del Atlas,271.29,0,0,1,0,10,9,20,0,0,0,0,0,20,sin_verificar,pendiente,A Fuego Fuerte; Angelin; CoChinChina; Crizia; Crizia; Don Julio; Don Julio; Don Julio; El Preferido de Palermo; El Preferido de Palermo; Fogón Asado; Gran Dabbang; Mengano; Mercado de Liniers,0,,,no,False
Z46,Retiro (absorbe R18),zona nueva,"polígono administrativo de Retiro + la subzona del clúster coreano (ex R18, decisión 5)",466.6,5,1,1,0,3,1,11,0,3,0,0,2,5,mixto,si,Barbaro; Chuchú; Confiteria Saint Moritz; El Cuartito; Elena; FLORIDA GARDEN; Floreria Atlantico; Josephina's Cafe; PLAZA BAR; Presencia; Tancat,1,E09,coreana (desplazamiento a Retiro y Microcentro norte),si,False
R02,Avenida Corrientes,referencia publicada,envolvente editorial del Atlas,49.67,8,1,1,0,0,0,10,0,2,0,0,0,8,activo,si,Bar Lavalle; Celta Bar; El Gato Negro; Guerrin; LA GIRALDA; LOS GALGOS; La Academia; La Opera; Petit Colón; Zum Edelweiss,0,,,no,False
R06,Recoleta,referencia publicada,envolvente editorial del Atlas,140.52,2,1,1,0,5,1,10,0,0,0,0,0,10,sin_verificar,pendiente,Aramburu; Aramburu; BAR DEL ALVEAR PALACE HOTEL; Bis Bistró; Casa Veltri; Fervor; LA BIELA; Los Maestros; Restaurante Oviedo; Roux,0,,,no,False
Z47,Monserrat + Congreso (fusiona Z36),zona nueva,polígono administrativo de Monserrat,219.97,9,1,0,0,0,0,10,0,1,1,0,0,8,activo,si,36 BILLARES; BAR SEDDON; Bar Iberia; Cabildo de Buenos Aires; Café Tortoni; EL COLONIAL; El Imparcial; El Querandi; LA PUERTO RICO; London City,0,,,no,True
R08,Villa Crespo,referencia publicada,envolvente editorial del Atlas,335.46,1,0,0,0,5,2,8,0,0,0,0,0,8,sin_verificar,pendiente,Alcanfor; Fico; Han; Julia; Julia; SAN BERNARDO; Trescha; Trescha,0,,,no,False
S_LABOCA,La Boca,zona nueva,polígono administrativo de La Boca,504.0,6,1,1,0,0,0,8,1,1,0,1,0,6,mixto,si,Banchero; Bar Boca a Boca; Café Roma; El Estano 1880; El Portuario; Il Matterello; LA PERLA; La Buena Medida,0,,,no,False
Z37,Almagro,zona nueva,polígono administrativo de Almagro,405.26,5,1,2,0,0,0,8,0,4,1,0,0,3,activo,si,12 de octubre; EL SIMBOLO; El Banderin; El Mirasol de Boedo; El Trebol 1969; LAS VIOLETAS; La Orquidea; Pin Pun,1,E01,peruana,si,False
R04,Puerto Madero,referencia publicada,envolvente editorial del Atlas,314.54,0,3,0,0,3,1,7,0,0,0,0,0,7,sin_verificar,pendiente,Cabaña Las Lilas; El Mercado (Faena); Estilo Campo; La Cabaña; Marcelo Restaurante; Michel Rolland Grill & Wine; Sorrento,0,,,no,False
R19,Federico Lacroze por tramos,referencia publicada,envolvente editorial del Atlas · ampliada,303.28,2,1,0,0,4,0,7,0,1,0,0,0,6,activo,si,Ajo Negro - Mar de Tapas; Albamonte Ristorante; Anchoíta; Bar Conde; CAFE PALACIO; Picarón; Ácido,0,,,no,False
S_BARRACAS,Barracas,zona nueva,polígono administrativo de Barracas,795.89,3,1,1,0,1,0,6,1,1,0,0,0,5,activo,si,Caseros; El Progreso; El Puentecito; La Flor de Barracas; Los Campeones; Los Laureles,0,,,no,False
Z41,Núñez,zona nueva,polígono administrativo de Nunez,449.86,1,0,0,0,4,1,6,0,0,0,0,0,6,sin_verificar,pendiente,Evelia; Garabato Bistro; La Escuela; Ness; Ness; Piedra Pasillo Al Fondo,0,,,no,False
Z45,Belgrano R y Barrancas,zona nueva,polígono administrativo de Belgrano,806.35,1,1,1,0,3,0,6,0,2,0,0,0,4,activo,si,CASA WATSON; Casa Burgio; Corte Comedor; Happening; Kōnā; Narda Comedor,1,E02,china (con presencia taiwanesa fundacional),si,False
Z48,San Cristóbal,zona nueva,polígono administrativo de San Cristobal,204.47,2,1,0,2,0,0,5,0,1,0,0,0,4,activo,si,Bar de Cao; Miramar; Miramar; Napoli; Saverio Helados,0,,,no,False
Z33,Mataderos,zona nueva,polígono administrativo de Mataderos,740.11,3,0,1,0,0,0,4,4,0,1,0,3,0,probable,pendiente,9 de Julio; BAR OVIEDO; Bar del Glorias; El Cedron,0,,,no,False
R09,Chacarita,referencia publicada,envolvente editorial del Atlas,94.81,1,1,0,0,1,0,3,0,0,0,0,0,3,sin_verificar,pendiente,Albamonte Ristorante; Anchoíta; CAFE PALACIO,0,,,no,False
R13,Abasto,referencia publicada,envolvente editorial del Atlas,109.0,2,0,1,0,0,0,3,0,2,0,0,0,1,activo,si,EL SIMBOLO; El Banderin; Pin Pun,2,E01; E05,"judia (askenazi historica, hoy con fuerte componente sefardi y ortodoxo); peruana",si,False
R14,Avenida Boedo,referencia publicada,envolvente editorial del Atlas,179.46,2,0,1,0,0,0,3,1,0,0,0,0,2,activo,si,Café Margot; Esquina Homero Manzi; San Antonio,0,,,no,False
R15,Devoto,referencia publicada,envolvente editorial del Atlas,478.74,2,0,1,0,0,0,3,0,0,0,0,0,3,sin_verificar,pendiente,Café de García; Gran Pizzeria Jose; STYLO CAFE,0,,,no,False
R21,La Paternal,referencia publicada,envolvente editorial del Atlas · ampliada,385.34,0,0,1,1,1,0,3,0,0,0,0,0,3,sin_verificar,pendiente,MN Santa Inés; Santolin; Torino Norte,0,,,no,False
Z35,Balvanera · Once,zona nueva,polígono administrativo de Balvanera,434.43,2,1,0,0,0,0,3,0,0,0,0,0,3,sin_verificar,pendiente,CAFE DE LOS ANGELITOS; El Tropezón; Roma del Abasto,2,E01; E05,"judia (askenazi historica, hoy con fuerte componente sefardi y ortodoxo); peruana",si,False
Z43,Colegiales,zona nueva,polígono administrativo de Colegiales,229.08,1,0,0,0,2,0,3,0,1,0,0,0,2,activo,si,ANAFE; Bar Conde; Osaka Concepción,0,,,no,False
Z27,Villa Santa Rita,zona nueva,polígono administrativo de Villa Santa Rita,215.46,2,0,0,0,0,0,2,0,2,0,0,0,0,activo,si,DON JUAN; El Tokio,1,E04,"coreana (extension comercial, no nucleo residencial)",si,False
Z28,Monte Castro,zona nueva,polígono administrativo de Monte Castro,262.85,1,0,1,0,0,0,2,0,2,0,0,0,0,activo,si,Café Olimpo; El Fortin,0,,,no,True
R03,San Telmo,referencia publicada,envolvente editorial del Atlas,25.37,1,0,0,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,Bar El Federal,0,,,no,False
R07,Costanera Norte,referencia publicada,envolvente editorial del Atlas,38.5,0,1,0,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,Happening,0,,,no,False
R10,Caballito,referencia publicada,envolvente editorial del Atlas,225.36,1,0,0,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,Confiteria El Greco,0,,,no,False
R11,Boulevard Caseros,referencia publicada,envolvente editorial del Atlas,50.03,1,0,0,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,Britanico,0,,,no,False
R17,Villa Urquiza,referencia publicada,envolvente editorial del Atlas,446.62,1,0,0,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,Cafe de la U,0,,,no,False
Z23,Flores · casco histórico,zona nueva,RESIDUO: el barrio de Flores menos Z24 y Z39b. Su perímetro textual no se puede construir — ver el hallazgo de Boyacá/Carabobo más abajo,807.89,1,0,0,0,0,0,1,0,1,0,0,0,0,activo,si,LA FARMACIA,2,E03; E04,"coreana; coreana (extension comercial, no nucleo residencial)",si,True
Z32,Liniers,zona nueva,polígono administrativo de Liniers,437.61,0,0,0,1,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,El Ciervo,1,E07,boliviana,si,False
Z34,Parque Chas y Agronomía,zona nueva,"polígono administrativo de Parque Chas, Agronomia",350.9,1,0,0,0,0,0,1,0,0,0,0,1,0,sin_verificar,pendiente,EL FARO,0,,,no,False
Z40,Nueva Pompeya y Parque Patricios,zona nueva,"polígono administrativo de Nueva Pompeya, Parque Patricios",870.07,1,0,0,0,0,0,1,1,1,0,0,0,0,activo,si,El Buzón,0,,,no,False
Z44,Villa Ortúzar,zona nueva,polígono administrativo de Villa Ortuzar,185.46,0,0,1,0,0,0,1,0,0,0,0,0,1,sin_verificar,pendiente,La Mezzetta,0,,,no,True
