polo_id,nombre_polo,n_hitos,n_pendientes,n_abiertos,n_cerrados,n_en_disputa,hitos,hito_ids,estados,via_B_soporte,decidida_por_un_solo_hito,ultimo_pendiente
PG001A_PALERMO_SOHO,Palermo Soho,12,12,0,0,0,CoChinChina; Crizia; Don Julio; Don Julio; Don Julio; El Preferido de Palermo; El Preferido de Palermo; Fogón Asado; Gran Dabbang; Mengano; Nino Gordo; Niño Gordo,H149; H150; H151; H155; H159; H160; H162; MIC-015; MIC-021; MIC-023; MIC-034; MIC-038,CoChinChina=sin_verificar; Crizia=sin_verificar; Don Julio=sin_verificar; Don Julio=sin_verificar; Don Julio=sin_verificar; El Preferido de Palermo=sin_verificar; El Preferido de Palermo=sin_verificar; Fogón Asado=sin_verificar; Gran Dabbang=sin_verificar; Mengano=sin_verificar; Nino Gordo=sin_verificar; Niño Gordo=sin_verificar,sin_verificar,False,False
PG001B_PALERMO_HOLLYWOOD,Palermo Hollywood,8,8,0,0,0,A Fuego Fuerte; Buri Omakase; Crizia; Mercado Bonpland; Mercado de Liniers; Nika Club Omakase; Reliquia; Uni Omakase,MG-0008; MIC-006; MIC-009; MIC-010; MIC-020; MIC-022; MIC-026; MIC-032,A Fuego Fuerte=sin_verificar; Buri Omakase=sin_verificar; Crizia=sin_verificar; Mercado Bonpland=sin_verificar; Mercado de Liniers=sin_verificar; Nika Club Omakase=sin_verificar; Reliquia=sin_verificar; Uni Omakase=sin_verificar,sin_verificar,False,False
PG002_VILLA_CRESPO,Villa Crespo,8,8,0,0,0,Alcanfor; Fico; Han; Julia; Julia; SAN BERNARDO; Trescha; Trescha,H033; H154; H156; MIC-002; MIC-004; MIC-005; MIC-016; MIC-019,Alcanfor=sin_verificar; Fico=sin_verificar; Han=sin_verificar; Julia=sin_verificar; Julia=sin_verificar; SAN BERNARDO=sin_verificar; Trescha=sin_verificar; Trescha=sin_verificar,sin_verificar,False,False
PG003_PUERTO_MADERO,Puerto Madero,7,7,0,0,0,Cabaña Las Lilas; El Mercado (Faena); Estilo Campo; La Cabaña; Marcelo Restaurante; Michel Rolland Grill & Wine; Sorrento,H152; ICO-006; ICO-011; ICO-014; MIC-029; MIC-051; MIC-053,Cabaña Las Lilas=sin_verificar; El Mercado (Faena)=sin_verificar; Estilo Campo=sin_verificar; La Cabaña=sin_verificar; Marcelo Restaurante=sin_verificar; Michel Rolland Grill & Wine=sin_verificar; Sorrento=sin_verificar,sin_verificar,False,False
PG004_SAN_TELMO,San Telmo,1,1,0,0,0,Bar El Federal,H009,Bar El Federal=sin_verificar,sin_verificar,True,True
PG005_CHACARITA,Chacarita,3,3,0,0,0,Albamonte Ristorante; Anchoíta; CAFE PALACIO,H029; ICO-001; MIC-018,Albamonte Ristorante=sin_verificar; Anchoíta=sin_verificar; CAFE PALACIO=sin_verificar,sin_verificar,False,False
PG007_RECOLETA,Recoleta,10,10,0,0,0,Aramburu; Aramburu; BAR DEL ALVEAR PALACE HOTEL; Bis Bistró; Casa Veltri; Fervor; LA BIELA; Los Maestros; Restaurante Oviedo; Roux,DIR-012; H006; H061; H153; ICO-013; MIC-030; MIC-035; MIC-045; MIC-049; MIC-057,Aramburu=sin_verificar; Aramburu=sin_verificar; BAR DEL ALVEAR PALACE HOTEL=sin_verificar; Bis Bistró=sin_verificar; Casa Veltri=sin_verificar; Fervor=sin_verificar; LA BIELA=sin_verificar; Los Maestros=sin_verificar; Restaurante Oviedo=sin_verificar; Roux=sin_verificar,sin_verificar,False,False
PG008_CABALLITO,Caballito,2,2,0,0,0,Confiteria El Greco; Mercado del Progreso,H090; MG-0003,Confiteria El Greco=sin_verificar; Mercado del Progreso=sin_verificar,sin_verificar,False,False
PG009_COSTANERA_NORTE,Costanera Norte,2,2,0,0,0,Happening; Patio Costanera Norte,ICO-007; MG-0011,Happening=sin_verificar; Patio Costanera Norte=sin_verificar,sin_verificar,False,False
PG010_AVENIDA_CASEROS_BARRACAS,Avenida Caseros / Barracas,1,1,0,0,0,Britanico,H019,Britanico=sin_verificar,sin_verificar,True,True
