enclave_id,establecimiento,calle,altura_fuente,rubro,origen_cocina,vigencia,vigencia_fecha,fuente,nota_direccion,geocodificado,latitud,longitud,zona,dist_nucleo_m,dist_corredor_m,sentido_de_la_duda,vigencia_nota_r4
E07,Salteneria El Conejo,Jose Leon Suarez,216,salteneria,boliviana,dudoso,2023-08-04,GCBA Turismo (s/f) + Vinomanos 04/08/2023,,si,-34.641944,-58.527447,dentro_E07,4.3,,,
E07,Pollo Broaster,Ibarrola,7239,pollo broaster,boliviana,dudoso,,GCBA Turismo (sin fecha visible),,si,-34.641661,-58.528,dentro_E07,44.5,,,
E07,Restaurante Miriam,Ibarrola,7184,restaurante,boliviana,dudoso,2022-06-09,Pick Up The Fork 17/08/2016; Sin Reservas 09/06/2022 lo llama 'uno de los mas clasicos' pero sin altura,,si,-34.641695,-58.527121,dentro_E07,35.7,,,
E07,Pollo Copacabana,Ibarrola,7276 y 7291,pollo,boliviana,dudoso,2016-08-17,Pick Up The Fork 17/08/2016,"la fuente da 2 alturas (7276, 7291); se usa la primera",si,-34.641758,-58.528574,dentro_E07,97.7,,,
E07,Rico Pollo,Ibarrola,7193,pollo,boliviana,dudoso,2016-08-17,Pick Up The Fork 17/08/2016,,si,-34.641632,-58.527343,dentro_E07,15.8,,,
E07,JAMUY,Jose Leon Suarez,al 100,restaurante,boliviana,dudoso,2012,"Lamas, Buenos Aires Historia (trabajo de campo ~2012)","altura de cuadra, no de puerta",si,-34.640267,-58.527564,dentro_E07,11.2,,,
E02,Hakka,Arribenos,2382,restaurante,chino-taiwanesa + parrilla argentina,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.555589,-58.452273,nucleo,89.5,97.0,,
E02,Ultramarinos,Pasaje Arribenos,1980,pescados y mariscos,argentina,verificado_abierto,2026-02-17,La Nacion 12/06/2024 (apertura 11/06/2024) y 17/02/2026,USIG NO resuelve «Pasaje Arribenos 1980»,no,,,sin_geocodificar,,,,
E02,Ma La Tang,Mendoza,1583,hot pot por peso,china,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.556265,-58.449501,afuera,158.6,217.5,,
E02,Liang Liang,Montaneses,2221,brochettes y hot pot,china,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.556144,-58.449944,nucleo,133.4,197.5,,
E02,Cochino,Blanco Encalada,1800,street food de cerdo,asiatica,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.555868,-58.453376,corredor,161.8,28.2,,
E02,Sura,Blanco Encalada,1800,BBQ,coreana,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.555868,-58.453376,corredor,161.8,28.2,,
E02,Dokdo,Blanco Encalada,1820,street food,coreana,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.556084,-58.453736,corredor,190.7,6.9,,
E02,Feng Wei,Av. Juramento,1698,xiaolongbao,china,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.558054,-58.449915,nucleo,12.8,37.1,,
E02,Tyta Patisserie,11 de Septiembre de 1888,2451,pasteleria,francesa,verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.555286,-58.453944,corredor,233.4,53.9,,
E02,Shanghai Express,Av. del Libertador,6023,chino-americano,china (Shanghai),verificado_abierto,2026-02-17,La Nacion 17/02/2026,,si,-34.556413,-58.447761,afuera,279.0,286.9,,
E02,Dumpling Pong,Mendoza,1730,baos,china,verificado_abierto,2025-04-14,Ohlala 26/06/2024; Perfil 29/11/2024; Buenos Aires Portal 14/04/2025,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,Cafe 2D,Mendoza,1730,cafe,impronta coreana,verificado_abierto,2025-04-14,idem,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,Archi,Mendoza,1730,vegetariano y vegano,,verificado_abierto,2025-04-14,idem,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,Pescadito,Mendoza,1730,pescados,,verificado_abierto,2025-04-14,idem,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,Brochette City,Mendoza,1730,brochettes / yakitori,japonesa,verificado_abierto,2025-04-14,idem,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,Cruz Omakase,Mendoza,1730,omakase,japonesa,verificado_abierto,2025-04-14,idem,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,Peko Peko,Mendoza,1730,restaurante,japonesa,verificado_abierto,2025-04-14,idem,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,5 Onzas,Mendoza,1730,bazar,,verificado_abierto,2025-04-14,idem,,si,-34.557333,-58.451123,nucleo,31.4,30.7,,
E02,Cafe Registrado,Mendoza,1750,cafe de especialidad,,verificado_abierto,2024-06-26,Ohlala 26/06/2024,,si,-34.557492,-58.451389,nucleo,61.5,1.4,,
E02,Miyaki Gyozas & Baos,Olazabal,1780,gyozas y baos,asiatica,verificado_abierto,2025-04-14,Buenos Aires Portal 14/04/2025,,si,-34.556667,-58.452345,nucleo,79.6,15.3,,
E02,Orei,Echeverria,1677 local 8,ramen,japonesa,verificado_abierto,2024-06-26,Ohlala 26/06/2024,se recorta «1677 local 8» a la altura,si,-34.55877,-58.448847,nucleo,133.6,8.0,,
E02,Vina,Echeverria,1677 local 14,vinos y empanadas,argentina,verificado_abierto,2024-06-26,Ohlala 26/06/2024,"la fuente da 2 alturas (1677, 14); se usa la primera",si,-34.55877,-58.448847,nucleo,133.6,8.0,,
E02,Gokana Omakase,Monroe,1625,omakase,japonesa,verificado_abierto,2025-04-14,Buenos Aires Portal 14/04/2025,,si,-34.55379,-58.452461,afuera,279.3,268.2,,
E02,Sachi | The Handroll House,F. D. Roosevelt,1702,handrolls,japonesa,verificado_abierto,2025-04-14,Buenos Aires Portal 14/04/2025,,si,-34.553622,-58.45415,afuera,367.6,199.6,,
E02,Asoc. Civil de los Taiwaneses en Argentina,Arribenos,2275,institucion,taiwanesa,verificado_abierto,2024-09-07,Forbes Argentina 07/09/2024,,si,-34.556432,-58.451427,nucleo,4.1,68.2,,
E02,Templo Chong Kuan,Montaneses,s/altura,templo budista,china,verificado_abierto,,GCBA Turismo,sin altura en la fuente,no,,,sin_geocodificar,,,,
E02,Todos Contentos,Arribenos,2177,dim sum,china,dudoso_probablemente_abierto,2025-08,iProfesional 04/07/2020 (cierre); Forbes 07/09/2024 (operativo); ficha de resenas act. ago-2025,,si,-34.557327,-58.450651,nucleo,4.2,59.3,probablemente_abierto,"cerró en julio de 2020 tras más de 35 años, con 14 empleados (iProfesional 04/07/2020), y vuelve a aparecer operativo en 2024 (Forbes 07/09/2024) y en 2025. SEGUNDO CASO EL TOKIO: cierre y reapertura sin que ningún listado registre ninguna de las dos cosas."
E02,Palitos,Arribenos,2245 o 2241,restaurante,taiwanesa,dudoso,2017-02-16,La Nacion 16/02/2017 da 2245; comuna13caba da 2241,"la fuente da 2 alturas (2245, 2241); se usa la primera",si,-34.55668,-58.451213,nucleo,4.0,68.1,,
E02,Resto Apu,Arribenos,2243,restaurante,taiwanesa,dudoso,2017-02-16,La Nacion 16/02/2017,,si,-34.556728,-58.451171,nucleo,4.1,68.2,,
E02,Lotus Neo Thai,Arribenos,2265,restaurante,tailandesa,dudoso,2017-02-16,La Nacion 16/02/2017; MalevaMag 28/03/2014,,si,-34.556566,-58.451311,nucleo,4.1,68.2,,
E02,Lai Lai,Arribenos,2168,restaurante,china,dudoso,2017-02-16,La Nacion 16/02/2017; comuna13caba,,si,-34.557474,-58.45064,nucleo,4.5,47.6,,
E02,Restaurante Su,Arribenos,2123,restaurante,china,dudoso,,comuna13caba.com.ar,,si,-34.557838,-58.450209,nucleo,4.2,42.5,,
E02,Siempre Verde,Arribenos,2127,restaurante,china,dudoso,,comuna13caba.com.ar,,si,-34.557838,-58.450209,nucleo,4.2,42.5,,
E02,Dashi,Arribenos,2302,restaurante,japonesa,dudoso,2017-02-16,La Nacion 16/02/2017,,si,-34.556161,-58.451778,nucleo,12.2,60.6,,
E02,Buddha Ba,Arribenos,2288 esq. Mendoza,fusion asiatica,,dudoso,2017-02-16,La Nacion 2017; MalevaMag 2014,se recorta «2288 esq. Mendoza» a la altura,si,-34.556398,-58.451569,nucleo,4.3,59.8,,
E02,Break n' Cake,Arribenos,2299,cafe,,dudoso,2017-02-16,La Nacion 2017; MalevaMag 2014,,si,-34.556292,-58.451549,nucleo,4.0,68.2,,
E02,Casa China 2,Arribenos,2163,supermercado,china,dudoso,2022-09-05,El Holandes Picante,,si,-34.557427,-58.450565,nucleo,4.2,56.0,,
E02,Ichiban,Arribenos,2233,supermercado,,dudoso,,El Holandes Picante,,si,-34.556789,-58.451119,nucleo,4.0,68.1,,
E02,Casa China,Arribenos,2263,supermercado,china,dudoso,,El Holandes Picante,,si,-34.556581,-58.451299,nucleo,4.0,68.1,,
