polo_id,nombre_polo,soporte_clase,n_locales,ha,via_A_abierta,via_C_abierta,via_F_abierta,zona_via_B,via_B_modo,zona_via_D,via_D_modo,zona_via_E,via_E_modo,cobertura_de_la_zona_pct,como_se_asigno,via_B_soporte_del_fragmento,nota,zona_id,via_B_soporte,via_B_abierta,via_B_total,via_B_si,via_D_abierta,via_D_n_enclaves,via_D_enclaves
PG001A_PALERMO_SOHO,Palermo Soho,polo del borrador,772.0,92.36,si,no,no,R01,heredada,R01,heredada,R01,heredada,25.4,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R01,sin_verificar,pendiente,20.0,0.0,no,0.0,
PG001B_PALERMO_HOLLYWOOD,Palermo Hollywood,polo del borrador,595.0,102.61,si,si,no,R01,heredada,R01,heredada,R01,heredada,18.5,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R01,sin_verificar,pendiente,20.0,0.0,no,0.0,
PG001C_LAS_CANITAS,Las Canitas,polo del borrador,361.0,82.04,si,no,si,R01,heredada,R01,heredada,R01,heredada,16.1,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R01,sin_verificar,pendiente,20.0,0.0,no,0.0,
PG002_VILLA_CRESPO,Villa Crespo,envolvente publicada,823.0,335.46,si,no,no,R08,propia,R08,propia,R08,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R08,sin_verificar,pendiente,8.0,0.0,no,0.0,
PG003_PUERTO_MADERO,Puerto Madero,envolvente publicada,354.0,314.54,si,no,si,R04,propia,R04,propia,R04,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R04,sin_verificar,pendiente,7.0,0.0,no,0.0,
PG004_SAN_TELMO,San Telmo,envolvente publicada,71.0,25.37,no,no,no,R03,propia,R03,propia,R03,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R03,sin_verificar,pendiente,1.0,0.0,no,0.0,
PG005_CHACARITA,Chacarita,envolvente publicada,202.0,94.81,si,no,no,R09,propia,R09,propia,R09,propia,100.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R09,sin_verificar,pendiente,3.0,0.0,no,0.0,
PG006A_BARRIO_CHINO,Barrio Chino,enclave comunitario,185.0,17.63,si,no,no,R05,heredada,R05,heredada,R05,heredada,26.3,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R05,sin_hitos,no,0.0,0.0,si,1.0,E02
PG006B_BAJO_BELGRANO,Bajo Belgrano,sin soporte,,,,,no,R05,requiere_cruce,R05,requiere_cruce,R05,requiere_cruce,,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",R05,sin_hitos,no,0.0,0.0,si,1.0,E02
PG006C_BELGRANO_R,Belgrano R,sin soporte,,,,,no,Z45,requiere_cruce,Z45,requiere_cruce,Z45,requiere_cruce,,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos.",Z45,activo,si,6.0,2.0,si,1.0,E02
