fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F02,f02_habilitaciones_aprobadas_2015_2018.csv,225606,235248,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,HUMBOLDT 537,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,210103,235559/2,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,INDEPENDENCIA AV. 354,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,110016,235596/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,DEFENSA 1444,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,27168,235649,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,HOMERO 1450,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,195416,235778/6,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,LINIERS VIRREY 573,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,910140,235837,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,CHICLANA AV. 3528,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,339189,235940/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,ARRIBEÑOS 3692,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,228781,236062/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,"GALLARDO, ANGEL AV. 1091",,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,440743,236103/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,"URIBURU JOSE E., Pres. 1092",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,220958,236105,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,MAIPU 608,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,69484,236525,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,GUAMINI 4936,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,66389,236526,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,MURGUIONDO 4076,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
