hito_id,nombre,direccion,barrio_declarado,registro_oficial,vigencia_verificada,vigencia_nivel,consulta
MG-0008,Mercado Bonpland,Bonpland 1660,,,sin_verificar,,"Mercado Bonpland, Bonpland 1660, Ciudad Autónoma de Buenos Aires, Argentina"
MG-0002,Mercado de Belgrano,Av. Juramento 2527,,,sin_verificar,,"Mercado de Belgrano, Av. Juramento 2527, Ciudad Autónoma de Buenos Aires, Argentina"
MG-0001,Mercado de San Telmo,Defensa 961,San Telmo,,sin_verificar,,"Mercado de San Telmo, Defensa 961, Ciudad Autónoma de Buenos Aires, Argentina"
MG-0003,Mercado del Progreso,Av. Rivadavia 5430,,,sin_verificar,,"Mercado del Progreso, Av. Rivadavia 5430, Ciudad Autónoma de Buenos Aires, Argentina"
MG-0011,Patio Costanera Norte,Avenida Costanera Rafael Obligado 7010,Belgrano,,sin_verificar,,"Patio Costanera Norte, Avenida Costanera Rafael Obligado 7010, Ciudad Autónoma de Buenos Aires, Argentina"
MG-0006,Patio de los Lecheros,Av. Tte. Gral. Donato Alvarez 175,,,sin_verificar,,"Patio de los Lecheros, Av. Tte. Gral. Donato Alvarez 175, Ciudad Autónoma de Buenos Aires, Argentina"
MG-0012,Patio Gastronomico Rodrigo Bueno,Av. Espana 2230,,,sin_verificar,,"Patio Gastronomico Rodrigo Bueno, Av. Espana 2230, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-001,4ta Pared,Habana 3499,Villa Devoto,,sin_verificar,,"4ta Pared, Habana 3499, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-020,A Fuego Fuerte,Bonpland 1670,Palermo,,sin_verificar,,"A Fuego Fuerte, Bonpland 1670, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-011,Ácido,Charlone 999,Chacarita,,sin_verificar,,"Ácido, Charlone 999, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-012,Ajo Negro - Mar de Tapas,Avenida Córdoba 6237,Chacarita,,sin_verificar,,"Ajo Negro - Mar de Tapas, Avenida Córdoba 6237, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-019,Alcanfor,Aguirre 949,Villa Crespo,,sin_verificar,,"Alcanfor, Aguirre 949, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-013,ANAFE,Virrey Avilés 3216,Colegiales,,sin_verificar,,"ANAFE, Virrey Avilés 3216, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-018,Anchoíta,Juan Ramírez de Velasco 1520,Chacarita,,sin_verificar,,"Anchoíta, Juan Ramírez de Velasco 1520, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-045,Aramburu,Vicente López 1661,Recoleta,,sin_verificar,,"Aramburu, Vicente López 1661, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-049,Bis Bistró,Vicente López 1661 Local 12,Recoleta,,sin_verificar,,"Bis Bistró, Vicente López 1661 Local 12, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-032,Buri Omakase,Guatemala 5781,Palermo,,sin_verificar,,"Buri Omakase, Guatemala 5781, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-051,Cabaña Las Lilas,Avenida Alicia Moreau de Justo 516,Puerto Madero,,sin_verificar,,"Cabaña Las Lilas, Avenida Alicia Moreau de Justo 516, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-058,Casa Cavia,Cavia 2985,Palermo,,sin_verificar,,"Casa Cavia, Cavia 2985, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-052,Casa Palanti,Ortiz de Ocampo 2901,Palermo,,sin_verificar,,"Casa Palanti, Ortiz de Ocampo 2901, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-035,Casa Veltri,Juncal 1642,Recoleta,,sin_verificar,,"Casa Veltri, Juncal 1642, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-025,Caseros,Avenida Caseros 486,Barracas,,sin_verificar,,"Caseros, Avenida Caseros 486, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-048,Chuchú,Avenida del Libertador 405,Retiro,,sin_verificar,,"Chuchú, Avenida del Libertador 405, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-008,Chuí,Loyola 1250,Villa Crespo,,sin_verificar,,"Chuí, Loyola 1250, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-043,Corte Comedor,Avenida Olazábal 1391,Belgrano,,sin_verificar,,"Corte Comedor, Avenida Olazábal 1391, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-009,Crizia,Fitz Roy 1819,Palermo,,sin_verificar,,"Crizia, Fitz Roy 1819, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-023,Don Julio,Guatemala 4699,Palermo,,sin_verificar,,"Don Julio, Guatemala 4699, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-046,Duhau Restaurante & Vinoteca,Avenida Alvear 1661,Recoleta,,sin_verificar,,"Duhau Restaurante & Vinoteca, Avenida Alvear 1661, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-038,El Preferido de Palermo,Jorge Luis Borges 2108,Palermo,,sin_verificar,,"El Preferido de Palermo, Jorge Luis Borges 2108, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-044,Elena,Posadas 1086/88,Retiro,,sin_verificar,,"Elena, Posadas 1086/88, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-039,Evelia,Campos Salles 1712,Nuñez,,sin_verificar,,"Evelia, Campos Salles 1712, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-057,Fervor,Posadas 1519,Recoleta,,sin_verificar,,"Fervor, Posadas 1519, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-004,Fico,Muñecas 775,Villa Crespo,,sin_verificar,,"Fico, Muñecas 775, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-021,Fogón Asado,Uriarte 1423,Palermo,,sin_verificar,,"Fogón Asado, Uriarte 1423, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-024,Garabato Bistro,O'Higgins 3424,Nuñez,,sin_verificar,,"Garabato Bistro, O'Higgins 3424, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-047,Gioia Cocina Botánica,Posadas 1350,Recoleta,,sin_verificar,,"Gioia Cocina Botánica, Posadas 1350, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-005,Han,Vera 966,Villa Crespo,,sin_verificar,,"Han, Vera 966, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-007,Horta,Aguirre 1080,Villa Crespo,,sin_verificar,,"Horta, Aguirre 1080, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-036,José El Carnicero,Thames 2316,Palermo,,sin_verificar,,"José El Carnicero, Thames 2316, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-016,Julia,Loyola 807,Villa Crespo,,sin_verificar,,"Julia, Loyola 807, Ciudad Autónoma de Buenos Aires, Argentina"
MIC-054,Kōnā,Castañeda 1899,Belgrano,,sin_verificar,,"Kōnā, Castañeda 1899, Ciudad Autónoma de Buenos Aires, Argentina"
