bar,nombres_vistos,direcciones_vistas,direccion_boletin,id_boletin,nombre_gcba,direccion_gcba,en_GCBA_84,en_WIKIDATA_95,en_BOLETIN_90,n_listas,emparejado_por,latitud,longitud,origen_punto
36 BILLARES,36 BILLARES | Los 36 Billares,"Av. de Mayo 1265 | Avenida de Mayo 1262 | DE MAYO AV. 1265, CABA",Av. de Mayo 1265,H074,36 BILLARES,"DE MAYO AV. 1265, CABA",si,si,si,3,domicilio+nombre+calle,-34.60917,-58.384301,"REFERENTES_2026 (GCBA, ya geocodificado)"
8 ESQUINAS,8 ESQUINAS | Ocho Esquinas,"Av. Forest 1186 | FOREST AV. 1186, CABA",Av. Forest 1186,H079,8 ESQUINAS,"FOREST AV. 1186, CABA",si,si,si,3,domicilio,-34.578517,-58.460138,"REFERENTES_2026 (GCBA, ya geocodificado)"
9 de Julio,9 DE JULIO | 9 de Julio | 9 de julio,"LARRAZABAL AV. 1276, CABA | Larrazabal 1276",Larrazabal 1276,H001,9 DE JULIO,"LARRAZABAL AV. 1276, CABA",si,si,si,3,domicilio,-34.650998,-58.502491,"REFERENTES_2026 (GCBA, ya geocodificado)"
BAR DEL ALVEAR PALACE HOTEL,BAR DEL ALVEAR PALACE HOTEL | Bar del Alvear Palace Hotel,"ALVEAR AV. 1891, CABA | Av. Alvear 1891",Av. Alvear 1891,H006,BAR DEL ALVEAR PALACE HOTEL,"ALVEAR AV. 1891, CABA",si,si,si,3,domicilio,-34.587677,-58.388996,"REFERENTES_2026 (GCBA, ya geocodificado)"
BAR OVIEDO,BAR OVIEDO | Bar Oviedo,"Av. Lisandro de la Torre 2407 | DE LA TORRE, LISANDRO AV. 2407, CABA | Lisandro de la Torre 2407",Av. Lisandro de la Torre 2407,H012,BAR OVIEDO,"DE LA TORRE, LISANDRO AV. 2407, CABA",si,si,si,3,domicilio,-34.662711,-58.500062,"REFERENTES_2026 (GCBA, ya geocodificado)"
BAR PLAZA DORREGO,BAR PLAZA DORREGO | Bar Plaza Dorrego,"DEFENSA 1096, CABA | Defensa 1098",Defensa 1098,H013,BAR PLAZA DORREGO,"DEFENSA 1096, CABA",si,si,si,3,domicilio+nombre+calle,-34.620552,-58.371399,"REFERENTES_2026 (GCBA, ya geocodificado)"
BAR QUINTINO,BAR QUINTINO | Bar Quintino,"CALVO, CARLOS AV. 4002, CABA | Carlos Calvo 4002",Carlos Calvo 4002,H014,BAR QUINTINO,"CALVO, CARLOS AV. 4002, CABA",si,si,si,3,domicilio,-34.624844,-58.421977,"REFERENTES_2026 (GCBA, ya geocodificado)"
BAR SEDDON,BAR SEDDON | Bar Seddon,"DEFENSA 695, CABA | Defensa 695",Defensa 695,H015,BAR SEDDON,"DEFENSA 695, CABA",si,si,si,3,domicilio,-34.615917,-58.371763,"REFERENTES_2026 (GCBA, ya geocodificado)"
BAR SUR,BAR SUR | Bar Sur,"ESTADOS UNIDOS 299, CABA | Estados Unidos 299",Estados Unidos 299,H016,BAR SUR,"ESTADOS UNIDOS 299, CABA",si,si,si,3,domicilio,-34.618388,-58.37003,"REFERENTES_2026 (GCBA, ya geocodificado)"
BOSTON CITY,BOSTON CITY | Bar Boston City | Boston City,"FLORIDA 165, CABA | Florida 165 | Florida 165 local 3",Florida 165 local 3,H018,BOSTON CITY,"FLORIDA 165, CABA",si,si,si,3,domicilio,-34.606125,-58.375033,"REFERENTES_2026 (GCBA, ya geocodificado)"
Bar El Federal,BAR EL FEDERAL | Bar El Federal,"CALVO, CARLOS 595, CABA | Carlos Calvo 595 | Carlos Calvo 599",Carlos Calvo 595,H009,BAR EL FEDERAL,"CALVO, CARLOS 595, CABA",si,si,si,3,domicilio+nombre+calle,-34.619619,-58.374145,"REFERENTES_2026 (GCBA, ya geocodificado)"
Bar Imperio,Bar Imperio | HOTEL SAVOY / BAR IMPERIO | Hotel Savoy / Bar Imperio,"Av. Callao 181 | CALLAO AV. 181, CABA",Av. Callao 181,H059,HOTEL SAVOY / BAR IMPERIO,"CALLAO AV. 181, CABA",si,si,si,3,domicilio,-34.607022,-58.392003,"REFERENTES_2026 (GCBA, ya geocodificado)"
Bar de Cao,BAR DE CAO | Bar de Cao,"Av. Independencia 2400 | INDEPENDENCIA AV. 2400, CABA | Independencia 2400",Av. Independencia 2400,H005,BAR DE CAO,"INDEPENDENCIA AV. 2400, CABA",si,si,si,3,domicilio,-34.618679,-58.399898,"REFERENTES_2026 (GCBA, ya geocodificado)"
Bar del Glorias,Bar del Glorias | CLUB GLORIAS ARGENTINAS,"ANDALGALA 1982, CABA | Andalgala 1982",Andalgala 1982,H007,CLUB GLORIAS ARGENTINAS,"ANDALGALA 1982, CABA",si,si,si,3,domicilio,-34.659301,-58.510313,"REFERENTES_2026 (GCBA, ya geocodificado)"
