hito_id,nombre,tipo,reconocimiento,direccion,barrio_declarado,latitud,longitud,origen,fuente_primaria,edicion_o_anio,confianza,metodo_geocodificacion,conflicto_direccion,nota_carga,es_patrimonio_normativo,patrimonio_norma,patrimonio_declaratoria,patrimonio_organismo,patrimonio_nota,vigencia_verificada,vigencia_fuente,vigencia_fecha,continuidad_ininterrumpida,es_alta_2026_08_03,declaratoria_localizada,alta_referencia_que_toca,vigencia_nivel,vigencia_sentido_duda,vigencia_revisar_hasta,nota_ronda_5,nota_ronda_6,registro_oficial,direccion_variante,vigencia_fecha_consulta,nota_ronda_7,places_business_status,nota_ronda_8,alerta_juridica,alerta_juridica_fecha,alerta_juridica_fuente,nota_ronda_9
MG-0017,Gourmand Food Hall,Mercado/patio,Mercado o patio documentado,,,,,REFERENTES_2026,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MG-0008,Mercado Bonpland,Mercado/patio,Mercado o patio documentado,Bonpland 1660,,-34.583708,-58.437834,REFERENTES_2026 + dirección documental,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MG-0002,Mercado de Belgrano,Mercado/patio,Mercado o patio documentado,Av. Juramento 2527,,-34.562848,-58.458147,REFERENTES_2026 + dirección documental,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MG-0001,Mercado de San Telmo,Mercado/patio,Mercado o patio documentado,Defensa 961,San Telmo,-34.619168,-58.371593,REFERENTES_2026,,2026,alta,heredado de la capa,,,True,Decreto 12/2001,Monumento Historico Nacional,Nacion,QUEDA 64 m AFUERA de la envolvente R03,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MG-0003,Mercado del Progreso,Mercado/patio,Mercado o patio documentado,Av. Rivadavia 5430,,-34.621044,-58.441696,REFERENTES_2026 + dirección documental,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MG-0013,Mercado San Nicolas,Mercado/patio,Mercado o patio documentado,,,,,REFERENTES_2026,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MG-0004,Mercat Villa Crespo,Mercado/patio,Mercado o patio documentado,,,,,REFERENTES_2026,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MG-0011,Patio Costanera Norte,Mercado/patio,Mercado o patio documentado,Avenida Costanera Rafael Obligado 7010,Belgrano,-34.5443,-58.43215,REFERENTES_2026,,2026,alta,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,2026-08-08,,OPERATIONAL,,,,,
MG-0006,Patio de los Lecheros,Mercado/patio,Mercado o patio documentado,Av. Tte. Gral. Donato Alvarez 175,,-34.622968,-58.455206,REFERENTES_2026 + dirección documental,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
MG-0012,Patio Gastronomico Rodrigo Bueno,Mercado/patio,Mercado o patio documentado,Av. Espana 2230,,-34.622974,-58.353717,REFERENTES_2026 + dirección documental,,2026,sin_resolver,heredado de la capa,,,False,,,,,sin_verificar,,,,False,,,,,,,,,,,,,,,,,
