bar,nombres_vistos,direcciones_vistas,direccion_boletin,id_boletin,nombre_gcba,direccion_gcba,en_GCBA_84,en_WIKIDATA_95,en_BOLETIN_90,n_listas,emparejado_por
36 BILLARES,36 BILLARES | Los 36 Billares,"Av. de Mayo 1265 | Avenida de Mayo 1262 | DE MAYO AV. 1265, CABA",Av. de Mayo 1265,H074,36 BILLARES,"DE MAYO AV. 1265, CABA",si,si,si,3,domicilio+nombre+calle
8 ESQUINAS,8 ESQUINAS | Ocho Esquinas,"Av. Forest 1186 | FOREST AV. 1186, CABA",Av. Forest 1186,H079,8 ESQUINAS,"FOREST AV. 1186, CABA",si,si,si,3,domicilio
9 de Julio,9 DE JULIO | 9 de Julio | 9 de julio,"LARRAZABAL AV. 1276, CABA | Larrazabal 1276",Larrazabal 1276,H001,9 DE JULIO,"LARRAZABAL AV. 1276, CABA",si,si,si,3,domicilio
BAR DEL ALVEAR PALACE HOTEL,BAR DEL ALVEAR PALACE HOTEL | Bar del Alvear Palace Hotel,"ALVEAR AV. 1891, CABA | Av. Alvear 1891",Av. Alvear 1891,H006,BAR DEL ALVEAR PALACE HOTEL,"ALVEAR AV. 1891, CABA",si,si,si,3,domicilio
BAR OVIEDO,BAR OVIEDO | Bar Oviedo,"Av. Lisandro de la Torre 2407 | DE LA TORRE, LISANDRO AV. 2407, CABA | Lisandro de la Torre 2407",Av. Lisandro de la Torre 2407,H012,BAR OVIEDO,"DE LA TORRE, LISANDRO AV. 2407, CABA",si,si,si,3,domicilio
BAR PLAZA DORREGO,BAR PLAZA DORREGO | Bar Plaza Dorrego,"DEFENSA 1096, CABA | Defensa 1098",Defensa 1098,H013,BAR PLAZA DORREGO,"DEFENSA 1096, CABA",si,si,si,3,domicilio+nombre+calle
BAR QUINTINO,BAR QUINTINO | Bar Quintino,"CALVO, CARLOS AV. 4002, CABA | Carlos Calvo 4002",Carlos Calvo 4002,H014,BAR QUINTINO,"CALVO, CARLOS AV. 4002, CABA",si,si,si,3,domicilio
BAR SEDDON,BAR SEDDON | Bar Seddon,"DEFENSA 695, CABA | Defensa 695",Defensa 695,H015,BAR SEDDON,"DEFENSA 695, CABA",si,si,si,3,domicilio
BAR SUR,BAR SUR | Bar Sur,"ESTADOS UNIDOS 299, CABA | Estados Unidos 299",Estados Unidos 299,H016,BAR SUR,"ESTADOS UNIDOS 299, CABA",si,si,si,3,domicilio
BOSTON CITY,BOSTON CITY | Bar Boston City | Boston City,"FLORIDA 165, CABA | Florida 165 | Florida 165 local 3",Florida 165 local 3,H018,BOSTON CITY,"FLORIDA 165, CABA",si,si,si,3,domicilio
Bar El Federal,BAR EL FEDERAL | Bar El Federal,"CALVO, CARLOS 595, CABA | Carlos Calvo 595 | Carlos Calvo 599",Carlos Calvo 595,H009,BAR EL FEDERAL,"CALVO, CARLOS 595, CABA",si,si,si,3,domicilio+nombre+calle
Bar Imperio,Bar Imperio | HOTEL SAVOY / BAR IMPERIO | Hotel Savoy / Bar Imperio,"Av. Callao 181 | CALLAO AV. 181, CABA",Av. Callao 181,H059,HOTEL SAVOY / BAR IMPERIO,"CALLAO AV. 181, CABA",si,si,si,3,domicilio
Bar de Cao,BAR DE CAO | Bar de Cao,"Av. Independencia 2400 | INDEPENDENCIA AV. 2400, CABA | Independencia 2400",Av. Independencia 2400,H005,BAR DE CAO,"INDEPENDENCIA AV. 2400, CABA",si,si,si,3,domicilio
Bar del Glorias,Bar del Glorias | CLUB GLORIAS ARGENTINAS,"ANDALGALA 1982, CABA | Andalgala 1982",Andalgala 1982,H007,CLUB GLORIAS ARGENTINAS,"ANDALGALA 1982, CABA",si,si,si,3,domicilio
Barbaro,BARBARO - BAR O BAR | Bar Bar O | Barbaro,"TRES SARGENTOS 415, CABA | Tres Sargentos 415",Tres Sargentos 415,H002,BARBARO - BAR O BAR,"TRES SARGENTOS 415, CABA",si,si,si,3,domicilio
Britanico,BAR BRITANICO | Bar Británico | Britanico,"BRASIL AV. 399, CABA | Brasil 399",Brasil 399,H019,BAR BRITANICO,"BRASIL AV. 399, CABA",si,si,si,3,domicilio
CAFE DE LOS ANGELITOS,CAFE DE LOS ANGELITOS | Cafe de los Angelitos | Café de los Angelitos,"Av. Rivadavia 2064 | Av. Rivadavia 2100 | RIVADAVIA AV. 2100, CABA",Av. Rivadavia 2100,H024,CAFE DE LOS ANGELITOS,"RIVADAVIA AV. 2100, CABA",si,si,si,3,domicilio+nombre+calle
CAFE PALACIO,CAFE PALACIO | Cafe Palacio | Café Palacio,"Av. F. Lacroze 3901 | Av. Federico Lacroze 3901 | LACROZE, FEDERICO AV. 3901, CABA",Av. Federico Lacroze 3901,H029,CAFE PALACIO,"LACROZE, FEDERICO AV. 3901, CABA",si,si,si,3,domicilio+nombre+altura (homonimo cerrado)
CAFE THIBON,CAFE THIBON | Cafe Thibon | Café Thibon,"MONTEVIDEO 723, CABA | Montevideo 723",Montevideo 723,H034,CAFE THIBON,"MONTEVIDEO 723, CABA",si,si,si,3,domicilio
CAFETABAC,CAFETABAC | Caffe Tabac,"Av. Del Libertador 2300 | Av. del Libertador 2300 | DEL LIBERTADOR AV. 2300, CABA",Av. del Libertador 2300,H036,CAFETABAC,"DEL LIBERTADOR AV. 2300, CABA",si,si,si,3,domicilio
CASA WATSON,CASA WATSON | Casa Watson,"VUELTA DE OBLIGADO 2072, CABA | Vuelta De Obligado 2072 | Vuelta de Obligado 2072",Vuelta de Obligado 2072,H037,CASA WATSON,"VUELTA DE OBLIGADO 2072, CABA",si,si,si,3,domicilio
Cafe de la U,CAFE DE LA U | Cafe de la U | Café de la U,"Av. Triunvirato 4801 | TRIUNVIRATO AV. 4801, CABA | Triunvirato 4801",Av. Triunvirato 4801,H023,CAFE DE LA U,"TRIUNVIRATO AV. 4801, CABA",si,si,si,3,domicilio
Café Margot,CAFE MARGOT | Cafe Margot | Café Margot,"Av. Boedo 857 | BOEDO AV. 857, CABA | Boedo 857",Av. Boedo 857,H086,CAFE MARGOT,"BOEDO AV. 857, CABA",si,si,si,3,domicilio
Café Montecarlo,CAFE MONTECARLO | Cafe Montecarlo | Café Montecarlo,"PARAGUAY 5491, CABA | Paraguay 5491",Paraguay 5491,H027,CAFE MONTECARLO,"PARAGUAY 5491, CABA",si,si,si,3,domicilio
Café Roma,CAFE ROMA | Café Roma | Roma del Abasto,"SAN LUIS 3101, CABA | San Luis 3101",San Luis 3101,H032,CAFE ROMA,"SAN LUIS 3101, CABA",si,si,si,3,domicilio
Café Roma,CAFE ROMA | Cafe Roma | Café Roma,"OLAVARRIA 409, CABA | Olavarria 409",Olavarria 409,H031,CAFE ROMA,"OLAVARRIA 409, CABA",si,si,si,3,domicilio
Café Tortoni,CAFE TORTORI | Cafe Tortoni | Café Tortoni,"Av. de Mayo 825 | Avenida de Mayo 825. Ciudad Autónoma de Buenos Aires. Argentina | DE MAYO AV. 825, CABA",Av. de Mayo 825,H035,CAFE TORTORI,"DE MAYO AV. 825, CABA",si,si,si,3,domicilio
Café de García,CAFE DE GARCIA | Cafe de Garcia | Café de García,"SANABRIA 3302, CABA | Sanabria 3302",Sanabria 3302,H022,CAFE DE GARCIA,"SANABRIA 3302, CABA",si,si,si,3,domicilio
Celta Bar,CELTA BAR | Celta Bar,"SARMIENTO 1702, CABA | Sarmiento 1701 | Sarmiento 1702",Sarmiento 1702,H038,CELTA BAR,"SARMIENTO 1702, CABA",si,si,si,3,domicilio+nombre+calle
Claridge's,CLARIDGE BAR | Claridge's,"TUCUMAN 535, CABA | Tucuman 535",Tucuman 535,H039,CLARIDGE BAR,"TUCUMAN 535, CABA",si,si,si,3,domicilio
