hito_id,nombre,tipo,reconocimiento,direccion,barrio_declarado,latitud,longitud,origen,fuente_primaria,edicion_o_anio,confianza
BAR-001,36 BILLARES,Bar Notable,Bar Notable,"DE MAYO AV. 1265, CABA",Monserrat,-34.60917,-58.384301,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-002,8 ESQUINAS,Bar Notable,Bar Notable,"FOREST AV. 1186, CABA",Chacarita,-34.578517,-58.460138,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-003,9 DE JULIO,Bar Notable,Bar Notable,"LARRAZABAL AV. 1276, CABA",Mataderos,-34.650998,-58.502491,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-004,BAR BRITANICO,Bar Notable,Bar Notable,"BRASIL AV. 399, CABA",San Telmo,-34.625306,-58.370839,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-005,BAR DE CAO,Bar Notable,Bar Notable,"INDEPENDENCIA AV. 2400, CABA",San Cristobal,-34.618679,-58.399898,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-006,BAR DEL ALVEAR PALACE HOTEL,Bar Notable,Bar Notable,"ALVEAR AV. 1891, CABA",Recoleta,-34.587677,-58.388996,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-007,BAR EL ESTAÑO 1880,Bar Notable,Bar Notable,"VALLE, ARISTOBULO DEL 1100, CABA",La Boca,-34.635408,-58.36821,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-008,BAR EL FEDERAL,Bar Notable,Bar Notable,"CALVO, CARLOS 595, CABA",San Telmo,-34.619619,-58.374145,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-009,BAR LAVALLE,Bar Notable,Bar Notable,"LAVALLE 2407, CABA",Balvanera,-34.603404,-58.401076,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-010,BAR LONDON CITY,Bar Notable,Bar Notable,"DE MAYO AV. 599, CABA",Monserrat,-34.608508,-58.37474,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-011,BAR OVIEDO,Bar Notable,Bar Notable,"DE LA TORRE, LISANDRO AV. 2407, CABA",Mataderos,-34.662711,-58.500062,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-012,BAR PLAZA DORREGO,Bar Notable,Bar Notable,"DEFENSA 1096, CABA",San Telmo,-34.620552,-58.371399,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-013,BAR QUINTINO,Bar Notable,Bar Notable,"CALVO, CARLOS AV. 4002, CABA",Boedo,-34.624844,-58.421977,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-014,BAR SEDDON,Bar Notable,Bar Notable,"DEFENSA 695, CABA",Monserrat,-34.615917,-58.371763,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-015,BAR SUR,Bar Notable,Bar Notable,"ESTADOS UNIDOS 299, CABA",San Telmo,-34.618388,-58.37003,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-016,BARBARO - BAR O BAR,Bar Notable,Bar Notable,"TRES SARGENTOS 415, CABA",Retiro,-34.597887,-58.373198,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-017,BIDOU DE LAS LUCES,Bar Notable,Bar Notable,"PERU 269, CABA",Monserrat,-34.611128,-58.374854,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-018,BOSTON CITY,Bar Notable,Bar Notable,"FLORIDA 165, CABA",San Nicolas,-34.606125,-58.375033,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-019,CAFE DE GARCIA,Bar Notable,Bar Notable,"SANABRIA 3302, CABA",Villa Devoto,-34.606356,-58.51059,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-020,CAFE DE LA ESQUINA,Bar Notable,Bar Notable,"DEL LIBERTADOR AV. 6169, CABA",Belgrano,-34.555186,-58.448815,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-021,CAFE DE LA U,Bar Notable,Bar Notable,"TRIUNVIRATO AV. 4801, CABA",Villa Urquiza,-34.573373,-58.487403,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-022,CAFE DE LOS ANGELITOS,Bar Notable,Bar Notable,"RIVADAVIA AV. 2100, CABA",Balvanera,-34.609527,-58.396007,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-023,CAFE EL BANDERIN,Bar Notable,Bar Notable,"GUARDIA VIEJA 3601, CABA",Almagro,-34.601649,-58.415489,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-024,CAFE LOS ANDES,Bar Notable,Bar Notable,"SCALABRINI ORTIZ, RAUL AV. 1312, CABA",Palermo,-34.5928,-58.427968,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-025,CAFE MARGOT,Bar Notable,Bar Notable,"BOEDO AV. 857, CABA",Boedo,-34.623266,-58.416375,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-026,CAFE MONTECARLO,Bar Notable,Bar Notable,"PARAGUAY 5491, CABA",Palermo,-34.577099,-58.43385,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-027,CAFE MONTSERRAT,Bar Notable,Bar Notable,"SAN JOSE 524, CABA",Monserrat,-34.614765,-58.385901,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-028,CAFE NOSTALGIA,Bar Notable,Bar Notable,"SOLER 3599, CABA",Recoleta,-34.594061,-58.414389,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-029,CAFE PALACIO,Bar Notable,Bar Notable,"LACROZE, FEDERICO AV. 3901, CABA",Chacarita,-34.584401,-58.453574,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-030,CAFE ROMA,Bar Notable,Bar Notable,"SAN LUIS 3101, CABA",Balvanera,-34.59945,-58.40885,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-031,CAFE ROMA,Bar Notable,Bar Notable,"OLAVARRIA 409, CABA",La Boca,-34.636242,-58.358759,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-032,CAFE THIBON,Bar Notable,Bar Notable,"MONTEVIDEO 723, CABA",San Nicolas,-34.600414,-58.389571,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-033,CAFE TORTORI,Bar Notable,Bar Notable,"DE MAYO AV. 825, CABA",Monserrat,-34.608824,-58.37813,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-034,CAFE VICTORIA,Bar Notable,Bar Notable,"ENTRE RIOS AV. 114, CABA",Monserrat,-34.610539,-58.391768,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-035,CAFETABAC,Bar Notable,Bar Notable,"DEL LIBERTADOR AV. 2300, CABA",Palermo,-34.580905,-58.404473,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-036,CASA WATSON,Bar Notable,Bar Notable,"VUELTA DE OBLIGADO 2072, CABA",Belgrano,-34.561811,-58.455426,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-037,CELTA BAR,Bar Notable,Bar Notable,"SARMIENTO 1702, CABA",San Nicolas,-34.605579,-58.390932,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-038,CLARIDGE BAR,Bar Notable,Bar Notable,"TUCUMAN 535, CABA",San Nicolas,-34.600965,-58.374517,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-039,CLUB GLORIAS ARGENTINAS,Bar Notable,Bar Notable,"ANDALGALA 1982, CABA",Mataderos,-34.659301,-58.510313,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
BAR-040,CONFITERIA DEL HOTEL CASTELAR,Bar Notable,Bar Notable,"DE MAYO AV. 1048, CABA",Monserrat,-34.609046,-58.381284,REFERENTES_2026,https://data.buenosaires.gob.ar/es/dataset/espacios-culturales,2026 (recurso vigente; designación consolidada 2025),alta
